Object Type,Parent ARK,Item ARK,Title,Language,Type.typeOfResource,Genre,Place of origin,Repository,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Program,Visibility,viewingHint,Item Sequence
Work,ark:/21198/z1v79htf,ark:/21198/z1r0340h,"El Fígaro, 1885",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,1
Work,ark:/21198/z1v79htf,ark:/21198/z1m72cbp,"El Fígaro, 1886",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,2
Work,ark:/21198/z1v79htf,ark:/21198/z1gg1mj2,"El Fígaro, 1887",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,3
Work,ark:/21198/z1v79htf,ark:/21198/z1bq0vvs,"El Fígaro, 1888",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,4
Work,ark:/21198/z1v79htf,ark:/21198/z16z044v,"El Fígaro, 1889",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,5
Work,ark:/21198/z1v79htf,ark:/21198/z1359cgs,"El Fígaro, 1890",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,6
Work,ark:/21198/z1v79htf,ark:/21198/z1zh7k81,"El Fígaro, 1891",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,7
Work,ark:/21198/z1v79htf,ark:/21198/z1tr6tkr,"El Fígaro, 1892",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,8
Work,ark:/21198/z1v79htf,ark:/21198/z1q062vq,"El Fígaro, 1893",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,9
Work,ark:/21198/z1v79htf,ark:/21198/z1k75b5v,"El Fígaro, 1894",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,10
Work,ark:/21198/z1v79htf,ark:/21198/z1fg4kf4,"El Fígaro, 1895",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,11
Work,ark:/21198/z1v79htf,ark:/21198/z19q3trv,"El Fígaro, 1896",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,12
Work,ark:/21198/z1v79htf,ark:/21198/z15z330g,"El Fígaro, 1898",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,13
Work,ark:/21198/z1v79htf,ark:/21198/z12911pc,"El Fígaro, 1899",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,14
Work,ark:/21198/z1v79htf,ark:/21198/z1xj0j80,"El Fígaro, 1900",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,15
Work,ark:/21198/z1v79htf,ark:/21198/z1sr9sjq,"El Fígaro, 1901",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,16
Work,ark:/21198/z1v79htf,ark:/21198/z1p091rs,"El Fígaro, 1902",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,17
Work,ark:/21198/z1v79htf,ark:/21198/z1j78901,"El Fígaro, 1903",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,18
Work,ark:/21198/z1v79htf,ark:/21198/z1dg7j9r,"El Fígaro, 1904",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,19
Work,ark:/21198/z1v79htf,ark:/21198/z18t5h16,"El Fígaro, 1905",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,20
Work,ark:/21198/z1v79htf,ark:/21198/z1524r8b,"El Fígaro, 1906",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,21
Work,ark:/21198/z1v79htf,ark:/21198/z11940kf,"El Fígaro, 1907",spa,text,newspapers (periodicals),Havana (Cuba),Biblioteca Nacional de Cuba José Martí,copyrighted,published,"http://www.bnjm.cu, portal@bnjm.cu",International Digital Ephemera Project,open,paged,22
