"Object Type","Parent ARK","Item ARK","File Name","Title","AltTitle.other","Publisher.publisherName","Place of origin","volume","issue","Date.created","Date.normalized","Language","Type.typeOfResource","Genre","Format.extent","Format.dimensions","Title -old","Repository","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Contents note","Subject topic","viewingHint","Program","Item Sequence","Visibility","Local identifier","Thumbnail","IIIF Manifest URL"
"Work","ark:/21198/z1v79htf","ark:/21198/z1c34vsh","","1921-12-11 (vol. 38, no. 42)","","","Havana (Cuba)","vol. 38","no. 42","1921-12-11","1921-12-11","spa","text","newspapers","18 pages","","El Fígaro 1921-12-11","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19211211","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c34vsh%2FYIzWIGbh7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c34vsh/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z17b4414","","1921-12-18 (vol. 38, no. 43)","","","Havana (Cuba)","vol. 38","no. 43","1921-12-18","1921-12-18","spa","text","newspapers","16 pages","","El Fígaro 1921-12-18","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19211218","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17b4414%2FiSpH9CNCW","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17b4414/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z13k3c8z","","1921-12-25 (vol. 38, no. 44)","","","Havana (Cuba)","vol. 38","no. 44","1921-12-25","1921-12-25","spa","text","newspapers","18 pages","","El Fígaro 1921-12-25","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19211225","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13k3c8z%2FaznDHaad8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13k3c8z/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1zt2vs8","","1922-01-01 (vol. 39, no. 01)","","","Havana (Cuba)","vol. 39","no. 01","1922-01-01","1922-01-01","spa","text","newspapers","24 pages","","El Fígaro 1922-01-01","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220101","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zt2vs8%2Frc6k36uFB","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zt2vs8/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1v22433","","1922-01-08 (vol. 39, no. 02)","","","Havana (Cuba)","vol. 39","no. 02","1922-01-08","1922-01-08","spa","text","newspapers","24 pages","","El Fígaro 1922-01-08","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220108","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v22433%2FLhbyR98uQ","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v22433/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1q91cdt","","1922-01-15 (vol. 39, no. 03)","","","Havana (Cuba)","vol. 39","no. 03","1922-01-15","1922-01-15","spa","text","newspapers","24 pages","","El Fígaro 1922-01-15","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220115","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q91cdt%2FKgeuvT7UC","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q91cdt/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1kj0mp3","","1922-01-22 (vol. 39, no. 04)","","","Havana (Cuba)","vol. 39","no. 04","1922-01-22","1922-01-22","spa","text","newspapers","24 pages","","El Fígaro 1922-01-22","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220122","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kj0mp3%2FEVivl7iYH","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kj0mp3/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1fv8kcj","","1922-01-29 (vol. 39, no. 05)","","","Havana (Cuba)","vol. 39","no. 05","1922-01-29","1922-01-29","spa","text","newspapers","24 pages","","El Fígaro 1922-01-29","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220129","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv8kcj%2FoylaizgS1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv8kcj/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z1b37tpk","","1922-02-05 (vol. 39, no. 06)","","","Havana (Cuba)","vol. 39","no. 06","1922-02-05","1922-02-05","spa","text","newspapers","22 pages","","El Fígaro 1922-02-05","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220205","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b37tpk%2F5n0UO7TpX","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b37tpk/manifest"
"Work","ark:/21198/z1v79htf","ark:/21198/z16b72wb","","1922-02-12 (vol. 39, no. 07)","","","Havana (Cuba)","vol. 39","no. 07","1922-02-12","1922-02-12","spa","text","newspapers","24 pages","","El Fígaro 1922-02-12","Biblioteca Nacional de Cuba José Martí","unknown","published","http://www.bnjm.cu, portal@bnjm.cu","","Cuban literature--Periodicals|~|Cuba--Intellectual life--Periodicals|~|Sports--Cuba--Periodicals","paged","International Digital Ephemera Project","","open","bncjm_elfigaro_19220212","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16b72wb%2FHxyk9kVVv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16b72wb/manifest"
