"Object Type","File Name","Parent ARK","Item ARK","Title","Creator","Contributor","Publisher","local ID","Publisher.place","volume | issue","Date.creatd","Date.created (single)","File_name","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Note.content","Subject.topic","IIIF Manifest URL"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1qr90qt","1946-06-27 (vol. 09, no. 152)","","","","ihc_hoy_19460627","Havana (Cuba)","vol. 09|~|no. 152","1946-06-27","1946-06-27","ihc_hoy_19460627.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr90qt/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1m08818","1946-06-28 (vol. 09, no. 153)","","","","ihc_hoy_19460628","Havana (Cuba)","vol. 09|~|no. 153","1946-06-28","1946-06-28","ihc_hoy_19460628.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m08818/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1g77h9j","1946-06-29 (vol. 09, no. 154)","","","","ihc_hoy_19460629","Havana (Cuba)","vol. 09|~|no. 154","1946-06-29","1946-06-29","ihc_hoy_19460629.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g77h9j/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1bg6rkt","1946-06-30 (vol. 09, no. 155)","","","","ihc_hoy_19460630","Havana (Cuba)","vol. 09|~|no. 155","1946-06-30","1946-06-30","ihc_hoy_19460630.pdf","spa","text","newspapers","17 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg6rkt/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z16q60t1","1946-07-02 (vol. 09, no. 156)","","","","ihc_hoy_19460702","Havana (Cuba)","vol. 09|~|no. 156","1946-07-02","1946-07-02","ihc_hoy_19460702.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q60t1/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1323zgh","1946-07-03 (vol. 09, no. 157)","","","","ihc_hoy_19460703","Havana (Cuba)","vol. 09|~|no. 157","1946-07-03","1946-07-03","ihc_hoy_19460703.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1323zgh/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1z93g12","1946-07-04 (vol. 09, no. 158)","","","","ihc_hoy_19460704","Havana (Cuba)","vol. 09|~|no. 158","1946-07-04","1946-07-04","ihc_hoy_19460704.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z93g12/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1tj2q8w","1946-07-05 (vol. 09, no. 159)","","","","ihc_hoy_19460705","Havana (Cuba)","vol. 09|~|no. 159","1946-07-05","1946-07-05","ihc_hoy_19460705.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj2q8w/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1ps1zkm","1946-07-06 (vol. 09, no. 160)","","","","ihc_hoy_19460706","Havana (Cuba)","vol. 09|~|no. 160","1946-07-06","1946-07-06","ihc_hoy_19460706.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ps1zkm/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1k116vk","1946-07-07 (vol. 09, no. 161)","","","","ihc_hoy_19460707","Havana (Cuba)","vol. 09|~|no. 161","1946-07-07","1946-07-07","ihc_hoy_19460707.pdf","spa","text","newspapers","17 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k116vk/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1f80g48","1946-07-09 (vol. 09, no. 162)","","","","ihc_hoy_19460709","Havana (Cuba)","vol. 09|~|no. 162","1946-07-09","1946-07-09","ihc_hoy_19460709.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f80g48/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z19k8dt9","1946-07-10 (vol. 09, no. 163)","","","","ihc_hoy_19460710","Havana (Cuba)","vol. 09|~|no. 163","1946-07-10","1946-07-10","ihc_hoy_19460710.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k8dt9/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z15t7p30","1946-07-11 (vol. 09, no. 164)","","","","ihc_hoy_19460711","Havana (Cuba)","vol. 09|~|no. 164","1946-07-11","1946-07-11","ihc_hoy_19460711.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15t7p30/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1226xck","1946-07-12 (vol. 09, no. 165)","","","","ihc_hoy_19460712","Havana (Cuba)","vol. 09|~|no. 165","1946-07-12","1946-07-12","ihc_hoy_19460712.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1226xck/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1x96dxq","1946-07-13 (vol. 09, no. 166)","","","","ihc_hoy_19460713","Havana (Cuba)","vol. 09|~|no. 166","1946-07-13","1946-07-13","ihc_hoy_19460713.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x96dxq/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1sj5p6d","1946-07-14 (vol. 09, no. 167)","","","","ihc_hoy_19460714","Havana (Cuba)","vol. 09|~|no. 167","1946-07-14","1946-07-14","ihc_hoy_19460714.pdf","spa","text","newspapers","17 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj5p6d/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1ns4xjk","1946-07-16 (vol. 09, no. 168)","","","","ihc_hoy_19460716","Havana (Cuba)","vol. 09|~|no. 168","1946-07-16","1946-07-16","ihc_hoy_19460716.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns4xjk/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1j145s3","1946-07-17 (vol. 09, no. 169)","","","","ihc_hoy_19460717","Havana (Cuba)","vol. 09|~|no. 169","1946-07-17","1946-07-17","ihc_hoy_19460717.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j145s3/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z1dc24fn","1946-07-18 (vol. 09, no. 170)","","","","ihc_hoy_19460718","Havana (Cuba)","vol. 09|~|no. 170","1946-07-18","1946-07-18","ihc_hoy_19460718.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dc24fn/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z18m1cn1","1946-07-19 (vol. 09, no. 171)","","","","ihc_hoy_19460719","Havana (Cuba)","vol. 09|~|no. 171","1946-07-19","1946-07-19","ihc_hoy_19460719.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18m1cn1/manifest"
"Work","","ark:/21198/z13r9ncm","ark:/21198/z14v0n0m","1946-07-20 (vol. 09, no. 172)","","","","ihc_hoy_19460720","Havana (Cuba)","vol. 09|~|no. 172","1946-07-20","1946-07-20","ihc_hoy_19460720.pdf","spa","text","newspapers","8 pages; digitized microfilm","Instituto de Historia de Cuba","unknown","published","http://www.ihc.cu/, webmaster@ihc.cu","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14v0n0m/manifest"
