File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380430_001.tif,Page,Page 1,1,ark:/21198/z1g48sks,ark:/21198/z1g48sks/hupOtLrJH,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g48sks%2FhupOtLrJH,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380430_005.tif,Page,Page 2,2,ark:/21198/z1g48sks,ark:/21198/z1g48sks/wPR9H0j65,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g48sks%2FwPR9H0j65,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380430_006.tif,Page,Page 3,3,ark:/21198/z1g48sks,ark:/21198/z1g48sks/YAEo7VXIe,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g48sks%2FYAEo7VXIe,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380430_007.tif,Page,Page 4,4,ark:/21198/z1g48sks,ark:/21198/z1g48sks/eHpDKTWSX,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g48sks%2FeHpDKTWSX,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380430_008.tif,Page,Page 5,5,ark:/21198/z1g48sks,ark:/21198/z1g48sks/v8W3qpXRR,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g48sks%2Fv8W3qpXRR,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380516_001.tif,Page,Page 1,1,ark:/21198/z1bc81t0,ark:/21198/z1bc81t0/Ssf2JMuYu,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc81t0%2FSsf2JMuYu,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380516_004.tif,Page,Page 2,2,ark:/21198/z1bc81t0,ark:/21198/z1bc81t0/YxRO6ZGzI,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc81t0%2FYxRO6ZGzI,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380416_001.tif,Page,Page 3,3,ark:/21198/z1bc81t0,ark:/21198/z1qk1kjv/Kql5NQRpB,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk1kjv%2FKql5NQRpB,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380516_007.tif,Page,Page 4,4,ark:/21198/z1bc81t0,ark:/21198/z1bc81t0/a18y1j4bF,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc81t0%2Fa18y1j4bF,
Masters/othermasters/DEPhoy/images/tiffs/ihc_hoy_1938/ihc_hoy_19380516_009.tif,Page,Page 5,5,ark:/21198/z1bc81t0,ark:/21198/z1bc81t0/qA7wOFl7C,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc81t0%2FqA7wOFl7C,
