"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_001.tif","Page","Page 1","1","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/i3e4q210M","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2Fi3e4q210M",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_002.tif","Page","Page 2","2","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/sqVa2Ww6h","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FsqVa2Ww6h",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_003.tif","Page","Page 3","3","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/kFGukeDIq","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FkFGukeDIq",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_004.tif","Page","Page 4","4","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/M3SkJRdUV","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FM3SkJRdUV",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_005.tif","Page","Page 5","5","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/rGhbp8u3t","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FrGhbp8u3t",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_006.tif","Page","Page 6","6","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/JmlCisSpM","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FJmlCisSpM",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_007.tif","Page","Page 7","7","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/FEUvzYWTt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FFEUvzYWTt",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_008.tif","Page","Page 8","8","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/0GpEUGhk6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2F0GpEUGhk6",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_009.tif","Page","Page 9","9","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/NwwAAORUL","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2FNwwAAORUL",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620814_segunda_010.tif","Page","Page 10","10","ark:/21198/z1x96f8m","ark:/21198/z1x96f8m/5jYhPGHSe","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x96f8m%2F5jYhPGHSe",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_001.tif","Page","Page 1","1","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/AkeeIsQks","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FAkeeIsQks",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_002.tif","Page","Page 2","2","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/LkFD4t8JE","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FLkFD4t8JE",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_003.tif","Page","Page 3","3","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/r1a602RUa","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2Fr1a602RUa",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_004.tif","Page","Page 4","4","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/uDviu3Gri","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FuDviu3Gri",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_005.tif","Page","Page 5","5","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/3JdtHklQk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2F3JdtHklQk",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_006.tif","Page","Page 6","6","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/CtrlOAPkn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FCtrlOAPkn",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_007.tif","Page","Page 7","7","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/D7VXHmKUC","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FD7VXHmKUC",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_008.tif","Page","Page 8","8","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/MyBaDXBq1","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FMyBaDXBq1",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_009.tif","Page","Page 9","9","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/4aNsFGbm8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2F4aNsFGbm8",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620815_segunda_010.tif","Page","Page 10","10","ark:/21198/z1ns4xxh","ark:/21198/z1ns4xxh/ncPTt2tgB","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns4xxh%2FncPTt2tgB",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_001.tif","Page","Page 1","1","ark:/21198/z1d83fct","ark:/21198/z1d83fct/NGt2bAWun","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2FNGt2bAWun",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_002.tif","Page","Page 2","2","ark:/21198/z1d83fct","ark:/21198/z1d83fct/GkktguTRv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2FGkktguTRv",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_003.tif","Page","Page 3","3","ark:/21198/z1d83fct","ark:/21198/z1d83fct/NxSZuhvEL","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2FNxSZuhvEL",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_004.tif","Page","Page 4","4","ark:/21198/z1d83fct","ark:/21198/z1d83fct/owvG52IF5","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2FowvG52IF5",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_005.tif","Page","Page 5","5","ark:/21198/z1d83fct","ark:/21198/z1d83fct/6SFLI0Dd4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2F6SFLI0Dd4",""
"Masters/othermasters/DEPhoy/images/segundas/ihc_hoy_19620816_segunda_006.tif","Page","Page 6","6","ark:/21198/z1d83fct","ark:/21198/z1d83fct/YXMavcQfR","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d83fct%2FYXMavcQfR",""
