Object Type,Parent ARK,Item ARK,File Name,Title,volume,issue,Contents note,Date.normalized,Format.extent,Format.medium,Genre,Title-old,Language,Local identifier,Place of origin,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,viewingHint,Repository,Subject topic,Program,Item Sequence,Visibility,Thumbnail,Note
Work,ark:/21198/z1sk0sgp,ark:/21198/z1580m30,,1904-01-08 (no. 7),,no. 7,dup,1904-01-08,6 pages,digitized microfilm,newspapers,"1904-01-08, Diario Republicano (no. 7)",spa|~|eng,ihc_lalucha_microfilm_19040108,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bd36rm,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z11g9v9t,,1904-01-09 (no. 8),,no. 8,dup,1904-01-09,6 pages,digitized microfilm,newspapers,"1904-01-09, Diario Republicano (no. 8)",spa|~|eng,ihc_lalucha_microfilm_19040109,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z4171p,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1wq9bth,,1904-01-11 (no. 9),,no. 9,dup,1904-01-11,6 pages,digitized microfilm,newspapers,"1904-01-11, Diario Republicano (no. 9)",spa|~|eng,ihc_lalucha_microfilm_19040111,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt8zpq,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1s279ht,,1904-01-12 (no. 10),,no. 10,dup,1904-01-12,6 pages,digitized microfilm,newspapers,"1904-01-12, Diario Republicano (no. 10)",spa|~|eng,ihc_lalucha_microfilm_19040112,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15n5f1q,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1n96js3,,1904-01-13 (no. 11),,no. 11,dup,1904-01-13,6 pages,digitized microfilm,newspapers,"1904-01-13, Diario Republicano (no. 11)",spa|~|eng,ihc_lalucha_microfilm_19040113,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sc3f0b,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1hj5t37,,1904-01-14 (no. 12),,no. 12,dup,1904-01-14,6 pages,digitized microfilm,newspapers,"1904-01-14, Diario Republicano (no. 12)",spa|~|eng,ihc_lalucha_microfilm_19040114,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d59w66,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1cs52fs,,1904-01-15 (no. 13),,no. 13,dup,1904-01-15,6 pages,digitized microfilm,newspapers,"1904-01-15, Diario Republicano (no. 13)",spa|~|eng,ihc_lalucha_microfilm_19040115,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w7n28,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z18149rt,,1904-01-16 (no. 14),,no. 14,dup,1904-01-16,6 pages,digitized microfilm,newspapers,"1904-01-16, Diario Republicano (no. 14)",spa|~|eng,ihc_lalucha_microfilm_19040116,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mq4bh3,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1483jz6,,1904-01-18 (no. 15),,no. 15,dup,1904-01-18,6 pages,digitized microfilm,newspapers,"1904-01-18, Diario Republicano (no. 15)",spa|~|eng,ihc_lalucha_microfilm_19040118,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17f23h8,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z10h2t6f,,1904-01-19 (no. 16),,no. 16,dup,1904-01-19,6 pages,digitized microfilm,newspapers,"1904-01-19, Diario Republicano (no. 16)",spa|~|eng,ihc_lalucha_microfilm_19040119,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v503ff,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
Work,ark:/21198/z1sk0sgp,ark:/21198/z1vv114v,,1904-01-20 (no. 17),,no. 17,dup,1904-01-20,6 pages,digitized microfilm,newspapers,"1904-01-20, Diario Republicano (no. 17)",spa|~|eng,ihc_lalucha_microfilm_19040120,Havana (Cuba),text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Instituto de Historia de Cuba,Havana (Cuba)--newspapers|~|Cuba--Politics and government--newspapers|~|Cuba--newspapers,International Digital Ephemera Project,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz6jrb,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.
