"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990531_001.tif","Page","Page 1","1","ark:/21198/z16207bt","ark:/21198/z1192fr9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1192fr9"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990531_002.tif","Page","Page 2","2","ark:/21198/z16207bt","ark:/21198/z1wn0nmf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wn0nmf"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990531_003.tif","Page","Page 3","3","ark:/21198/z16207bt","ark:/21198/z1rv9wz2","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv9wz2"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990601_001.tif","Page","Page 1","1","ark:/21198/z1289gn0","ark:/21198/z1n3955j","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n3955j"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990601_002.tif","Page","Page 2","2","ark:/21198/z1289gn0","ark:/21198/z1hb8dcx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb8dcx"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990601_003.tif","Page","Page 3","3","ark:/21198/z1289gn0","ark:/21198/z1ck7nmr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck7nmr"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990602_001.tif","Page","Page 1","1","ark:/21198/z1xh9070","ark:/21198/z17t6wxg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t6wxg"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990602_002.tif","Page","Page 2","2","ark:/21198/z1xh9070","ark:/21198/z1426596","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1426596"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990602_003.tif","Page","Page 3","3","ark:/21198/z1xh9070","ark:/21198/z10d43zb","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10d43zb"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990603_001.tif","Page","Page 1","1","ark:/21198/z1sr87h8","ark:/21198/z1vn3mhh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vn3mhh"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990603_002.tif","Page","Page 2","2","ark:/21198/z1sr87h8","ark:/21198/z1qw2vss","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qw2vss"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990603_003.tif","Page","Page 3","3","ark:/21198/z1sr87h8","ark:/21198/z1m423zd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m423zd"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990605_001.tif","Page","Page 1","1","ark:/21198/z1p07gph","ark:/21198/z1gc1c73","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gc1c73"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990605_002.tif","Page","Page 2","2","ark:/21198/z1p07gph","ark:/21198/z1bm0mk8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bm0mk8"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990605_003.tif","Page","Page 3","3","ark:/21198/z1p07gph","ark:/21198/z16x8k78","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x8k78"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990606_001.tif","Page","Page 1","1","ark:/21198/z1j76qww","ark:/21198/z1357tm6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1357tm6"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990606_002.tif","Page","Page 2","2","ark:/21198/z1j76qww","ark:/21198/z1zd7b66","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd7b66"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990606_003.tif","Page","Page 3","3","ark:/21198/z1j76qww","ark:/21198/z1tn6kdk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn6kdk"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990607_001.tif","Page","Page 1","1","ark:/21198/z1dg606d","ark:/21198/z1pw5tmz","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pw5tmz"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990607_002.tif","Page","Page 2","2","ark:/21198/z1dg606d","ark:/21198/z1k452t1","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k452t1"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990607_003.tif","Page","Page 3","3","ark:/21198/z1dg606d","ark:/21198/z1fc4b5m","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fc4b5m"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990608_001.tif","Page","Page 1","1","ark:/21198/z18t3xx2","ark:/21198/z19q28tr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19q28tr"
"Masters/othermasters/DEPlalucha/images/ihc_lalucha_microfilm/ihc_lalucha_microfilm_18990608_002.tif","Page","Page 2","2","ark:/21198/z18t3xx2","ark:/21198/z15z1j4w","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15z1j4w"
