Object Type,Title,Item ARK,Parent ARK,File Name,Visibility,Item Sequence,Thumbnail,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Format.medium,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1939-11 (año 01 | num. 01),ark:/21198/z1ps0hjd,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2b2m,,1939-11-01/1939-11-30,1939-11-01/1939-11-30,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,43 pages,digitized microfilm,newspapers,spa,ihc_revistactc_193911,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ps0hjd/manifest
Work,1939-12 (año 01 | num. 02),ark:/21198/z1k09rwb,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2q3p,,1939-12-01/1939-12-31,1939-12-01/1939-12-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_193912,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k09rwb/manifest
Work,1940-01 (año 02 | num. 03),ark:/21198/z1f7916v,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w336q,,1940-01-01/1940-01-31,1940-01-01/1940-01-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194001,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f7916v/manifest
Work,1940-02 (año 02 | num. 04),ark:/21198/z19k6zw2,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj25mn,,1940-02-01/1940-02-29,1940-02-01/1940-02-29,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194002,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k6zw2/manifest
Work,1940-03 (año 02 | num. 05),ark:/21198/z15t676k,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32jnq,,1904-03-01/1904-03-31,1904-03-01/1904-03-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194003,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15t676k/manifest
Work,1940-04 (año 02 | num. 06),ark:/21198/z1225gfq,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2xpg,,1940-04-01/1940-04-30,1940-04-01/1940-04-30,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,52 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194004,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1225gfq/manifest
Work,1940-05 (año 02 | num. 07),ark:/21198/z1x94zz1,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f79179,,1940-05-01/1940-05-31,1940-05-01/1940-05-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,46 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194005,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x94zz1/manifest
Work,1940-06 (año 02 | num. 08),ark:/21198/z1sj476n,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18ngr,,1940-06-01/1940-06-30,1940-06-01/1940-06-30,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,46 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194006,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj476n/manifest
Work,1940-07 (año 02 | num. 09),ark:/21198/z1ns3gjt,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt88v2,,1940-07-01/1940-07-31,1940-07-01/1940-07-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194007,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns3gjt/manifest
Work,1940-08 (año 02 | num. 10),ark:/21198/z1j12qvv,ark:/21198/z1z92136,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng7c9v,,1940-08-01/1940-08-31,1940-08-01/1940-08-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,44 pages,digitized microfilm,newspapers,spa,ihc_revistactc_194008,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Peña, Lazaro",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j12qvv/manifest
