File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_001.tif,Page,Page 1,1,1,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z10s2b2m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2b2m,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_002.tif,Page,Page 2,2,2,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1w11thb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11thb,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_003.tif,Page,Page 3,3,3,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1r812wb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r812wb,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_004.tif,Page,Page 4,4,4,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1mh0b6g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0b6g,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_005.tif,Page,Page 5,5,5,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1gt88tm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt88tm,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_006.tif,Page,Page 6,6,6,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1c27j42,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27j42,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_007.tif,Page,Page 7,7,7,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1796sbf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796sbf,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_008.tif,Page,Page 8,8,8,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z13j61m3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j61m3,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_009.tif,Page,Page 9,9,9,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1zs5j3c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5j3c,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_010.tif,Page,Page 10,10,10,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1v14sfv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14sfv,1939,1939-11 (año 01 | num. 01)
Masters/othermasters/DEPctc/images/ihc_revistactc_193911_011.tif,Page,Page 11,11,11,ark:/21198/z1z92136,ark:/21198/z1ps0hjd,ark:/21198/z1q841sd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q841sd,1939,1939-11 (año 01 | num. 01)
