Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Thumbnail,Local identifier,Contents note,date.created,Date.normalized,Format.extent,Genre,Language,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Name.editor,Subject,IIIF Manifest URL
Work,1945-04-16 (año 02 | no. 03),ark:/21198/z1v14q5f,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw81z4,ihc_americadeportiva_19450416,,16 de abril de 1945|~|1945-04-16,1945-04-16,18 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v14q5f/manifest
Work,1945-08-20 (año 02 | no. 07),ark:/21198/z1q83zg5,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h15nh,ihc_americadeportiva_19450820,,20 de agosto de 1945|~|1945-08-20,1945-08-20,30 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q83zg5/manifest
Work,1945-08-27 (año 02 | no. desconocido),ark:/21198/z1kh36px,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24hj6,ihc_americadeportiva_19450827,Issue number is missing.,27 de agosto de 1945|~|1945-08-27,1945-08-27,24 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh36px/manifest
Work,1945-09-03 (año 02 | no. 09),ark:/21198/z1fr2fz6,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2v9d,ihc_americadeportiva_19450903,,3 de septiembre de 1945|~|1945-09-03,1945-09-03,24 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fr2fz6/manifest
Work,1945-09-10 (año 02 | no. 10),ark:/21198/z1b01q6r,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86xxd,ihc_americadeportiva_19450910,,10 de septiembre de 1945|~|1945-09-10,1945-09-10,40 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b01q6r/manifest
Work,1945-09-24 (año 02 | no. 12),ark:/21198/z1699nvb,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2tzh,ihc_americadeportiva_19450924,,24 de septiembre de 1945|~|1945-09-24,1945-09-24,17 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1699nvb/manifest
Work,1945-10-08 (año 02 | no. 14),ark:/21198/z12j8x41,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1xs7,ihc_americadeportiva_19451008,,8 de octubre de 1945|~|1945-10-08,1945-10-08,22 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j8x41/manifest
Work,1945-10-15 (año 02 | no. 15),ark:/21198/z1xs8dr2,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r529s7,ihc_americadeportiva_19451015,,15 de octubre de 1945|~|1945-10-15,1945-10-15,21 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs8dr2/manifest
Work,1945-10-22 (año 02 | no. 16),ark:/21198/z1t17p12,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0fpc,ihc_americadeportiva_19451022,,22 de octubre de 1945|~|1945-10-22,1945-10-22,21 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t17p12/manifest
Work,1945-10-29 (año 02 | no. 17),ark:/21198/z1p86x8w,ark:/21198/z13j5z8d,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s78vg,ihc_americadeportiva_19451029,,29 de octubre de 1945|~|1945-10-29,1945-10-29,27 pages,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Jimenez, Llillo","Delgado y Villalba, Gabino",Sports -- Cuba -- Periodicals|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p86x8w/manifest
