File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_001.tif,Page,Page 1,1,1,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1kw81z4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw81z4,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_002.tif,Page,Page 2,2,2,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1g4798k,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g4798k,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_003.tif,Page,Page 3,3,3,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1bg5801,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5801,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_004.tif,Page,Page 4,4,4,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z16q4h7v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4h7v,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_005.tif,Page,Page 5,5,5,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z12z3rh4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3rh4,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_006.tif,Page,Page 6,6,6,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1z637z7,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z637z7,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_007.tif,Page,Page 7,7,7,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1tf2h8c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2h8c,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_008.tif,Page,Page 8,8,8,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1pp1rmj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1rmj,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_009.tif,Page,Page 9,9,9,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1jx10w6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx10w6,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_010.tif,Page,Page 10,10,10,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1f78zhp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78zhp,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_011.tif,Page,Page 11,11,11,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z19g86ts,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g86ts,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_012.tif,Page,Page 12,12,12,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z15q7g21,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7g21,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_013.tif,Page,Page 13,13,13,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z11z6qb9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6qb9,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_014.tif,Page,Page 14,14,14,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1x666v9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x666v9,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_015.tif,Page,Page 15,15,15,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1sf5g5f,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5g5f,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_016.tif,Page,Page 16,16,16,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1np4qd8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4qd8,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_017.tif,Page,Page 17,17,17,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1j12p41,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12p41,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450416_018.tif,Page,Page 18,18,18,ark:/21198/z13j5z8d,ark:/21198/z1v14q5f,ark:/21198/z1d81xd9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d81xd9,1945,1945-04-16 (año 02 | no. 03)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_001.tif,Page,Page 1,19,1,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z18h15nh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h15nh,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_002.tif,Page,Page 2,20,2,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z14r0dvw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0dvw,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_003.tif,Page,Page 3,21,3,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z10z9p6x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9p6x,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_004.tif,Page,Page 4,22,4,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1w695qx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w695qx,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_005.tif,Page,Page 5,23,5,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1rf8f12,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8f12,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_006.tif,Page,Page 6,24,6,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1ms6cr3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6cr3,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_007.tif,Page,Page 7,25,7,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1h15n0n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15n0n,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_008.tif,Page,Page 8,26,8,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1c84w8x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84w8x,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_009.tif,Page,Page 9,27,9,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z17h44gp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h44gp,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_010.tif,Page,Page 10,28,10,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z13r3csd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3csd,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_011.tif,Page,Page 11,29,11,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1002n3v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002n3v,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_012.tif,Page,Page 12,30,12,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1vb0v1w,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0v1w,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_013.tif,Page,Page 13,31,13,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1qk0383,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk0383,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_014.tif,Page,Page 14,32,14,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1ks9bk8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9bk8,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_015.tif,Page,Page 15,33,15,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1g18ksz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18ksz,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_016.tif,Page,Page 16,34,16,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z1b87v2n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87v2n,1945,1945-08-20 (año 02 | no. 07)
Masters/othermasters/DEPamerica-deportiva/images/ihc_americadeportiva_19450820_017.tif,Page,Page 17,35,17,ark:/21198/z13j5z8d,ark:/21198/z1q83zg5,ark:/21198/z16h73cr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h73cr,1945,1945-08-20 (año 02 | no. 07)
