File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_001.tif,Page,Page 1,1,1,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z1dc0v7w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0v7w,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_002.tif,Page,Page 2,2,2,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z18m03g3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m03g3,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_003.tif,Page,Page 3,3,3,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z14x825j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x825j,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_004.tif,Page,Page 4,4,4,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z11579gk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11579gk,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_005.tif,Page,Page 5,5,5,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z1wd6szf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6szf,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_006.tif,Page,Page 6,6,6,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z1rn627h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn627h,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521211_007.tif,Page,Page 7,7,7,ark:/21198/z1pv9ctf,ark:/21198/z1k38n1j,ark:/21198/z1mw59hs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw59hs,1952,1952-12-11
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_001.tif,Page,Page 1,8,1,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z1h44jv8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44jv8,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_002.tif,Page,Page 2,9,2,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z1cc3t4z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc3t4z,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_003.tif,Page,Page 3,10,3,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z17q1rtj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1rtj,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_004.tif,Page,Page 4,11,4,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z13z113m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z113m,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_005.tif,Page,Page 5,12,5,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z10608c6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10608c6,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_006.tif,Page,Page 6,13,6,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z1vd9rt2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9rt2,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521218_007.tif,Page,Page 7,14,7,ark:/21198/z1pv9ctf,ark:/21198/z1fb7w9t,ark:/21198/z1qn914k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn914k,1952,1952-12-18
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_001.tif,Page,Page 1,15,1,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z1kw88f9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw88f9,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_002.tif,Page,Page 2,16,2,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z1g47hrb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47hrb,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_003.tif,Page,Page 3,17,3,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z1bg5gdw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5gdw,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_004.tif,Page,Page 4,18,4,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z16q4qnq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4qnq,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_005.tif,Page,Page 5,19,5,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z12z3zzf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3zzf,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_006.tif,Page,Page 6,20,6,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z1z63gdz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63gdz,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225_007.tif,Page,Page 7,21,7,ark:/21198/z1pv9ctf,ark:/21198/z19k74mx,ark:/21198/z1tf2qp7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2qp7,1952,1952-12-25
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225sup_001.tif,Page,Page 1,22,1,ark:/21198/z1pv9ctf,ark:/21198/z15t6cxn,ark:/21198/z1pp202n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp202n,1952,1952-12-25 (Suplemento)
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225sup_002.tif,Page,Page 2,23,2,ark:/21198/z1pv9ctf,ark:/21198/z15t6cxn,ark:/21198/z1f795zc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f795zc,1952,1952-12-25 (Suplemento)
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225sup_003.tif,Page,Page 3,24,3,ark:/21198/z1pv9ctf,ark:/21198/z15t6cxn,ark:/21198/z15q7phb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7phb,1952,1952-12-25 (Suplemento)
Masters/othermasters/DEPazucar/images/ihc_azucar_19521225sup_004.tif,Page,Page 4,25,4,ark:/21198/z1pv9ctf,ark:/21198/z15t6cxn,ark:/21198/z1x66f91,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x66f91,1952,1952-12-25 (Suplemento)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_001.tif,Page,Page 1,26,1,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z1ns3n9r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3n9r,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_002.tif,Page,Page 2,27,2,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z1j12wms,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12wms,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_003.tif,Page,Page 3,28,3,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z1d824wf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d824wf,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_004.tif,Page,Page 4,29,4,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z18h1d54,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h1d54,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_005.tif,Page,Page 5,30,5,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z14r0nch,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0nch,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_006.tif,Page,Page 6,31,6,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z10z9wpp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9wpp,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530101_007.tif,Page,Page 7,32,7,ark:/21198/z1pv9ctf,ark:/21198/z1254bmz,ark:/21198/z1w69d63,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w69d63,1953,1953-01-01 (vol. 02 | no. 11)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_001.tif,Page,Page 1,33,1,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z1rj7bv7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj7bv7,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_002.tif,Page,Page 2,34,2,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z1ms6m6t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6m6t,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_003.tif,Page,Page 3,35,3,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z1h15vfz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15vfz,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_004.tif,Page,Page 4,36,4,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z1c853qm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c853qm,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_005.tif,Page,Page 5,37,5,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z17h4bx0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h4bx0,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_006.tif,Page,Page 6,38,6,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z13r3m74,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3m74,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530108_007.tif,Page,Page 7,39,7,ark:/21198/z1pv9ctf,ark:/21198/z1xd3v37,ark:/21198/z1002vj5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002vj5,1953,1953-01-08 (vol. 01 | no. 13)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_001.tif,Page,Page 1,40,1,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z1vb12gk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb12gk,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_002.tif,Page,Page 2,41,2,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z1qk09qd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk09qd,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_003.tif,Page,Page 3,42,3,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z1ks9k0j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9k0j,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_004.tif,Page,Page 4,43,4,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z1g18t7p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18t7p,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_005.tif,Page,Page 5,44,5,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z1b882hb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b882hb,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_006.tif,Page,Page 6,45,6,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z16h79sm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h79sm,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530115_007.tif,Page,Page 7,46,7,ark:/21198/z1pv9ctf,ark:/21198/z1sn33db,ark:/21198/z12r6k3r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6k3r,1953,1953-01-15 (vol. 01 | no. 14)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_001.tif,Page,Page 1,47,1,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z1z34s30,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34s30,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_002.tif,Page,Page 2,48,2,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z1tb41cn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb41cn,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_003.tif,Page,Page 3,49,3,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z1pk38mg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk38mg,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_004.tif,Page,Page 4,50,4,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z1jt2htv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2htv,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_005.tif,Page,Page 5,51,5,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z1f21s2d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21s2d,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_006.tif,Page,Page 6,52,6,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z19911dz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19911dz,1953,1953-01-19 (vol. 02 | no. 15)
Masters/othermasters/DEPazucar/images/ihc_azucar_19530119_007.tif,Page,Page 7,53,7,ark:/21198/z1pv9ctf,ark:/21198/z1nw2bmq,ark:/21198/z15j08p7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15j08p7,1953,1953-01-19 (vol. 02 | no. 15)
