Object Type,Item ARK,Parent ARK,Title,year,Local identifier,Thumbnail,Visibility,File Name,Item Sequence,Contents note,Date.created,Date.normalized,Unnamed: 13,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,IIIF Manifest URL,File_Name
Work,ark:/21198/z1pc5qvp,ark:/21198/z1xw777x,"1950-10-11 (vol. 01, no. 01)",1950,ihc_cartasemanal_19501011,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj4cgw,open,,,,11 de octubre de 1950|~|1950-10-11,1950-10-11,11.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pc5qvp/manifest,1950.csv
Work,ark:/21198/z1jm504r,ark:/21198/z1xw777x,"1950-10-18 (vol. 01, no. 02)",1950,ihc_cartasemanal_19501018,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m030t,open,,,,18 de octubre de 1950|~|1950-10-18,1950-10-18,18.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jm504r/manifest,1950.csv
Work,ark:/21198/z1dv47ck,ark:/21198/z1xw777x,"1950-10-25 (vol. 01, no. 03)",1950,ihc_cartasemanal_19501025,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj7bcz,open,,,,25 de octubre de 1950|~|1950-10-25,1950-10-25,25.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dv47ck/manifest,1950.csv
Work,ark:/21198/z1933gn5,ark:/21198/z1xw777x,"1950-11-01 (vol. 01, no. 04)",1950,ihc_cartasemanal_19501101,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m31xx,open,,,,1 de noviembre de 1950|~|1950-11-01,1950-11-01,1.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1933gn5/manifest,1950.csv
Work,ark:/21198/z15f1fb5,ark:/21198/z1xw777x,"1950-11-08 (vol. 01, no. 05)",1950,ihc_cartasemanal_19501108,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk0974,open,,,,8 de noviembre de 1950|~|1950-11-08,1950-11-08,8.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15f1fb5/manifest,1950.csv
Work,ark:/21198/z11p0pk0,ark:/21198/z1xw777x,"1950-11-15 (vol. 01, no. 06)",1950,ihc_cartasemanal_19501115,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m60r3,open,,,,15 de noviembre de 1950|~|1950-11-15,1950-11-15,15.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11p0pk0/manifest,1950.csv
Work,ark:/21198/z1wx0650,ark:/21198/z1xw777x,"1950-11-22 (vol. 01, no. 07)",1950,ihc_cartasemanal_19501122,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1zkk,open,,,,22 de noviembre de 1950|~|1950-11-22,1950-11-22,22.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wx0650/manifest,1950.csv
Work,ark:/21198/z1s49fgg,ark:/21198/z1xw777x,"1950-11-29 (vol. 01, no. 08)",1950,ihc_cartasemanal_19501129,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8zkw,open,,,,29 de noviembre de 1950|~|1950-11-29,1950-11-29,29.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s49fgg/manifest,1950.csv
Work,ark:/21198/z1nc8pq9,ark:/21198/z1xw777x,"1950-12-06 (vol. 01, no. 09)",1950,ihc_cartasemanal_19501206,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4xc9,open,,,,6 de diciembre de 1950|~|1950-12-06,1950-12-06,6.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nc8pq9/manifest,1950.csv
Work,ark:/21198/z1hm7xxp,ark:/21198/z1xw777x,"1950-12-13 (vol. 01, no. 10)",1950,ihc_cartasemanal_19501213,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1xgh,open,,,,13 de diciembre de 1950|~|1950-12-13,1950-12-13,13.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hm7xxp/manifest,1950.csv
Work,ark:/21198/z1cv766r,ark:/21198/z1xw777x,"1950-12-20 (vol. 01, no. 11)",1950,ihc_cartasemanal_19501220,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7w6g,open,,,,20 de diciembre de 1950|~|1950-12-20,1950-12-20,20.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv766r/manifest,1950.csv
Work,ark:/21198/z18654wn,ark:/21198/z1xw777x,"1950-12-27 (vol. 01, no. 12)",1950,ihc_cartasemanal_19501227,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n4wck,open,,,,27 de diciembre de 1950|~|1950-12-27,1950-12-27,27.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18654wn/manifest,1950.csv
Work,ark:/21198/z14f4d4w,ark:/21198/z1xw777x,"1951-01-03 (vol. 02, no. 13)",1951,ihc_cartasemanal_19510103,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0v16,open,,,,3 de enero de 1951|~|1951-01-03,1951-01-03,3.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14f4d4w/manifest,1951.csv
Work,ark:/21198/z10p3ng2,ark:/21198/z1xw777x,"1951-01-10 (vol. 02, no. 14)",1951,ihc_cartasemanal_19510110,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r6jm2,open,,,,10 de enero de 1951|~|1951-01-10,1951-01-10,10.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10p3ng2/manifest,1951.csv
Work,ark:/21198/z1vx351m,ark:/21198/z1xw777x,"1951-01-17 (vol. 02, no. 15)",1951,ihc_cartasemanal_19510117,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq3swd,open,,,,17 de enero de 1951|~|1951-01-17,1951-01-17,17.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vx351m/manifest,1951.csv
Work,ark:/21198/z1r52d79,ark:/21198/z1xw777x,"1951-01-24 (vol. 02, no. 16)",1951,ihc_cartasemanal_19510124,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r9hh4,open,,,,24 de enero de 1951|~|1951-01-24,1951-01-24,24.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r52d79/manifest,1951.csv
Work,ark:/21198/z1md1nhk,ark:/21198/z1xw777x,"1951-01-31 (vol. 02, no. 17)",1951,ihc_cartasemanal_19510131,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6rwt,open,,,,31 de enero de 1951|~|1951-01-31,1951-01-31,31.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1md1nhk/manifest,1951.csv
Work,ark:/21198/z1gn0wrd,ark:/21198/z1xw777x,"1951-02-07 (vol. 02, no. 18)",1951,ihc_cartasemanal_19510207,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2gbv,open,,,,7 de febrero de 1951|~|1951-02-07,1951-02-07,7.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn0wrd/manifest,1951.csv
Work,ark:/21198/z1bz8vhr,ark:/21198/z1xw777x,"1951-02-14 (vol. 02, no. 19)",1951,ihc_cartasemanal_19510214,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt8f38,open,,,,14 de febrero de 1951|~|1951-02-14,1951-02-14,14.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz8vhr/manifest,1951.csv
Work,ark:/21198/z17683sq,ark:/21198/z1xw777x,"1951-02-21 (vol. 02, no. 20)",1951,ihc_cartasemanal_19510221,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5pcm,open,,,,21 de febrero de 1951|~|1951-02-21,1951-02-21,21.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17683sq/manifest,1951.csv
Work,ark:/21198/z13f7c3v,ark:/21198/z1xw777x,"1951-02-28 (vol. 02, no. 21)",1951,ihc_cartasemanal_19510228,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv1d0w,open,,,,28 de febrero de 1951|~|1951-02-28,1951-02-28,28.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f7c3v/manifest,1951.csv
Work,ark:/21198/z1zp6vkq,ark:/21198/z1xw777x,"1951-03-07 (vol. 02, no. 22)",1951,ihc_cartasemanal_19510307,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8n94,open,,,,7 de marzo de 1951|~|1951-03-07,1951-03-07,7.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp6vkq/manifest,1951.csv
Work,ark:/21198/z1tx63vc,ark:/21198/z1xw777x,"1951-03-14 (vol. 02, no. 23)",1951,ihc_cartasemanal_19510314,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv4bv3,open,,,,14 de marzo de 1951|~|1951-03-14,1951-03-14,14.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx63vc/manifest,1951.csv
Work,ark:/21198/z1q55c2g,ark:/21198/z1xw777x,"1951-03-21 (vol. 02, no. 24)",1951,ihc_cartasemanal_19510321,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1m59,open,,,,21 de marzo de 1951|~|1951-03-21,1951-03-21,21.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q55c2g/manifest,1951.csv
Work,ark:/21198/z1kd4mbr,ark:/21198/z1xw777x,"1951-03-28 (vol. 02, no. 25)",1951,ihc_cartasemanal_19510328,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv79nt,open,,,,28 de marzo de 1951|~|1951-03-28,1951-03-28,28.0,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd4mbr/manifest,1951.csv
