File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501011_001.tif,Page,Page 1,1,1,ark:/21198/z1xw777x,ark:/21198/z1pc5qvp,ark:/21198/z1sj4cgw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj4cgw,1950,"1950-10-11 (vol. 01, no. 01)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501011_002.tif,Page,Page 2,2,2,ark:/21198/z1xw777x,ark:/21198/z1pc5qvp,ark:/21198/z1ns3mt2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns3mt2,1950,"1950-10-11 (vol. 01, no. 01)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501011_003.tif,Page,Page 3,3,3,ark:/21198/z1xw777x,ark:/21198/z1pc5qvp,ark:/21198/z1j12w4h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12w4h,1950,"1950-10-11 (vol. 01, no. 01)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501011_004.tif,Page,Page 4,4,4,ark:/21198/z1xw777x,ark:/21198/z1pc5qvp,ark:/21198/z1dc0tr6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0tr6,1950,"1950-10-11 (vol. 01, no. 01)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501018_001.tif,Page,Page 1,5,1,ark:/21198/z1xw777x,ark:/21198/z1jm504r,ark:/21198/z18m030t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18m030t,1950,"1950-10-18 (vol. 01, no. 02)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501018_002.tif,Page,Page 2,6,2,ark:/21198/z1xw777x,ark:/21198/z1jm504r,ark:/21198/z14t9bbf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t9bbf,1950,"1950-10-18 (vol. 01, no. 02)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501018_003.tif,Page,Page 3,7,3,ark:/21198/z1xw777x,ark:/21198/z1jm504r,ark:/21198/z1128kkk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128kkk,1950,"1950-10-18 (vol. 01, no. 02)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501018_004.tif,Page,Page 4,8,4,ark:/21198/z1xw777x,ark:/21198/z1jm504r,ark:/21198/z1w9833p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9833p,1950,"1950-10-18 (vol. 01, no. 02)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501025_001.tif,Page,Page 1,9,1,ark:/21198/z1xw777x,ark:/21198/z1dv47ck,ark:/21198/z1rj7bcz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj7bcz,1950,"1950-10-25 (vol. 01, no. 03)"
Masters/othermasters/DEPcarta_semanal/images/1950/ihc_cartasemanal_19501025_002.tif,Page,Page 2,10,2,ark:/21198/z1xw777x,ark:/21198/z1dv47ck,ark:/21198/z1ms6kq4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6kq4,1950,"1950-10-25 (vol. 01, no. 03)"
