Object Type,Title,Item ARK,Parent ARK,Visibility,Item Sequence,File Name,Thumbnail,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,volume | issue,Contributer.administrator,Contributer,IIIF Manifest URL
Work,1897-05-19,ark:/21198/z1vt4kf9,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm75k6,,,"Tears visible on edge of pages, print is blurry, and tape is visible across pages numbered 13 and 14.",mayo 19 de 1897|~|1897-05-19,1897-05-19,,,15 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970519,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan",,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 01,"Peláez, Angel",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt4kf9/manifest
Work,1897-07-04,ark:/21198/z1r23tqw,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3v0w,,,There is a faded stamp on the cover on the top left side of the page. Text is blurry and faded with smudge marks on numerous pages.,julio 4 de 1897|~|1897-07-04,1897-07-04,,,12 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970704,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan",,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 02,"Peláez, Angel",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r23tqw/manifest
Work,1897-07-18,ark:/21198/z1m932xn,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2hdg,,,There is a faded stamp on the cover on the top left side of the page. Text is blurry and faded.,julio 18 de 1897|~|1897-07-18,1897-07-18,,,14 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970718,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan",,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 03,"Peláez, Angel",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m932xn/manifest
Work,1897-08-08,ark:/21198/z1gj2b87,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09xmt,,,There is a faded stamp and a thin stain on the cover on the top left side of the page. Text is blurry and faded.,agosto 8 de 1897|~|1897-08-08,1897-08-08,,,14 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970808,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan",,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 04,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gj2b87/manifest
Work,1897-08-22,ark:/21198/z1bs1kgm,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj7bsb,,,There is a faded stamp and a thin stain on the cover on the top left side of the page. Text is blurry and faded.,agosto 22 de 1897|~|1897-08-22,1897-08-22,,,14 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970822,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan",,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 05,"Peláez, Angel",,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bs1kgm/manifest
Work,1897-09-26,ark:/21198/z1710tr6,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34s13,,,There is a faded stamp on the cover on the top left side of the page. Text is blurry and faded with smudge marks on numerous pages.,septiembre 26 de 1897|~|1897-09-26,1897-09-26,,,20 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18970926,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 06,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1710tr6/manifest
Work,1897-10-10,ark:/21198/z1380318,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c56d5h,,,There is a faded stamp on the cover on the top left side of the page.,Octubre 10 de 1897|~|1897-10-10,1897-10-10,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971010,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 07,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1380318/manifest
Work,1897-10-24,ark:/21198/z1zk891n,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18658td,,,"There is a faded stamp on the cover on the top left side of the page. There is a line drawn across page 2 in the right upper hand corner through the ""Sumario"" section. Line drawn across page 3 in the lower portion of the page. Visible tear in lower left corner of page 16.",Octubre 24 de 1897|~|1897-10-24,1897-10-24,,,19 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971024,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 08,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zk891n/manifest
Work,1897-11-14,ark:/21198/z1tt7j9x,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17x1z,,,Frail page edges. There is a faded stamp on the cover on the middle of the page. There is a line drawn across pages 16 and 17 on the right-middle side of the pages.,Noviembre 14 de 1897|~|1897-11-14,1897-11-14,,,24 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971114,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 09,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tt7j9x/manifest
Work,1897-11-28,ark:/21198/z1q26sj2,ark:/21198/z10g6cgt,open,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55h1p,,,Frail page edges. There is a faded stamp on the cover on the middle of the page. Tears visible on edge of pages.   Smudge marks on numerous pages. Pages 17 and 18 are upside down and out of order.,Noviembre 28 de 1897|~|1897-11-28,1897-11-28,,,25 pages,digitized microfilm,newspapers,spa,ihc_cayohueso_18971128,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Vilaró, Dr. Juan","Figueroa , S.",Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,vol. 01 | no. 10,"Peláez, Angel","Alonso, Eduardo|~|Armona, Dr. J. Ramón|~|Betances, Dr. R. E.|~|Borrero, Dr. Estéban|~|Byrne, Bonifacio|~|Cañizares, Dr. Felipe G.|~|Carbó, Luis |Craín, Horatio|~|Cuervo, Dr. Sebastián|~|Figueredo, Fernando|~|Gálvez, Wen|~|Guerra, Benjamín|~|González, Francisco M.|~|Miró, Fidel|~|Moré, Manuel|~|Porro A., Dr. Nicolás|~|Quesada, Gonzalo de|~|Revilla Dr. Carlos|~|Rosas, Julio|~|Sellén, Francisco|~|Uhrbach, Federico|~|Uhrbach Carlos Pío|~|Dulce María Borrero|~|Bosch y J. Barroso",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q26sj2/manifest
