Object Type,Title,Item ARK,Parent ARK,Thumbnail,File Name,Visibility,Item Sequence,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Contributor.administrator,Name.director,Name.editor,Subject,IIIF Manifest URL
Work,1890-??-29 (año 01),ark:/21198/z1rz1fm6,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66mpx,,open,,,1890-??-29,1890,6 pages,newspapers,spa,ihc_laclaridad_1890---29,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rz1fm6/manifest
Work,"1890-11-08 (año 01, número 06)",ark:/21198/z11g2pv8,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1307,,open,,,1890-11-08,1890-11-08,2 pages,newspapers,spa,ihc_laclaridad_18901108,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2pv8/manifest
Work,1890-11-10,ark:/21198/z1wq26cc,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69kf6,,open,,,1890-11-10,1890-11-10,4 pages,newspapers,spa,ihc_laclaridad_18901110,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq26cc/manifest
Work,1890-11-29,ark:/21198/z1n60pzp,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz118593x,,open,,,1890-11-29,1890-11-29,4 pages,newspapers,spa,ihc_laclaridad_18901129,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n60pzp/manifest
Work,"1891-03-21 (año 02, número 12)",ark:/21198/z1hd9z88,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb17sk,,open,,,1891-03-21,1891-03-21,4 pages,newspapers,spa,ihc_laclaridad_18910321,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9z88/manifest
Work,"1891-03-28 (año 02, número 13)",ark:/21198/z1cn96hg,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10887w7,,open,,,1891-03-28,1891-03-28,4 pages,newspapers,spa,ihc_laclaridad_18910328,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn96hg/manifest
Work,"1891-04-04 (año 02, número 14)",ark:/21198/z17w8fr9,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb46k9,,open,,,1891-04-04,1891-04-04,4 pages,newspapers,spa,ihc_laclaridad_18910404,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w8fr9/manifest
Work,"1891-04-11 (año 02, número 15)",ark:/21198/z1476dhh,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z91g0v,,open,,,1891-04-11,1891-04-11,4 pages,newspapers,spa,ihc_laclaridad_18910411,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1476dhh/manifest
Work,"1891-04-18 (año 02, número 16)",ark:/21198/z10g5nrb,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb75ht,,open,,,1891-04-18,1891-04-18,4 pages,newspapers,spa,ihc_laclaridad_18910418,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10g5nrb/manifest
Work,"1891-04-25 (año 02, número 17)",ark:/21198/z1vq5570,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd348s,,open,,,1891-04-25,1891-04-25,4 pages,newspapers,spa,ihc_laclaridad_18910425,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq5570/manifest
Work,1891-04-29 (Suplemento Extraordinario),ark:/21198/z1qz4djq,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc04gb,,open,,Suplemento Extraordinario,1891-04-29,1891-04-29,1 page,newspapers,spa,ihc_laclaridad_18910429,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz4djq/manifest
Work,"1891-05-02 (año 02, número 18)",ark:/21198/z1m63nw6,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9cp5,,open,,,1891-05-02,1891-05-02,4 pages,newspapers,spa,ihc_laclaridad_18910502,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63nw6/manifest
Work,"1891-05-09 (año 02, número 19)",ark:/21198/z1gf2x30,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5bdp,,open,,,1891-05-09,1891-05-09,4 pages,newspapers,spa,ihc_laclaridad_18910509,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2x30/manifest
Work,"1891-05-16 (año 02, número 20)",ark:/21198/z1bp25cn,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2bjb,,open,,,1891-05-16,1891-05-16,4 pages,newspapers,spa,ihc_laclaridad_18910516,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp25cn/manifest
Work,"1891-05-23 (año 02, número 21)",ark:/21198/z171041h,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn89cn,,open,,,1891-05-23,1891-05-23,4 pages,newspapers,spa,ihc_laclaridad_18910523,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz171041h/manifest
Work,"1891-05-30 (año 02, número 22)",ark:/21198/z1379c8s,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q40vq,,open,,,1891-05-30,1891-05-30,4 pages,newspapers,spa,ihc_laclaridad_18910530,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1379c8s/manifest
Work,"1891-06-20 (año 02, número 23)",ark:/21198/z1zg8vs3,ark:/21198/z1dn67nv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1888,,open,,,1891-06-20,1891-06-20,4 pages,newspapers,spa,ihc_laclaridad_18910620,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Escalante, Casimiro","Peñeñori, Angel","Alvarez Soto, Jesus",Havana (Cuba) -- Social life and customs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8vs3/manifest
