Object Type,Title,Local identifier,Item ARK,Parent ARK,Visibility,Thumbnail,File Name,Item Sequence,Date.created,Date.normalized,Description.note,Format.extent,Format.medium,Genre,Language,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,viewingHint,Subject,IIIF Manifest URL
Work,1945-08 año 01 | num. 01,ihc_cubaylaurss_194508,ark:/21198/z1w1203d,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5tk1,,,1945-08,1945-08,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,34 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w1203d/manifest
Work,1945-09 año 01 | num. 02,ihc_cubaylaurss_194509,ark:/21198/z1r817g1,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm17rm,,,1945-09,1945-09,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r817g1/manifest
Work,1945-10 año 01 | num. 03,ihc_cubaylaurss_194510,ark:/21198/z1mh0gr9,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m64cjs,,,1945-10,1945-10,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,38 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mh0gr9/manifest
Work,1945-11 año 01 | num. 04,ihc_cubaylaurss_194511,ark:/21198/z1gq9r1f,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516rf0,,,1945-11,1945-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq9r1f/manifest
Work,1945-12 año 01 | num. 05,ihc_cubaylaurss_194512,ark:/21198/z1bz908n,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj1dx9,,,1945-12,1945-12,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz908n/manifest
Work,1946-01 (año 02 | num. 06),ihc_cubaylaurss_194601,ark:/21198/z17687j7,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h44jrx,,,1946-01,1946-01,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17687j7/manifest
Work,1946-02 (año 02 | num. 07),ihc_cubaylaurss_194602,ark:/21198/z13f7gwd,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8zzt,,,1946-02,1946-02,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f7gwd/manifest
Work,1946-03 (año 02 | num. 08),ihc_cubaylaurss_194603,ark:/21198/z1zs5ppn,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v72bwm,,,1946-03,1946-03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs5ppn/manifest
Work,1946-04 (año 02 | num. 09),ihc_cubaylaurss_194604,ark:/21198/z1v14z1j,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5gk4,,,1946-04,1946-04,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v14z1j/manifest
Work,1946-05 (año 02 | num. 10),ihc_cubaylaurss_194605,ark:/21198/z1q846bn,ark:/21198/z10p3s81,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699wts,,,1946-05,1946-05,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,36 pages,digitized microfilm,magazines (periodicals),spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q846bn/manifest
