File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_001.tif,Page,Page 1,1,1,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z14b5tk1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5tk1,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_002.tif,Page,Page 2,2,2,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z10k52vp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k52vp,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_003.tif,Page,Page 3,3,3,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1vt4kcd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4kcd,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_004.tif,Page,Page 4,4,4,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1r23tmj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23tmj,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_005.tif,Page,Page 5,5,5,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1m932vr,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m932vr,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_006.tif,Page,Page 6,6,6,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1gn11jr,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn11jr,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_007.tif,Page,Page 7,7,7,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1bw08wx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw08wx,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_008.tif,Page,Page 8,8,8,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1739j6t,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739j6t,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_009.tif,Page,Page 9,9,9,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z13b8sfn,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8sfn,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_010.tif,Page,Page 10,10,10,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1zk88zb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk88zb,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_011.tif,Page,Page 11,11,11,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1tt7j6k,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7j6k,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_012.tif,Page,Page 12,12,12,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1q26sg5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26sg5,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_013.tif,Page,Page 13,13,13,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1kd4r55,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4r55,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_014.tif,Page,Page 14,14,14,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1fn40ft,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn40ft,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_015.tif,Page,Page 15,15,15,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z19w37s0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w37s0,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_016.tif,Page,Page 16,16,16,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z1642h03,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1642h03,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194508_017.tif,Page,Page 17,17,17,open,ark:/21198/z10p3s81,ark:/21198/z1w1203d,ark:/21198/z12c1r9t,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c1r9t,1945,1945-08 año 01 | num. 01
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_001.tif,Page,Page 1,18,1,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1xm17rm,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm17rm,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_002.tif,Page,Page 2,19,2,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1sv0h19,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0h19,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_003.tif,Page,Page 3,20,3,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1p58fqn,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58fqn,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_004.tif,Page,Page 4,21,4,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1jd7q1s,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7q1s,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_005.tif,Page,Page 5,22,5,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1dn6z92,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6z92,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_006.tif,Page,Page 6,23,6,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z18w66kq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w66kq,1945,1945-09 año 01 | num. 02
Masters/othermasters/DEPcuba_urss/images/1945/ihc_cubaylaurss_194509_007.tif,Page,Page 7,24,7,open,ark:/21198/z10p3s81,ark:/21198/z1r817g1,ark:/21198/z1545fv9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545fv9,1945,1945-09 año 01 | num. 02
