File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL,Range.1
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980224_001.tif,Page,Page 1,1,1,ark:/21198/z1gb4rxd,ark:/21198/z1bk4151,ark:/21198/z1zd0qsq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0qsq,"1898-02-24 (Año 4º, Número 71)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980224_002.tif,Page,Page 2,2,2,ark:/21198/z1gb4rxd,ark:/21198/z1bk4151,ark:/21198/z1pv9792,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv9792,"1898-02-24 (Año 4º, Número 71)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980224_003.tif,Page,Page 3,3,3,ark:/21198/z1gb4rxd,ark:/21198/z1bk4151,ark:/21198/z1fb7qs1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7qs1,"1898-02-24 (Año 4º, Número 71)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980224_004.tif,Page,Page 4,4,4,ark:/21198/z1gb4rxd,ark:/21198/z1bk4151,ark:/21198/z15t67d8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t67d8,"1898-02-24 (Año 4º, Número 71)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_001.tif,Page,Page 1,5,1,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z1xd3pkf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3pkf,"1898-03-15 (Año 4º, Número 72)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_002.tif,Page,Page 2,6,2,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z1nw263b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw263b,"1898-03-15 (Año 4º, Número 72)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_003.tif,Page,Page 3,7,3,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z1dc0prj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0prj,"1898-03-15 (Año 4º, Número 72)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_004.tif,Page,Page 4,8,4,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z14x7wnc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7wnc,"1898-03-15 (Año 4º, Número 72)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_005.tif,Page,Page 5,9,5,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z1wd6nf2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6nf2,"1898-03-15 (Año 4º, Número 72)"
Masters/othermasters/DEPcubanolibre/images/ihc_cubanolibre_18980315_006.tif,Page,Page 6,10,6,ark:/21198/z1gb4rxd,ark:/21198/z16t38h6,ark:/21198/z1mw54zj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw54zj,"1898-03-15 (Año 4º, Número 72)"
