Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,Thumbnail,Item Sequence,Visibility,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Place of origin,Publisher.publisherName,Repository,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,IIIF Manifest URL
Work,1897-04-01 (vol. 01 | no. 01),bncjm_cubayamerica_18970401,ark:/21198/z1h15ftx,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95nj6,,open,,1897-04-01,1897-04-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h15ftx/manifest
Work,1897-04-15 (vol. 01 | no. 02),bncjm_cubayamerica_18970415,ark:/21198/z1c84q25,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf37hg,,open,,1897-04-15,1897-04-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c84q25/manifest
Work,1897-05-01 (vol. 01 | no. 03),bncjm_cubayamerica_18970501,ark:/21198/z17h3zbf,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg242f,,open,,1897-05-01,1897-05-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3zbf/manifest
Work,1897-05-15 (vol. 01 | no. 04),bncjm_cubayamerica_18970515,ark:/21198/z13v1x00,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9q3p,,open,,1897-05-15,1897-05-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v1x00/manifest
Work,1897-06-01 (vol. 01 | no. 05),bncjm_cubayamerica_18970601,ark:/21198/z10315bv,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8kn7,,open,,1897-06-01,1897-06-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10315bv/manifest
Work,1897-06-15 (vol. 01 | no. 06),bncjm_cubayamerica_18970615,ark:/21198/z1vb0nx2,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r65qv,,open,,1897-06-15,1897-06-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb0nx2/manifest
Work,1897-07-01 (vol. 01 | no. 07),bncjm_cubayamerica_18970701,ark:/21198/z1qj9x49,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs59gd,,open,,1897-07-01,1897-07-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj9x49/manifest
Work,1897-07-15 (vol. 01 | no. 08),bncjm_cubayamerica_18970715,ark:/21198/z1ks95dz,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2wk3,,open,,1897-07-15,1897-07-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks95dz/manifest
Work,1897-08-01 (vol. 01 | no. 09),bncjm_cubayamerica_18970801,ark:/21198/z1g18dmn,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1s1q,,open,,1897-08-01,1897-08-01,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g18dmn/manifest
Work,1897-08-15 (vol. 01 | no. 10),bncjm_cubayamerica_18970815,ark:/21198/z1b87nxc,ark:/21198/z1pp1kgp,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29c50,,open,,1897-08-15,1897-08-15,24 pages,newspapers,spa,New York (USA),"Montero, Manuel",Biblioteca Nacional de Cuba José Martí,unknown,"http://www.bnjm.cu, portal@bnjm.cu",paged,Cuban literature -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b87nxc/manifest
