File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_001.tif,Page,Page 1,1,1,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1jt1t0f,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1t0f,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_002.tif,Page,Page 2,2,2,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1f2128d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f2128d,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_003.tif,Page,Page 3,3,3,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z19909mk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19909mk,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_004.tif,Page,Page 4,4,4,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z15h9jvv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9jvv,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_005.tif,Page,Page 5,5,5,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z11r8t4j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8t4j,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_006.tif,Page,Page 6,6,6,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1x3713q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x3713q,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_007.tif,Page,Page 7,7,7,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1sb68bj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb68bj,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_008.tif,Page,Page 8,8,8,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1nk5hmt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5hmt,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_009.tif,Page,Page 9,9,9,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1ht4rxj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4rxj,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_010.tif,Page,Page 10,10,10,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1d2417c,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d2417c,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_011.tif,Page,Page 11,11,11,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z18938hn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18938hn,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_012.tif,Page,Page 12,12,12,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z14j2hrg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2hrg,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_013.tif,Page,Page 13,13,13,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z10w0gck,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w0gck,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_014.tif,Page,Page 14,14,14,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1w39zx3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39zx3,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_015.tif,Page,Page 15,15,15,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1rb975q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb975q,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_016.tif,Page,Page 16,16,16,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1mk8ggf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8ggf,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_017.tif,Page,Page 17,17,17,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1gt7qs5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7qs5,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_018.tif,Page,Page 18,18,18,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1c2702j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c2702j,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_019.tif,Page,Page 19,19,19,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z179678x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz179678x,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_020.tif,Page,Page 20,20,20,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z13n461t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n461t,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_021.tif,Page,Page 21,21,21,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1zw3php,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3php,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_022.tif,Page,Page 22,22,22,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1v42xrt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42xrt,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_023.tif,Page,Page 23,23,23,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1qc262b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc262b,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_024.tif,Page,Page 24,24,24,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1km1fdh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1fdh,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_025.tif,Page,Page 25,25,25,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1fv0pmw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0pmw,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_026.tif,Page,Page 26,26,26,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1b29xwx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29xwx,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_027.tif,Page,Page 27,27,27,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z16d7wnt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7wnt,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_028.tif,Page,Page 28,28,28,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z12n74w1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n74w1,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_029.tif,Page,Page 29,29,29,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1xw6nc9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6nc9,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_030.tif,Page,Page 30,30,30,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1t45wpb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45wpb,1942,1942-05/1942-06 (año 01 | num. 01)
Masters/othermasters/DEPdialectica/images/ihc_dialectica_194205-194206_031.tif,Page,Page 31,31,31,ark:/21198/z1d81f1k,ark:/21198/z14q9xj4,ark:/21198/z1pc550v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc550v,1942,1942-05/1942-06 (año 01 | num. 01)
