"Object Type","Title","Item ARK","Parent ARK","Local identifier","Visibility","File Name","Item Sequence","Thumbnail","Date.created","Date.normalized","Contents note","Description.note","Format.extent","Format.medium","Genre","Language","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","viewingHint","Subject","IIIF Manifest URL"
"Work","1880-01-06 (vol. 02 | no. 05)","ark:/21198/z1zd0s8t","ark:/21198/z16t3b1r","ihc_ladiscusion_18800106","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k21gh","1880-01-06","1880-01-06","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zd0s8t/manifest"
"Work","1880-01-07 (vol. 02 | no. 06)","ark:/21198/z1tn01h1","ark:/21198/z16t3b1r","ihc_ladiscusion_18800107","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20s7c","1880-01-07","1880-01-07","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tn01h1/manifest"
"Work","1880-01-08 (vol. 02 | no. 07)","ark:/21198/z1pv98r9","ark:/21198/z16t3b1r","ihc_ladiscusion_18800108","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm804k","1880-01-08","1880-01-08","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pv98r9/manifest"
"Work","1880-01-09 (vol. 02 | no. 08)","ark:/21198/z1k38hz0","ark:/21198/z16t3b1r","ihc_ladiscusion_18800109","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836gpf","1880-01-09","1880-01-09","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k38hz0/manifest"
"Work","1880-01-10 (vol. 02 | no. 09)","ark:/21198/z1fb7s7p","ark:/21198/z16t3b1r","ihc_ladiscusion_18800110","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k5087","1880-01-10","1880-01-10","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fb7s7p/manifest"
"Work","1880-01-13 (vol. 02 | no. 09)","ark:/21198/z19k71k7","ark:/21198/z16t3b1r","ihc_ladiscusion_18800113","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23r30","1880-01-13","1880-01-13","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k71k7/manifest"
"Work","1880-01-14 (vol. 02 | no. 10)","ark:/21198/z15x507s","ark:/21198/z16t3b1r","ihc_ladiscusion_18800114","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0z0c","1880-01-14","1880-01-14","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x507s/manifest"
"Work","1880-01-15 (vol. 02 | no. 11)","ark:/21198/z12547k8","ark:/21198/z16t3b1r","ihc_ladiscusion_18800115","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739fmz","1880-01-15","1880-01-15","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12547k8/manifest"
"Work","1880-01-16 (vol. 02 | no. 12)","ark:/21198/z1xd3r13","ark:/21198/z16t3b1r","ihc_ladiscusion_18800116","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk86db","1880-01-16","1880-01-16","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd3r13/manifest"
"Work","1880-01-17 (vol. 02 | no. 13)","ark:/21198/z1sn30b6","ark:/21198/z16t3b1r","ihc_ladiscusion_18800117","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55dbg","1880-01-17","1880-01-17","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn30b6/manifest"
