"Object Type","Title","Item ARK","Parent ARK","Local identifier","Visibility","File Name","Item Sequence","Thumbnail","Date.created","Date.normalized","Contents note","Description.note","Format.extent","Format.medium","Genre","Language","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","viewingHint","Subject","IIIF Manifest URL"
"Work","1889-06-28 (vol. 01 | no. 14)","ark:/21198/z1m06vv9","ark:/21198/z1f54zmt","ihc_ladiscusion_18890628","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5cxc","1889-06-28","1889-06-28","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m06vv9/manifest"
"Work","1889-07-01 (vol. 01 | no. 15)","ark:/21198/z1g7644c","ark:/21198/z1f54zmt","ihc_ladiscusion_18890701","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3wdf","1889-07-01","1889-07-01","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","6 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g7644c/manifest"
"Work","1889-07-02 (vol. 01 | no. 16)","ark:/21198/z1bg5cf3","ark:/21198/z1f54zmt","ihc_ladiscusion_18890702","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0ktt","1889-07-02","1889-07-02","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg5cf3/manifest"
"Work","1889-07-03 (vol. 01 | no. 17)","ark:/21198/z16q4mng","ark:/21198/z1f54zmt","ihc_ladiscusion_18890703","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f793ft","1889-07-03","1889-07-03","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4mng/manifest"
"Work","1889-07-04 (vol. 01 | no. 18)","ark:/21198/z12z3vz6","ark:/21198/z1f54zmt","ihc_ladiscusion_18890704","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7kzx","1889-07-04","1889-07-04","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3vz6/manifest"
"Work","1889-07-10 (vol. 01 | no. 23)","ark:/21198/z1z63cf5","ark:/21198/z1f54zmt","ihc_ladiscusion_18890710","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x9526s","1889-07-10","1889-07-10","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","6 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z63cf5/manifest"
"Work","1889-07-11 (vol. 01 | no. 24)","ark:/21198/z1tj1b3q","ark:/21198/z1f54zmt","ihc_ladiscusion_18890711","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12t37","1889-07-11","1889-07-11","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","6 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj1b3q/manifest"
"Work","1889-07-15 (vol. 01 | no. 27)","ark:/21198/z1ps0kc0","ark:/21198/z1f54zmt","ihc_ladiscusion_18890715","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0jvj","1889-07-15","1889-07-15","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ps0kc0/manifest"
"Work","1889-07-16 (vol. 01 | no. 28)","ark:/21198/z1k09tqx","ark:/21198/z1f54zmt","ihc_ladiscusion_18890716","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9812d","1889-07-16","1889-07-16","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k09tqx/manifest"
"Work","1889-08-21 (vol. 01 | no. 57)","ark:/21198/z1f79300","ark:/21198/z1f54zmt","ihc_ladiscusion_18890821","open","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6hpv","1889-08-21","1889-08-21","","Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.","4 pages","digitized microfilm","newspapers","spa","","","","Havana (Cuba)","","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","individuals","Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f79300/manifest"
