File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890628_001.tif,Page,Page 1,1,1,ark:/21198/z1f54zmt,ark:/21198/z1m06vv9,ark:/21198/z1bg5cxc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg5cxc,1889,1889-06-28 (vol. 01 | no. 14)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890628_002.tif,Page,Page 2,2,2,ark:/21198/z1f54zmt,ark:/21198/z1m06vv9,ark:/21198/z16q4n45,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4n45,1889,1889-06-28 (vol. 01 | no. 14)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890701_001.tif,Page,Page 1,3,1,ark:/21198/z1f54zmt,ark:/21198/z1g7644c,ark:/21198/z12z3wdf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3wdf,1889,1889-07-01 (vol. 01 | no. 15)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890701_002.tif,Page,Page 2,4,2,ark:/21198/z1f54zmt,ark:/21198/z1g7644c,ark:/21198/z1z63cw0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63cw0,1889,1889-07-01 (vol. 01 | no. 15)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890701_003.tif,Page,Page 3,5,3,ark:/21198/z1f54zmt,ark:/21198/z1g7644c,ark:/21198/z1tj1bjj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj1bjj,1889,1889-07-01 (vol. 01 | no. 15)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890702_001.tif,Page,Page 1,6,1,ark:/21198/z1f54zmt,ark:/21198/z1bg5cf3,ark:/21198/z1ps0ktt,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ps0ktt,1889,1889-07-02 (vol. 01 | no. 16)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890702_002.tif,Page,Page 2,7,2,ark:/21198/z1f54zmt,ark:/21198/z1bg5cf3,ark:/21198/z1k09v55,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09v55,1889,1889-07-02 (vol. 01 | no. 16)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890703_001.tif,Page,Page 1,8,1,ark:/21198/z1f54zmt,ark:/21198/z16q4mng,ark:/21198/z1f793ft,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f793ft,1889,1889-07-03 (vol. 01 | no. 17)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890703_002.tif,Page,Page 2,9,2,ark:/21198/z1f54zmt,ark:/21198/z16q4mng,ark:/21198/z19g8bq3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g8bq3,1889,1889-07-03 (vol. 01 | no. 17)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890704_001.tif,Page,Page 1,10,1,ark:/21198/z1f54zmt,ark:/21198/z12z3vz6,ark:/21198/z15q7kzx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q7kzx,1889,1889-07-04 (vol. 01 | no. 18)
Masters/othermasters/DEPladiscusion/images/1889/ihc_ladiscusion_18890704_002.tif,Page,Page 2,11,2,ark:/21198/z1f54zmt,ark:/21198/z12z3vz6,ark:/21198/z11z6v82,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6v82,1889,1889-07-04 (vol. 01 | no. 18)
