Object Type,Title,Item ARK,Parent ARK,Local identifier,File Name,Thumbnail,Visibility,AltTitle.other,collection.physical,Item Sequence,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject,volume | issue,IIIF Manifest URL
Work,"1939-11 (año 01, num. 01)",ark:/21198/z1vq554n,ark:/21198/z10c6z7p,ihc_comunista_193911,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq556j,open,,,,,Noviembre 1939|~|1939-11,1939-11,,42 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vq554n/manifest
Work,"1939-12 (año 01, num. 02)",ark:/21198/z1qz4dgt,ark:/21198/z10c6z7p,ihc_comunista_193912,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb75gc,open,,,,,Diciembre 1939|~|1939-12,1939-12,,37 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qz4dgt/manifest
Work,"1940-01 (año 02, num. 03)",ark:/21198/z1m63nt9,ark:/21198/z10c6z7p,ihc_comunista_194001,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np46z7,open,,,,,Enero 1940|~|1940-01,1940-01,,36 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63nt9/manifest
Work,"1940-02 (año 02, num. 04)",ark:/21198/z1gf2x13,ark:/21198/z10c6z7p,ihc_comunista_194002,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1rzv,open,,,,,Febrero 1940|~|1940-02,1940-02,,38 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2x13/manifest
Work,"1940-03 (año 02, num. 05)",ark:/21198/z1bp2589,ark:/21198/z10c6z7p,ihc_comunista_194003,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6s6s,open,,,,,Marzo 1940|~|1940-03,1940-03,,41 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp2589/manifest
Work,"1940-04 (año 02, num. 06)",ark:/21198/z16x1dh4,ark:/21198/z10c6z7p,ihc_comunista_194004,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9sc5,open,,,,,Abril 1940|~|1940-04,1940-04,,39 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x1dh4/manifest
Work,"1940-05 (año 02, num. 07)",ark:/21198/z1350nvm,ark:/21198/z10c6z7p,ihc_comunista_194005,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5bc7,open,,,,,Mayo 1940|~|1940-05,1940-05,,37 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350nvm/manifest
Work,"1940-06 (año 02, num. 08)",ark:/21198/z1zg8vpr,ark:/21198/z10c6z7p,ihc_comunista_194006,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030v25,open,,,,,Junio 1940|~|1940-06,1940-06,,33 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zg8vpr/manifest
Work,"1940-07 (año 02, num. 09)",ark:/21198/z1tq8425,ark:/21198/z10c6z7p,ihc_comunista_194007,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0wft,open,,,,,Julio 1940|~|1940-07,1940-07,,33 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tq8425/manifest
Work,"1941-01 (año 03, num. 15)",ark:/21198/z1pz7cbf,ark:/21198/z10c6z7p,ihc_comunista_194101,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr205h,open,,,,,Enero 1941|~|1941-01,1941-01,,39 pages,,magazines (periodicals),spa,,,,Havana (Cuba),El Partido Comunista de Cuba,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,vol. 01 | no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pz7cbf/manifest
