File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_001.tif,Page,Page 1,1,1,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1vq556j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq556j,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_002.tif,Page,Page 2,2,2,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1qz4dh8,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz4dh8,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_003.tif,Page,Page 3,3,3,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1m63nvr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63nvr,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_004.tif,Page,Page 4,4,4,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1gf2x2j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2x2j,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_005.tif,Page,Page 5,5,5,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1bp259r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp259r,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_006.tif,Page,Page 6,6,6,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z16x1dk1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1dk1,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_007.tif,Page,Page 7,7,7,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1379c6w,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379c6w,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_008.tif,Page,Page 8,8,8,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1zg8vrn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8vrn,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_009.tif,Page,Page 9,9,9,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1tq843m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq843m,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_010.tif,Page,Page 10,10,10,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1pz7ccw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7ccw,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_011.tif,Page,Page 11,11,11,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1k66mng,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66mng,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_012.tif,Page,Page 12,12,12,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z1ff5vvv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5vvv,1939,"1939-11 (año 01, num. 01)"
Masters/othermasters/DEPcomunista/images/ihc_comunista_193911_013.tif,Page,Page 13,13,13,ark:/21198/z10c6z7p,ark:/21198/z1vq554n,ark:/21198/z19p544x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p544x,1939,"1939-11 (año 01, num. 01)"
