"Object Type","Title","Item ARK","Parent ARK","File Name","Visibility","Thumbnail","AltTitle.other","Item Sequence","Date.created","Date.normalized","Description.note","Format.extent","Format.medium","Genre","volume | issue","Language","Local identifier","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","Statement of Responsibility","Subject","Subject geographic","Subject temporal","viewingHint","IIIF Manifest URL"
"Work","1941-01-15 (vol. 01 | no. 01)","ark:/21198/z14q9q3t","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9bvc","","","1941-01-15","1941-01-15","","16 pages","","periodicals","vol. 01 | no. 01","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14q9q3t/manifest"
"Work","1941-02-01 (vol. 01 | no. 02)","ark:/21198/z10z8zf0","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w58mm","","","1941-02-01","1941-02-01","","16 pages","","periodicals","vol. 01 | no. 02","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10z8zf0/manifest"
"Work","1941-02-15 (vol. 01 | no. 03)","ark:/21198/z1w68fxj","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x168h","","","1941-02-15","1941-02-15","","16 pages","","periodicals","vol. 01 | no. 03","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w68fxj/manifest"
"Work","1941-03-01 (vol. 01 | no. 04)","ark:/21198/z1rf7q5s","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x742n","","","1941-03-01","1941-03-01","","16 pages","","periodicals","vol. 01 | no. 04","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf7q5s/manifest"
"Work","1941-03-15 (vol. 01 | no. 05)","ark:/21198/z1mp6zc5","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321r6p","","","1941-03-15","1941-03-15","","16 pages","","periodicals","vol. 01 | no. 05","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mp6zc5/manifest"
"Work","1941-04-01 (vol. 01 | no. 06)","ark:/21198/z1h14x4c","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127nvm","","","1941-04-01","1941-04-01","","16 pages","","periodicals","vol. 01 | no. 06","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h14x4c/manifest"
"Work","1941-04-15 (vol. 01 | no. 07)","ark:/21198/z1c845d1","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33tz7","","","1941-04-15","1941-04-15","","16 pages","","periodicals","vol. 01 | no. 07","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c845d1/manifest"
"Work","1941-05-01 (vol. 01 | no. 08)","ark:/21198/z17h3dp9","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68g2r","","","1941-05-01","1941-05-01","","16 pages","","periodicals","vol. 01 | no. 08","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17h3dp9/manifest"
"Work","1941-05-15 (vol. 01 | no. 09)","ark:/21198/z13r2p0f","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74cnb","","","1941-05-15","1941-05-15","","16 pages","","periodicals","vol. 01 | no. 09","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r2p0f/manifest"
"Work","1941-06-01 (vol. 01 | no. 10)","ark:/21198/z1001x81","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r809hx","","","1941-06-01","1941-06-01","","20 pages","","periodicals","vol. 01 | no. 10","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001x81/manifest"
"Work","1941-07-01 (vol. 01 | no. 11)","ark:/21198/z1v71dqt","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1xpd","","","1941-07-01/1941-07-15","1941-07-01/1941-07-15","","16 pages","","periodicals","vol. 01 | no. 11","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v71dqt/manifest"
"Work","1941-07-15 (vol. 01 | no. 12)","ark:/21198/z1qg0p0h","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7178","","","1941-07-16/1941-07-31","1941-07-16/1941-07-31","","16 pages","","periodicals","vol. 01 | no. 12","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0p0h/manifest"
"Work","1941-08-23 (vol. 01 | no. 13)","ark:/21198/z1ks8mq0","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6jwv","","","1941-08-23","1941-08-23","","18 pages","","periodicals","vol. 01 | no. 13","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ks8mq0/manifest"
"Work","1941-09-23 (vol. 01 | no. 14)","ark:/21198/z1g17vz4","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz179p","","","1941-09-23","1941-09-23","","16 pages","","periodicals","vol. 01 | no. 14","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g17vz4/manifest"
"Work","1941-10-03 (vol. 01 | no. 15)","ark:/21198/z1b8748n","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25vh2","","","1941-10-03","1941-10-03","","16 pages","","periodicals","vol. 01 | no. 15","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b8748n/manifest"
"Work","1941-10-30 (vol. 01 | no. 16)","ark:/21198/z16h6ckc","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31s7v","","","1941-10-30","1941-10-30","","12 pages","","periodicals","vol. 01 | no. 16","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h6ckc/manifest"
"Work","1941-11-28 (vol. 01 | no. 17)","ark:/21198/z12r5mvn","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350fm0","","","1941-11-28","1941-11-28","","16 pages","","periodicals","vol. 01 | no. 17","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5mvn/manifest"
"Work","1943-02-06 (vol. 02 | no. 18)","ark:/21198/z1z0548q","ark:/21198/z1d816kv","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156ccp","","","1943-02-06","1943-02-06","","20 pages","","periodicals","vol. 02 | no. 18","spa","","","","","Buenos Aires (Argentina)","","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","Argentina -- Politics and government -- 1910-1943 -- Periodicals","","","paged","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z0548q/manifest"
