File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_001.tif,Page,Page 1,1,1,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1bv9bvc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9bvc,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_002.tif,Page,Page 2,2,2,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1738m68,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738m68,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_003.tif,Page,Page 3,3,3,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z13b7vgj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7vgj,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_004.tif,Page,Page 4,4,4,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1zk7bzs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7bzs,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_005.tif,Page,Page 5,5,5,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1tt6m5k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6m5k,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_006.tif,Page,Page 6,6,6,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1q25vgm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25vgm,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_007.tif,Page,Page 7,7,7,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1k953t5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k953t5,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_008.tif,Page,Page 8,8,8,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1fn32dt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn32dt,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_009.tif,Page,Page 9,9,9,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z19w29sf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19w29sf,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_010.tif,Page,Page 10,10,10,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1641k10,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641k10,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_011.tif,Page,Page 11,11,11,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z12c0t8t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0t8t,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_012.tif,Page,Page 12,12,12,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1xm09r2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm09r2,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_013.tif,Page,Page 13,13,13,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1st9k16,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9k16,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_014.tif,Page,Page 14,14,14,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1p28td4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28td4,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_015.tif,Page,Page 15,15,15,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1jd6s17,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6s17,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss01_Jan1941_016.tif,Page,Page 16,16,16,ark:/21198/z1d816kv,ark:/21198/z14q9q3t,ark:/21198/z1dn61bb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn61bb,1941,1941-01-15 (vol. 01 | no. 01)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_001.tif,Page,Page 1,17,1,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z18w58mm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w58mm,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_002.tif,Page,Page 2,18,2,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1544ht9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544ht9,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_003.tif,Page,Page 3,19,3,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z11c3s2j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3s2j,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_004.tif,Page,Page 4,20,4,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1wm38mp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm38mp,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_005.tif,Page,Page 5,21,5,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1rv2j0q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2j0q,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_006.tif,Page,Page 6,22,6,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1n60gn5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n60gn5,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_007.tif,Page,Page 7,23,7,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1hd9r06,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hd9r06,1941,1941-02-01 (vol. 01 | no. 02)
Masters/othermasters/DEPelfortin/images/ucla_bib21499_vol01_iss02_Feb1941_008.tif,Page,Page 8,24,8,ark:/21198/z1d816kv,ark:/21198/z10z8zf0,ark:/21198/z1cn906z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn906z,1941,1941-02-01 (vol. 01 | no. 02)
