"Object Type","Title","Item ARK","Parent ARK","File Name","Item Sequence","Visibility","Thumbnail","Date.created","Date.normalized","Format.extent","Genre","Language","Place of origin","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","viewingHint","Name.director","Name.editor","Name.producer","Contributor.administrator","Subject","IIIF Manifest URL"
"Work","1908-07-18 (vol. 01 | no. 13)","ark:/21198/z1c27g2b","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw74gt","15 de Julio de 1908|~|1908-07-18","1908-07-18","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Acebal, Antonio","Escapa, Jeronimo","Escapa, Jeronimo","Cuba -- Politics and government -- 1906-1909|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27g2b/manifest"
"Work","1908-07-25 (vol. 01 | no. 14)","ark:/21198/z1796q8q","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx03cf","25 de Julio de 1908|~|1908-07-25","1908-07-25","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Acebal, Antonio","Escapa, Jeronimo","Escapa, Jeronimo","Cuba -- Politics and government -- 1906-1909|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1796q8q/manifest"
"Work","1908-08-01 (vol. 01 | no. 15)","ark:/21198/z13j5zhj","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx3272","1 de Agosto de 1908|~|1908-08-01","1908-08-01","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Acebal, Antonio","Escapa, Jeronimo","Escapa, Jeronimo","Cuba -- Politics and government -- 1906-1909|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5zhj/manifest"
"Work","1908-08-08 (vol. 01 | no. 16)","ark:/21198/z1zs5g23","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx6144","8 de Agosto de 1908|~|1908-08-08","1908-08-08","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Acebal, Antonio","Escapa, Jeronimo","Escapa, Jeronimo","Cuba -- Politics and government -- 1906-1909|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs5g23/manifest"
"Work","1908-08-15 (vol. 01 | no. 17)","ark:/21198/z1v43dp3","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17pcj","15 de Agosto de 1908|~|1908-08-15","1908-08-15","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Acebal, Antonio","Escapa, Jeronimo","Escapa, Jeronimo","Cuba -- Politics and government -- 1906-1909|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v43dp3/manifest"
"Work","1910-06-30 (vol. 01 | no. 20)","ark:/21198/z1qc2p1p","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20n85","30 de Junio de 1910|~|1910-06-30","1910-06-30","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Villaret, Miguel","Villaret, Miguel","Villaret, Miguel","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc2p1p/manifest"
"Work","1910-08-06 (vol. 01 | no. 21)","ark:/21198/z1km1xd9","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23m4s","6 de Agosto de 1910|~|1910-08-06","1910-08-06","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Villaret, Miguel","Villaret, Miguel","Villaret, Miguel","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km1xd9/manifest"
"Work","1910-08-13 (vol. 01 | no. 22)","ark:/21198/z1fv15m2","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26jx3","13 de Agosto de 1910|~|1910-08-13","1910-08-13","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Villaret, Miguel","Villaret, Miguel","Villaret, Miguel","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv15m2/manifest"
"Work","1910-08-20 (vol. 01 | no. 23)","ark:/21198/z1b30dwn","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm117d","20 de Agosto de 1910|~|1910-08-20","1910-08-20","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Villaret, Miguel","Villaret, Miguel","Villaret, Miguel","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b30dwn/manifest"
"Work","1910-08-27 (vol. 01 | no. 24)","ark:/21198/z1699p3w","ark:/21198/z1xd3m57","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c4gkx","27 de Agosto de 1910|~|1910-08-27","1910-08-27","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","","Villaret, Miguel","Villaret, Miguel","Villaret, Miguel","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1699p3w/manifest"
