File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,IIIF Manifest URL,Range.1
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230909_001.tif,Page,Page 1,1,1,ark:/21198/z19d46wg,ark:/21198/z1vx324q,ark:/21198/z1zg9bx2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9bx2,,1923-09-09 (vol. 01 | no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230909_002.tif,Page,Page 2,2,2,ark:/21198/z19d46wg,ark:/21198/z1vx324q,ark:/21198/z1tq8m8n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8m8n,,1923-09-09 (vol. 01 | no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230909_003.tif,Page,Page 3,3,3,ark:/21198/z19d46wg,ark:/21198/z1vx324q,ark:/21198/z1pz7vkc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7vkc,,1923-09-09 (vol. 01 | no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230909_004.tif,Page,Page 4,4,4,ark:/21198/z19d46wg,ark:/21198/z1vx324q,ark:/21198/z1k95t8p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k95t8p,,1923-09-09 (vol. 01 | no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230916_001.tif,Page,Page 1,5,1,ark:/21198/z19d46wg,ark:/21198/z1r529bd,ark:/21198/z1fj52ks,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj52ks,,1923-09-16 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230916_002.tif,Page,Page 2,6,2,ark:/21198/z19d46wg,ark:/21198/z1r529bd,ark:/21198/z19s49s5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s49s5,,1923-09-16 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230916_003.tif,Page,Page 3,7,3,ark:/21198/z19d46wg,ark:/21198/z1r529bd,ark:/21198/z1613k25,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613k25,,1923-09-16 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230916_004.tif,Page,Page 4,8,4,ark:/21198/z19d46wg,ark:/21198/z1r529bd,ark:/21198/z1282t8j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282t8j,,1923-09-16 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230923_001.tif,Page,Page 1,9,1,ark:/21198/z19d46wg,ark:/21198/z1md1jmp,ark:/21198/z1xh29v4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh29v4,,1923-09-23 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230923_002.tif,Page,Page 2,10,2,ark:/21198/z19d46wg,ark:/21198/z1md1jmp,ark:/21198/z1sr1k58,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1k58,,1923-09-23 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230923_003.tif,Page,Page 3,11,3,ark:/21198/z19d46wg,ark:/21198/z1md1jmp,ark:/21198/z1p29hvm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29hvm,,1923-09-23 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19230923_004.tif,Page,Page 4,12,4,ark:/21198/z19d46wg,ark:/21198/z1md1jmp,ark:/21198/z1j98s5r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98s5r,,1923-09-23 (vol. 01 | no. 03)
