"Object Type","Title","Item ARK","Parent ARK","File Name","Item Sequence","Visibility","Thumbnail","Date.created","Date.normalized","Format.extent","Genre","Language","Place of origin","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","viewingHint","Name.director","Name.editor","Name.producer","Contributor.administrator","Subject","IIIF Manifest URL"
"Work","1933-10-04 (vol. 01| no. 01)","ark:/21198/z1gn0st2","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj81dz","4 de Octubre de 1933|~|1933-10-04","1933-10-04","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn0st2/manifest"
"Work","1933-10-07 (vol. 01 | no. 02)","ark:/21198/z1bw0251","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh58r6","7 de Octubre de 1933|~|1933-10-07","1933-10-07","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bw0251/manifest"
"Work","1933-10-11 (vol. 01 | no. 03)","ark:/21198/z17680vc","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck1067","11 de Octubre de 1933|~|1933-10-11","1933-10-11","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17680vc/manifest"
"Work","1933-10-14 (vol. 01 | no. 04)","ark:/21198/z13f787d","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm6z0q","14 de Octubre de 1922|~|1933-10-14","1933-10-14","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13f787d/manifest"
"Work","1933-10-18 (vol. 01 | no. 05)","ark:/21198/z1zp6rq8","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3z11","18 de Octubre de 1933|~|1933-10-18","1933-10-18","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zp6rq8/manifest"
"Work","1933-10-21 (vol. 01 | no. 06)","ark:/21198/z1tx610b","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm9wwc","21 de Octubre de 1933|~|1933-10-21","1933-10-21","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tx610b/manifest"
"Work","1933-10-25 (vol. 01 | no. 07)","ark:/21198/z1q55861","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6wz4","25 de Octubre de 1933|~|1933-10-25","1933-10-25","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q55861/manifest"
"Work","1933-10-28 (vol. 01 | no. 08)","ark:/21198/z1kd4hfv","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2vrj","28 de Octubre de 1933|~|1933-10-28","1933-10-28","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kd4hfv/manifest"
"Work","1933-11-01 (vol. 01 | no. 09)","ark:/21198/z1fn3rrk","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8k7g","1 de Noviembre de 1933|~|1933-11-01","1933-11-01","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fn3rrk/manifest"
"Work","1933-11-04 (vol. 01 | no. 10)","ark:/21198/z1b01qdf","ark:/21198/z15n3g55","","","open","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5tkq","4 de Noviembre de 1933|~|1933-11-04","1933-11-04","4 pages","newspapers","spa","Havana (Cuba)","Instituto de Historia de Cuba","text","unknown","http://www.ihc.cu/, webmaster@ihc.cu","paged","Cabrera, Armando Ricardo","Gómez Cárdenas, Rolando","Córdoba Aguilera, Ramón E.","Córdoba Aguilera, Ramón E.","Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b01qdf/manifest"
