File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,IIIF Manifest URL,Range.1,Range.2
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331004_001.tif,Page,Page 1,1,1,ark:/21198/z15n3g55,ark:/21198/z1gn0st2,ark:/21198/z1dj81dz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj81dz,,1933,1933-10-04 (vol. 01| no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331004_002.tif,Page,Page 2,2,2,ark:/21198/z15n3g55,ark:/21198/z1gn0st2,ark:/21198/z18s78mb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s78mb,,1933,1933-10-04 (vol. 01| no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331004_003.tif,Page,Page 3,3,3,ark:/21198/z15n3g55,ark:/21198/z1gn0st2,ark:/21198/z1516hwx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516hwx,,1933,1933-10-04 (vol. 01| no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331004_004.tif,Page,Page 4,4,4,ark:/21198/z15n3g55,ark:/21198/z1gn0st2,ark:/21198/z1185s62,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185s62,,1933,1933-10-04 (vol. 01| no. 01)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331007_001.tif,Page,Page 1,5,1,ark:/21198/z15n3g55,ark:/21198/z1bw0251,ark:/21198/z1wh58r6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh58r6,,1933,1933-10-07 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331007_002.tif,Page,Page 2,6,2,ark:/21198/z15n3g55,ark:/21198/z1bw0251,ark:/21198/z1rv37gn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv37gn,,1933,1933-10-07 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331007_003.tif,Page,Page 3,7,3,ark:/21198/z15n3g55,ark:/21198/z1bw0251,ark:/21198/z1n32gqs,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32gqs,,1933,1933-10-07 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331007_004.tif,Page,Page 4,8,4,ark:/21198/z15n3g55,ark:/21198/z1bw0251,ark:/21198/z1hb1r0g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1r0g,,1933,1933-10-07 (vol. 01 | no. 02)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331011_001.tif,Page,Page 1,9,1,ark:/21198/z15n3g55,ark:/21198/z17680vc,ark:/21198/z1ck1067,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck1067,,1933,1933-10-11 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331011_002.tif,Page,Page 2,10,2,ark:/21198/z15n3g55,ark:/21198/z17680vc,ark:/21198/z17t07f2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t07f2,,1933,1933-10-11 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331011_003.tif,Page,Page 3,11,3,ark:/21198/z15n3g55,ark:/21198/z17680vc,ark:/21198/z1419gs0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419gs0,,1933,1933-10-11 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331011_004.tif,Page,Page 4,12,4,ark:/21198/z15n3g55,ark:/21198/z17680vc,ark:/21198/z1088r2p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1088r2p,,1933,1933-10-11 (vol. 01 | no. 03)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331014_001.tif,Page,Page 1,13,1,ark:/21198/z15n3g55,ark:/21198/z13f787d,ark:/21198/z1vm6z0q,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm6z0q,,1933,1933-10-14 (vol. 01 | no. 04)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331014_002.tif,Page,Page 2,14,2,ark:/21198/z15n3g55,ark:/21198/z13f787d,ark:/21198/z1qv669t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv669t,,1933,1933-10-14 (vol. 01 | no. 04)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331014_003.tif,Page,Page 3,15,3,ark:/21198/z15n3g55,ark:/21198/z13f787d,ark:/21198/z1m35fhh,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35fhh,,1933,1933-10-14 (vol. 01 | no. 04)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331014_004.tif,Page,Page 4,16,4,ark:/21198/z15n3g55,ark:/21198/z13f787d,ark:/21198/z1gb4prb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4prb,,1933,1933-10-14 (vol. 01 | no. 04)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331018_001.tif,Page,Page 1,17,1,ark:/21198/z15n3g55,ark:/21198/z1zp6rq8,ark:/21198/z1bk3z11,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3z11,,1933,1933-10-18 (vol. 01 | no. 05)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331018_002.tif,Page,Page 2,18,2,ark:/21198/z15n3g55,ark:/21198/z1zp6rq8,ark:/21198/z16t36d1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t36d1,,1933,1933-10-18 (vol. 01 | no. 05)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331018_003.tif,Page,Page 3,19,3,ark:/21198/z15n3g55,ark:/21198/z1zp6rq8,ark:/21198/z1322fpm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1322fpm,,1933,1933-10-18 (vol. 01 | no. 05)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331018_004.tif,Page,Page 4,20,4,ark:/21198/z15n3g55,ark:/21198/z1zp6rq8,ark:/21198/z1zd0nmn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0nmn,,1933,1933-10-18 (vol. 01 | no. 05)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331021_001.tif,Page,Page 1,21,1,ark:/21198/z15n3g55,ark:/21198/z1tx610b,ark:/21198/z1tm9wwc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm9wwc,,1933,1933-10-21 (vol. 01 | no. 06)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331021_002.tif,Page,Page 2,22,2,ark:/21198/z15n3g55,ark:/21198/z1tx610b,ark:/21198/z1pv9540,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv9540,,1933,1933-10-21 (vol. 01 | no. 06)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331021_003.tif,Page,Page 3,23,3,ark:/21198/z15n3g55,ark:/21198/z1tx610b,ark:/21198/z1k38dbp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38dbp,,1933,1933-10-21 (vol. 01 | no. 06)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331021_004.tif,Page,Page 4,24,4,ark:/21198/z15n3g55,ark:/21198/z1tx610b,ark:/21198/z1fb7nmz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7nmz,,1933,1933-10-21 (vol. 01 | no. 06)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331025_001.tif,Page,Page 1,25,1,ark:/21198/z15n3g55,ark:/21198/z1q55861,ark:/21198/z19k6wz4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6wz4,,1933,1933-10-25 (vol. 01 | no. 07)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331025_002.tif,Page,Page 2,26,2,ark:/21198/z15n3g55,ark:/21198/z1q55861,ark:/21198/z15t658n,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t658n,,1933,1933-10-25 (vol. 01 | no. 07)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331025_003.tif,Page,Page 3,27,3,ark:/21198/z15n3g55,ark:/21198/z1q55861,ark:/21198/z12543zj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12543zj,,1933,1933-10-25 (vol. 01 | no. 07)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331025_004.tif,Page,Page 4,28,4,ark:/21198/z15n3g55,ark:/21198/z1q55861,ark:/21198/z1xd3mft,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3mft,,1933,1933-10-25 (vol. 01 | no. 07)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331028_001.tif,Page,Page 1,29,1,ark:/21198/z15n3g55,ark:/21198/z1kd4hfv,ark:/21198/z1sn2vrj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2vrj,,1933,1933-10-28 (vol. 01 | no. 08)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331028_002.tif,Page,Page 2,30,2,ark:/21198/z15n3g55,ark:/21198/z1kd4hfv,ark:/21198/z1nw23z9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw23z9,,1933,1933-10-28 (vol. 01 | no. 08)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331028_003.tif,Page,Page 3,31,3,ark:/21198/z15n3g55,ark:/21198/z1kd4hfv,ark:/21198/z1j41c8r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41c8r,,1933,1933-10-28 (vol. 01 | no. 08)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331028_004.tif,Page,Page 4,32,4,ark:/21198/z15n3g55,ark:/21198/z1kd4hfv,ark:/21198/z1dc0mnc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dc0mnc,,1933,1933-10-28 (vol. 01 | no. 08)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331101_001.tif,Page,Page 1,33,1,ark:/21198/z15n3g55,ark:/21198/z1fn3rrk,ark:/21198/z18p8k7g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8k7g,,1933,1933-11-01 (vol. 01 | no. 09)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331101_002.tif,Page,Page 2,34,2,ark:/21198/z15n3g55,ark:/21198/z1fn3rrk,ark:/21198/z14x7tj6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7tj6,,1933,1933-11-01 (vol. 01 | no. 09)
Masters/othermasters/DEPsocialista/images/ihc_elsocialista_19331101_003.tif,Page,Page 3,35,3,ark:/21198/z15n3g55,ark:/21198/z1fn3rrk,ark:/21198/z11572vm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11572vm,,1933,1933-11-01 (vol. 01 | no. 09)
