Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1941-04 (vol. 01 | no. 01),ihc_fundamentos_194104,ark:/21198/z1x09014,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18rvx,Open,,,,1941-04-01,1941-04,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,79 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x09014/manifest
Work,1941-05 (vol. 01 | no. 02),ihc_fundamentos_194105,ark:/21198/z1s7878z,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19628mw,Open,,,,1941-05-01,1941-05,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,81 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s7878z/manifest
Work,1941-06 (vol. 01 | no. 03),ihc_fundamentos_194106,ark:/21198/z1ng7gm4,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k51nk,Open,,,,1941-06-01,1941-06,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,74 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng7gm4/manifest
Work,1941-07 (vol. 01 | no. 04),ihc_fundamentos_194107,ark:/21198/z1hq6qz9,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1351bc0,Open,,,,1941-07-01,1941-07,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,138 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hq6qz9/manifest
Work,"1941-09, 1941-10 (vol. 01 | no. 06-07)",ihc_fundamentos_194109_194110,ark:/21198/z1d24pm5,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09wbt,Open,,,,1941-09/1941-10,1941-09/1941-10,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,100 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d24pm5/manifest
Work,1941-11 (vol. 01 | no. 08),ihc_fundamentos_194111,ark:/21198/z1893xxw,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002t68,Open,,,,1941-11-01,1941-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,39 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1893xxw/manifest
Work,1942-01 (vol. 02 | no. 09),ihc_fundamentos_194201,ark:/21198/z14j365h,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24pp2,Open,,,,enero de 1942|~|1942-01,1942-01,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,83 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j365h/manifest
Work,"1942-02, 1942-03 (vol. 02 | no. 10-11)",ihc_fundamentos_194202_194203,ark:/21198/z10s2fdb,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6z5k,Open,,,,"febrero de 1942, marzo de 1942|~|1942-02/1942-03",1942-02/1942-03,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,63 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s2fdb/manifest
Work,1942-04 (vol. 2 | no. 12),ihc_fundamentos_194204,ark:/21198/z1w11xv2,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7h0g,Open,,,,abril de 1942|~|1942-04,1942-04,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,50 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w11xv2/manifest
Work,"1942-05, 1942-06 (vol 2 | no. 13)",ihc_fundamentos_194205_194206,ark:/21198/z1r8167g,ark:/21198/z11r9gj5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x233d,Open,,,,"mayo de 1942,  junio de 1942|~|1942-05/1942-06",1942-05/1942-06,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,70 pages,digitized microfilm,magazines (periodicals),spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,"Roca, Blas",Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r8167g/manifest
