File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_001.tif,Page,Page 1,1,1,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1g18rvx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18rvx,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_002.tif,Page,Page 2,2,2,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1b88140,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b88140,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_003.tif,Page,Page 3,3,3,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z16h78fq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h78fq,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_004.tif,Page,Page 4,4,4,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z12v5738,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v5738,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_005.tif,Page,Page 5,5,5,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1z34qq7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34qq7,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_006.tif,Page,Page 6,6,6,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1tb3zz2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3zz2,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_007.tif,Page,Page 7,7,7,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1pk376p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk376p,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_008.tif,Page,Page 8,8,8,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1jt2gd2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2gd2,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_009.tif,Page,Page 9,9,9,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1f21qn6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21qn6,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_010.tif,Page,Page 10,10,10,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z199101m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz199101m,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_011.tif,Page,Page 11,11,11,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z15m8xq8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8xq8,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_012.tif,Page,Page 12,12,12,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z11v861s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v861s,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_013.tif,Page,Page 13,13,13,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1x37pjd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37pjd,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_014.tif,Page,Page 14,14,14,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1sb6xs7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6xs7,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_015.tif,Page,Page 15,15,15,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1nk6629,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk6629,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_016.tif,Page,Page 16,16,16,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1ht5f94,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5f94,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_017.tif,Page,Page 17,17,17,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1d24pnm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24pnm,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_018.tif,Page,Page 18,18,18,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z18d2n78,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2n78,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_019.tif,Page,Page 19,19,19,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z14n1wmw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1wmw,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_020.tif,Page,Page 20,20,20,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z10w14tn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w14tn,1941,1941-04 (vol. 01 | no. 01)
Masters/othermasters/DEPfundamentos/images/1941/ihc_fundamentos_194104_021.tif,Page,Page 21,21,21,ark:/21198/z11r9gj5,ark:/21198/z1x09014,ark:/21198/z1w40nc4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40nc4,1941,1941-04 (vol. 01 | no. 01)
