Object Type,Title,Item ARK,Parent ARK,File Name,Visibility,Thumbnail,AltTitle.other,collection.physical,Item Sequence,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.editor,Subject,IIIF Manifest URL
Work,1974-06-19,ark:/21198/z1c26rsp,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m63j3n,,,,,1974-06-19,1974-06-19,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26rsp/manifest
Work,1974-06-20,ark:/21198/z17960z0,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13797gt,,,,,1974-06-20,1974-06-20,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17960z0/manifest
Work,1974-06-21,ark:/21198/z13j5867,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66gxd,,,,,1974-06-21,1974-06-21,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5867/manifest
Work,1974-06-22,ark:/21198/z1zs4rsf,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12826cf,,,,,1974-06-22,1974-06-22,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4rsf/manifest
Work,1974-06-24,ark:/21198/z1v42qgr,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98576,,,,,1974-06-24,1974-06-24,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v42qgr/manifest
Work,1974-11-19,ark:/21198/z1qc1ztx,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz118559z,,,,,1974-11-19,1974-11-19,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc1ztx/manifest
Work,1974-11-20,ark:/21198/z1km175w,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb141g,,,,,1974-11-20,1974-11-20,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km175w/manifest
Work,1974-11-21,ark:/21198/z1fv0gc8,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz108845k,,,,,1974-11-21,1974-11-21,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fv0gc8/manifest
Work,1974-11-22,ark:/21198/z1b29qkd,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb42v7,,,,,1974-11-22,1974-11-22,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29qkd/manifest
Work,1974-11-23,ark:/21198/z1698zt7,ark:/21198/z1f787wx,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd01qj,,,,,1974-11-23,1974-11-23,,,,,4 pages,,newspapers,chi,,,,,"Havana, (Cuba)",,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1698zt7/manifest
