Object Type,Title,Item ARK,Parent ARK,File Name,Visibility,Thumbnail,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject,IIIF Manifest URL
Work,1947-07-29 (año 26 | num. 8551),ark:/21198/z17m270x,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13mc,,,,,1947-07-29,1947-07-29,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m270x/manifest
Work,1953-02-02 (año 32 | num. 10226),ark:/21198/z13v1g7r,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n42hf,,,,,1953-02-02,1953-02-02,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v1g7r/manifest
Work,1953-02-03 (año 32 | num. 10227),ark:/21198/z1030qjs,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5qrj,,,,,1953-02-03,1953-02-03,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030qjs/manifest
Work,1953-02-04 (año 32 | num. 10228),ark:/21198/z1vb074s,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8pm5,,,,,1953-02-04,1953-02-04,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vb074s/manifest
Work,1953-02-05 (año 32 | num. 10229),ark:/21198/z1qj9gc2,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1nfw,,,,,1953-02-05,1953-02-05,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qj9gc2/manifest
Work,1953-02-06 (año 32 | num. 10230),ark:/21198/z1kw7f3h,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4vjj,,,,,1953-02-06,1953-02-06,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw7f3h/manifest
Work,1953-02-07 (año 32 | num. 10231),ark:/21198/z1g46pdj,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7tg2,,,,,1953-02-07,1953-02-07,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g46pdj/manifest
Work,1953-02-09 (año 32 | num. 10232),ark:/21198/z1bc5xmx,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0sb7,,,,,1953-02-09,1953-02-09,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bc5xmx/manifest
Work,1953-02-10 (año 32 | num. 10233),ark:/21198/z16m55v4,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2fnm,,,,,1953-02-10,1953-02-10,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16m55v4/manifest
Work,1953-02-11 (año 32 | num. 10234),ark:/21198/z12v4f58,ark:/21198/z1h15123,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5dh7,,,,,1953-02-11,1953-02-11,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese -- Cuba|~|Chinese newspapers -- Cuba,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4f58/manifest
