File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_001.tif,Page,Page 1,1,1,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z14n13mc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n13mc,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_002.tif,Page,Page 2,2,2,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z10w0bv6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w0bv6,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_003.tif,Page,Page 3,3,3,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z1w68jvw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68jvw,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_004.tif,Page,Page 4,4,4,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z1rf7t4k,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7t4k,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_005.tif,Page,Page 5,5,5,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z1mp729w,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp729w,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_006.tif,Page,Page 6,6,6,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z1gx69k5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx69k5,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_007.tif,Page,Page 7,7,7,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z1c55jw6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c55jw6,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1947/catc_mansenyatpo_19470729_008.tif,Page,Page 8,8,8,ark:/21198/z1h15123,ark:/21198/z17m270x,ark:/21198/z17d4t7s,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4t7s,1947,1947-07-29 (año 26 | num. 8551)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1953/catc_mansenyatpo_19530202_001.tif,Page,Page 1,9,1,ark:/21198/z1h15123,ark:/21198/z13v1g7r,ark:/21198/z13n42hf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n42hf,1953,1953-02-02 (año 32 | num. 10226)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1953/catc_mansenyatpo_19530202_002.tif,Page,Page 2,10,2,ark:/21198/z1h15123,ark:/21198/z13v1g7r,ark:/21198/z100216r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz100216r,1953,1953-02-02 (año 32 | num. 10226)
Masters/othermasters/DEPchinesecubannewspapers/mansenyatpo/images/1953/catc_mansenyatpo_19530202_003.tif,Page,Page 3,11,3,ark:/21198/z1h15123,ark:/21198/z13v1g7r,ark:/21198/z1v71hpm,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71hpm,1953,1953-02-02 (año 32 | num. 10226)
