Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Contents note,Visibility,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Contributor.subdirector,Name.editor,Subject,IIIF Manifest URL
Work,1936-06-06 (año 01 | no. 01),ark:/21198/z1gx70nq,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2d96,,open,junio de 1936|~|1936-06-06,1936-06-06,16 pages,newspapers,spa,ihc_mediodia_193606,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,"Marinello, Juan, 1898-1977|~|Montenegro, Carlos|~|Guillén, Nicolás, 1902-1989|~|Villar Buceta, Aurora, 1907-1981|~|Rodríguez, Carlos Rafael, 1913-1997|~|Augier, Ángel, 1910-2010|~|García Buchaca, Edith|~|Rigol, Jorge|~|Portuondo, José Antonio, 1911-1996",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gx70nq/manifest
Work,1936-07-07 (año 01 | no. 02),ark:/21198/z1c567zr,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm71fr,,open,julio de 1936|~|1936-07-07,1936-07-07,16 pages,newspapers,spa,ihc_mediodia_193607,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,"Marinello, Juan, 1898-1977|~|Montenegro, Carlos|~|Guillén, Nicolás, 1902-1989|~|Villar Buceta, Aurora, 1907-1981|~|Rodríguez, Carlos Rafael, 1913-1997|~|Augier, Ángel, 1910-2010|~|García Buchaca, Edith|~|Rigol, Jorge|~|Portuondo, José Antonio, 1911-1996",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c567zr/manifest
Work,1936-08-08 (año 01 | no. 03),ark:/21198/z17d5hbs,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2z6m,,open,agosto de 1936|~|1936-08-08,1936-08-08,20 pages,newspapers,spa,ihc_mediodia_193608,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,"Marinello, Juan, 1898-1977|~|Montenegro, Carlos|~|Guillén, Nicolás, 1902-1989|~|Villar Buceta, Aurora, 1907-1981|~|Rodríguez, Carlos Rafael, 1913-1997|~|Augier, Ángel, 1910-2010|~|García Buchaca, Edith|~|Rigol, Jorge|~|Portuondo, José Antonio, 1911-1996",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d5hbs/manifest
Work,1936-12-12 (año 01 | no. 04),ark:/21198/z13r3g0b,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q4kfc,,open,diciembre de 1936|~|1936-12-12,1936-12-12,16 pages,newspapers,spa,ihc_mediodia_193612,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,,"Marinello, Juan, 1898-1977|~|Montenegro, Carlos|~|Guillén, Nicolás, 1902-1989|~|Villar Buceta, Aurora, 1907-1981|~|Rodríguez, Carlos Rafael, 1913-1997|~|Augier, Ángel, 1910-2010|~|García Buchaca, Edith|~|Rigol, Jorge|~|Portuondo, José Antonio, 1911-1996",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13r3g0b/manifest
Work,1937-01-05 (año 02 | no. 05),ark:/21198/z1002q9c,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14r0h2t,,open,5 de enero de 1937|~|1937-01-05,1937-01-05,20 pages,newspapers,spa,ihc_mediodia_19370105,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1997","Rodríguez, Carlos Rafael, 1913-1997",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1002q9c/manifest
Work,1937-01-15 (año 02 | no. 06),ark:/21198/z1v726sm,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2cjm,,open,15 de enero de 1937|~|1937-01-15,1937-01-15,20 pages,newspapers,spa,ihc_mediodia_19370115,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1996","Rodríguez, Carlos Rafael, 1913-1996",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v726sm/manifest
Work,1937-01-25 (año 02 | no. 07),ark:/21198/z1qg1g29,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw4845,,open,25 de enero de 1937|~|1937-01-25,1937-01-25,20 pages,newspapers,spa,ihc_mediodia_19370125,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1995","Rodríguez, Carlos Rafael, 1913-1995",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg1g29/manifest
Work,1937-02-05 (año 02 | no. 08),ark:/21198/z1kq0q8p,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5wcj,,open,5 de febrero de 1937|~|1937-02-05,1937-02-05,20 pages,newspapers,spa,ihc_mediodia_19370205,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1994","Rodríguez, Carlos Rafael, 1913-1994",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kq0q8p/manifest
Work,1937-02-15 (año 02 | no. 09),ark:/21198/z1fx9znr,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t17rvn,,open,15 de febrero de 1937|~|1937-02-15,1937-02-15,20 pages,newspapers,spa,ihc_mediodia_19370215,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1993","Rodríguez, Carlos Rafael, 1913-1993",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx9znr/manifest
Work,1937-02-25 (año 02 | no. 10),ark:/21198/z1b87x7q,ark:/21198/z1tx63gf,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739d48,,open,25 de febrero de 1937|~|1937-02-25,1937-02-25,20 pages,newspapers,spa,ihc_mediodia_19370225,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Guillén, Nicolás, 1902-1989|~|Rodríguez, Carlos Rafael, 1913-1992","Rodríguez, Carlos Rafael, 1913-1992",,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b87x7q/manifest
