File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_001.tif,Page,Page 1,1,1,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1xh2d96,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2d96,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_002.tif,Page,Page 2,2,2,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1sv0bxw,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sv0bxw,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_003.tif,Page,Page 3,3,3,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1p29m9p,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29m9p,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_004.tif,Page,Page 4,4,4,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1j98vkz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j98vkz,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_005.tif,Page,Page 5,5,5,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1dj83t5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj83t5,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_006.tif,Page,Page 6,6,6,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z18s7c2d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7c2d,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_007.tif,Page,Page 7,7,7,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1516mb0,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516mb0,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_008.tif,Page,Page 8,8,8,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1185vp5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185vp5,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_009.tif,Page,Page 9,9,9,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1wm42jp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm42jp,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_010.tif,Page,Page 10,10,10,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1rv39x9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv39x9,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_011.tif,Page,Page 11,11,11,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1n32k4d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32k4d,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_012.tif,Page,Page 12,12,12,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1hb1tdp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1tdp,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_013.tif,Page,Page 13,13,13,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1ck12mf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck12mf,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_014.tif,Page,Page 14,14,14,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z17t09wq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t09wq,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_015.tif,Page,Page 15,15,15,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z1419k8h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419k8h,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193606_016.tif,Page,Page 16,16,16,ark:/21198/z1tx63gf,ark:/21198/z1gx70nq,ark:/21198/z10c7hw6,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c7hw6,1936,1936-06-06 (año 01 | no. 01)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_001.tif,Page,Page 1,17,1,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1vm71fr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm71fr,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_002.tif,Page,Page 2,18,2,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1qv68q1,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv68q1,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_003.tif,Page,Page 3,19,3,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1m35hxq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35hxq,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_004.tif,Page,Page 4,20,4,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1gb4s6d,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb4s6d,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_005.tif,Page,Page 5,21,5,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1bk41g2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk41g2,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_006.tif,Page,Page 6,22,6,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z16t38vp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t38vp,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_007.tif,Page,Page 7,23,7,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z13517hj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13517hj,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_008.tif,Page,Page 8,24,8,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1zd0r35,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd0r35,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_009.tif,Page,Page 9,25,9,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1tn00bc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn00bc,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_010.tif,Page,Page 10,26,10,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1pv97kn,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv97kn,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_011.tif,Page,Page 11,27,11,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1k38gsb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k38gsb,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_012.tif,Page,Page 12,28,12,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1fb7r3g,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb7r3g,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_013.tif,Page,Page 13,29,13,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z19p5ps2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5ps2,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_014.tif,Page,Page 14,30,14,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z15x4z36,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4z36,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_015.tif,Page,Page 15,31,15,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z12546f2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12546f2,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193607_016.tif,Page,Page 16,32,16,ark:/21198/z1tx63gf,ark:/21198/z1c567zr,ark:/21198/z1xd3pwg,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd3pwg,1936,1936-07-07 (año 01 | no. 02)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_001.tif,Page,Page 1,33,1,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1sn2z6m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2z6m,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_002.tif,Page,Page 2,34,2,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1nw26dc,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw26dc,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_003.tif,Page,Page 3,35,3,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1j41fqd,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j41fqd,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_004.tif,Page,Page 4,36,4,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1df9dbz,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df9dbz,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_005.tif,Page,Page 5,37,5,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z18p8np4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8np4,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_006.tif,Page,Page 6,38,6,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z14x7x08,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7x08,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_007.tif,Page,Page 7,39,7,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1157587,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1157587,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_008.tif,Page,Page 8,40,8,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1wd6nr3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6nr3,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_009.tif,Page,Page 9,41,9,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1rn5x0b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5x0b,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_010.tif,Page,Page 10,42,10,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1mw559f,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw559f,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_011.tif,Page,Page 11,43,11,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1h733xf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h733xf,1936,1936-08-08 (año 01 | no. 03)
Masters/othermasters/DEPmediodia/images/ihc_mediodia_193608_012.tif,Page,Page 12,44,12,ark:/21198/z1tx63gf,ark:/21198/z17d5hbs,ark:/21198/z1cg2c81,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg2c81,1936,1936-08-08 (año 01 | no. 03)
