Object Type,Title,Item ARK,Parent ARK,Local identifier,File Name,Item Sequence,Visibility,Thumbnail,Name.creator,Contributor.proprietor,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,IIIF Manifest URL
Work,1882-08-26,ark:/21198/z1wt1gpc,ark:/21198/z15b2qw0,ihc_elmudo_18820826,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw84g3,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-08-26,1882-08-26,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,2 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt1gpc/manifest
Work,1882-08-28,ark:/21198/z1s20qzz,ark:/21198/z15b2qw0,ihc_elmudo_18820828,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47crp,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-08-28,1882-08-28,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s20qzz/manifest
Work,1882-08-29,ark:/21198/z1n90054,ark:/21198/z15b2qw0,ihc_elmudo_18820829,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5w7r,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-08-29,1882-08-29,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n90054/manifest
Work,1882-08-30,ark:/21198/z1hh97fv,ark:/21198/z15b2qw0,ihc_elmudo_18820830,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63bfr,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-08-30,1882-08-30,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hh97fv/manifest
Work,1882-08-31,ark:/21198/z1cv7659,ark:/21198/z15b2qw0,ihc_elmudo_18820831,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1v4h,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-08-31,1882-08-31,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cv7659/manifest
Work,1882-09-02,ark:/21198/z1836fgb,ark:/21198/z15b2qw0,ihc_elmudo_18820902,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50bmv,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-02,1882-09-02,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,2 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1836fgb/manifest
Work,1882-09-06,ark:/21198/z14b5ps2,ark:/21198/z15b2qw0,ihc_elmudo_18820906,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9kv4,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-06,1882-09-06,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14b5ps2/manifest
Work,1882-09-07,ark:/21198/z10k4z2r,ark:/21198/z15b2qw0,ihc_elmudo_18820907,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6svv,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-07,1882-09-07,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10k4z2r/manifest
Work,1882-09-08,ark:/21198/z1vt4fkf,ark:/21198/z15b2qw0,ihc_elmudo_18820908,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf5jp0,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-08,1882-09-08,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vt4fkf/manifest
Work,1882-09-09,ark:/21198/z1r23ptk,ark:/21198/z15b2qw0,ihc_elmudo_18820909,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx4240,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-09,1882-09-09,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r23ptk/manifest
Work,1882-09-11,ark:/21198/z1m92z2t,ark:/21198/z15b2qw0,ihc_elmudo_18820911,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h1841,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-11,1882-09-11,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m92z2t/manifest
Work,1882-09-12,ark:/21198/z1gn0wqz,ark:/21198/z15b2qw0,ihc_elmudo_18820912,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z9rrx,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-12,1882-09-12,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gn0wqz/manifest
Work,1882-09-13,ark:/21198/z1bw052x,ark:/21198/z15b2qw0,ihc_elmudo_18820913,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8hh5,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-13,1882-09-13,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bw052x/manifest
Work,1882-09-14,ark:/21198/z1739dcd,ark:/21198/z15b2qw0,ihc_elmudo_18820914,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx710m,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-14,1882-09-14,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1739dcd/manifest
Work,1882-09-19,ark:/21198/z13b8nm7,ark:/21198/z15b2qw0,ihc_elmudo_18820919,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h470n,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-19,1882-09-19,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b8nm7/manifest
Work,1882-09-20,ark:/21198/z1zk854b,ark:/21198/z15b2qw0,ihc_elmudo_18820920,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1002qkz,"Sterling, Adolfo Marquez","Sterling, Adolfo Marquez",,,,1882-09-20,1882-09-20,Microfilm was digitized by Instituto de Historia de Cuba. Physical microfilm is located at Biblioteca Nacional de Cuba José Martí.,,4 pages,digitized microfilm,newspapers,spa,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",individuals,Havana (Cuba) -- newspapers|~|Cuba -- Politics and government -- newspapers|~|Cuba -- newspapers,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zk854b/manifest
