File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820826_001.tif,Page,Page 1,1,1,ark:/21198/z15b2qw0,ark:/21198/z1wt1gpc,ark:/21198/z1kw84g3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw84g3,1882-08-26
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820828_001.tif,Page,Page 1,2,1,ark:/21198/z15b2qw0,ark:/21198/z1s20qzz,ark:/21198/z1g47crp,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g47crp,1882-08-28
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820828_002.tif,Page,Page 2,3,2,ark:/21198/z15b2qw0,ark:/21198/z1s20qzz,ark:/21198/z1bc6mz2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6mz2,1882-08-28
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820829_001.tif,Page,Page 1,4,1,ark:/21198/z15b2qw0,ark:/21198/z1n90054,ark:/21198/z16m5w7r,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5w7r,1882-08-29
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820829_002.tif,Page,Page 2,5,2,ark:/21198/z15b2qw0,ark:/21198/z1n90054,ark:/21198/z12v54jv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v54jv,1882-08-29
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820830_001.tif,Page,Page 1,6,1,ark:/21198/z15b2qw0,ark:/21198/z1hh97fv,ark:/21198/z1z63bfr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z63bfr,1882-08-30
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820830_002.tif,Page,Page 2,7,2,ark:/21198/z15b2qw0,ark:/21198/z1hh97fv,ark:/21198/z1tf2ksx,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf2ksx,1882-08-30
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820831_001.tif,Page,Page 1,8,1,ark:/21198/z15b2qw0,ark:/21198/z1cv7659,ark:/21198/z1pp1v4h,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp1v4h,1882-08-31
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820831_002.tif,Page,Page 2,9,2,ark:/21198/z15b2qw0,ark:/21198/z1cv7659,ark:/21198/z1jx13cq,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx13cq,1882-08-31
Masters/othermasters/DEPelmudo/images/ihc_elmudo_18820902_001.tif,Page,Page 1,10,1,ark:/21198/z15b2qw0,ark:/21198/z1836fgb,ark:/21198/z1f50bmv,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50bmv,1882-09-02
