Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,Contents note,Date.created,Date.normalized,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1935-01-20 (año 01 | num. 01),ark:/21198/z1nw27h4,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15rbc,open,,,20 de enero de 1935|~|1935-01-20,1935-01-20,7 pages,,newspapers,spa,ihc_palabra_19350120,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw27h4/manifest
Work,1935-01-22 (año 01 | num. 02),ark:/21198/z1j41gsq,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9fwj,open,,,22 de enero de 1935|~|1935-01-22,1935-01-22,8 pages,,newspapers,spa,ihc_palabra_19350122,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j41gsq/manifest
Work,1935-01-23 (año 01 | num. 03),ark:/21198/z1dc0r49,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2dq8,open,,,23 de enero de 1935|~|1935-01-23,1935-01-23,8 pages,,newspapers,spa,ihc_palabra_19350123,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dc0r49/manifest
Work,1935-01-24 (año 01 | num. 04),ark:/21198/z18m00ch,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5ckw,open,,,24 de enero de 1935|~|1935-01-24,1935-01-24,8 pages,,newspapers,spa,ihc_palabra_19350124,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18m00ch/manifest
Work,1935-01-25 (año 01 | num. 05),ark:/21198/z14x7z31,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt8bgz,open,,,25 de enero de 1935|~|1935-01-25,1935-01-25,8 pages,,newspapers,spa,ihc_palabra_19350125,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x7z31/manifest
Work,1935-01-26 (año 01 | num. 06),ark:/21198/z11576df,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv19ck,open,,,26 de enero de 1935|~|1935-01-26,1935-01-26,7 pages,,newspapers,spa,ihc_palabra_19350126,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11576df/manifest
Work,1935-01-27 (año 01 | num. 07),ark:/21198/z1wd6pw9,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm510c,open,,,27 de enero de 1935|~|1935-01-27,1935-01-27,12 pages,,newspapers,spa,ihc_palabra_19350127,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd6pw9/manifest
Work,1935-01-29 (año 01 | num. 08),ark:/21198/z1rn5z4j,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3p97,open,,,29 de enero de 1935|~|1935-01-29,1935-01-29,8 pages,,newspapers,spa,ihc_palabra_19350129,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn5z4j/manifest
Work,1935-01-30 (año 01 | num. 09),ark:/21198/z1mw56d6,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6wfb,open,,,30 de enero de 1935|~|1935-01-30,1935-01-30,8 pages,,newspapers,spa,ihc_palabra_19350130,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw56d6/manifest
Work,1935-01-31 (año 01 | num. 10),ark:/21198/z1h44frp,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8jq8,open,,,31 de enero de 1935|~|1935-01-31,1935-01-31,8 pages,,newspapers,spa,ihc_palabra_19350131,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h44frp/manifest
Work,1935-02-01 (año 01 | num. 11),ark:/21198/z1cc3q1c,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1hkf,open,,,1 de febrero de 1935|~|1935-02-01,1935-02-01,8 pages,,newspapers,spa,ihc_palabra_19350201,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cc3q1c/manifest
Work,1935-02-02 (año 01 | num. 12),ark:/21198/z17q1nqz,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4gf2,open,,,2 de febrero de 1935|~|1935-02-02,1935-02-02,8 pages,,newspapers,spa,ihc_palabra_19350202,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q1nqz/manifest
Work,1935-02-03 (año 01 | num. 13),ark:/21198/z13z0x0n,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7f7s,open,,,3 de febrero de 1935|~|1935-02-03,1935-02-03,12 pages,,newspapers,spa,ihc_palabra_19350203,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z0x0n/manifest
Work,1935-02-05 (año 01 | num. 14),ark:/21198/z106058m,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w63nc,open,,,5 de febrero de 1935|~|1935-02-05,1935-02-05,8 pages,,newspapers,spa,ihc_palabra_19350205,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz106058m/manifest
Work,1935-02-06 (año 01 | num. 15),ark:/21198/z1vd9nqg,ark:/21198/z1xd3r0n,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w92jf,open,,,6 de febrero de 1935|~|1935-02-06,1935-02-06,8 pages,,newspapers,spa,ihc_palabra_19350206,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Marinello, Juan, 1898-1977",Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd9nqg/manifest
