Object Type,Title,Item ARK,Parent ARK,File Name,Visibility,Item Sequence,Thumbnail,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Subject,Contributor.correspondent,IIIF Manifest URL
Work,1920-09-03 (vol. 01 | no. 01),ark:/21198/z1rb9rs0,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd6mtk,,3 de septiembre de 1920|~|1920-09-03,1920-09-03,8 pages,newspapers,spa,ihc_progreso_19200903,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Dominguez, José",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb9rs0/manifest
Work,1920-09-24 (vol. 01 | no. 04),ark:/21198/z1mk913h,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd9kqn,,24 de septiembre de 1920|~|1920-09-24,1920-09-24,6 pages,newspapers,spa,ihc_progreso_19200924,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Dominguez, José",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk913h/manifest
Work,1920-10-01 (vol. 01 | no. 05),ark:/21198/z1gt88fp,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3ss4,,1 de octubre de 1920|~|1920-10-01,1920-10-01,4 pages,newspapers,spa,ihc_progreso_19201001,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Dominguez, José",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt88fp/manifest
Work,1920-10-22 (vol. 01 | no. 07),ark:/21198/z1c27hq8,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k09rjv,,22 de octubre de 1920|~|1920-10-22,1920-10-22,4 pages,newspapers,spa,ihc_progreso_19201022,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Dominguez, José",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27hq8/manifest
Work,1920-12-03 (vol. 01 | no. 13),ark:/21198/z1796rxn,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z6rnr,,3 de diciembre de 1920|~|1920-12-03,1920-12-03,4 pages,newspapers,spa,ihc_progreso_19201203,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Dominguez, José",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1796rxn/manifest
Work,1921-01-21 (vol. 02 | no. 19),ark:/21198/z13j616q,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j12qgx,,21 de enero de 1921|~|1921-01-21,1921-01-21,4 pages,newspapers,spa,ihc_progreso_19210121,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Brea, Manuel",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j616q/manifest
Work,1921-02-18 (vol. 02 | no. 23),ark:/21198/z1zs5hq1,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128dwj,,18 de febrero de 1921|~|1921-02-18,1921-02-18,4 pages,newspapers,spa,ihc_progreso_19210218,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Brea, Manuel",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs5hq1/manifest
Work,1921-03-18 (vol. 02 | no. 27),ark:/21198/z1v43gdb,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15p8n,,18 de marzo de 1921|~|1921-03-18,1921-03-18,4 pages,newspapers,spa,ihc_progreso_19210318,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Brea, Manuel",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v43gdb/manifest
Work,1921-05-27 (vol. 02 | no. 37),ark:/21198/z1qc2qrh,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031crq,,27 de mayo de 1921|~|1921-05-27,1921-05-27,4 pages,newspapers,spa,ihc_progreso_19210527,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Brea, Manuel",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qc2qrh/manifest
Work,1921-06-09 (vol. 02 | no. 39),ark:/21198/z1km203g,ark:/21198/z10s29nt,,open,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18n1x,,9 de junio de 1921|~|1921-06-09,1921-06-09,8 pages,newspapers,spa,ihc_progreso_19210609,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,Cuba -- Politics and government -- 1909-1933|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,"Brea, Manuel",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1km203g/manifest
