Object Type,Title,Item ARK,Parent ARK,File Name,Thumbnail,Item Sequence,Visibility,Contents note,Date.created,Date.normalized,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,IIIF Manifest URL
Work,1876-07-23 (vol. 01 | no. 01),ark:/21198/z1sb705c,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4j4j,,open,,23 de julio de 1876|~|1876-07-23,1876-07-23,,,2 pages,digitized microfilm,newspapers,spa,ihc_razon_18760723,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb705c/manifest
Work,1876-07-30 (vol. 01 | no. 02),ark:/21198/z1nk67fn,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w12093,,open,,30 de julio de 1876|~|1876-07-30,1876-07-30,,,6 pages,digitized microfilm,newspapers,spa,ihc_razon_18760730,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nk67fn/manifest
Work,1876-08-20 (vol. 01 | no. 03),ark:/21198/z1ht5gpg,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7h3h,,open,,20 de agosto de 1876|~|1876-08-20,1876-08-20,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760820,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht5gpg/manifest
Work,1876-08-27 (vol. 01 | no. 04),ark:/21198/z1d24r0x,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3fs5,,open,,27 de agosto de 1876|~|1876-08-27,1876-08-27,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760827,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d24r0x/manifest
Work,1876-09-08 (vol. 01 | no. 05),ark:/21198/z1894091,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j9583,,open,,8 de septiembre de 1876|~|1876-09-08,1876-09-08,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760908,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1894091/manifest
Work,1876-09-10 (vol. 01 | no. 06),ark:/21198/z14n1xzs,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh6dns,,open,,10 de septiembre de 1876|~|1876-09-10,1876-09-10,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760910,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n1xzs/manifest
Work,1876-09-17 (vol. 01 | no. 07),ark:/21198/z10w166d,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k2482,,open,,17 de septiembre de 1876|~|1876-09-17,1876-09-17,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760917,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w166d/manifest
Work,1876-09-24 (vol. 01 | no. 08),ark:/21198/z1w40prg,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9cgz,,open,,24 de septiembre de 1876|~|1876-09-24,1876-09-24,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18760924,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w40prg/manifest
Work,1876-10-01 (vol. 01 | no. 09),ark:/21198/z1rb9xz9,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k532s,,open,,1 de octubre de  1876|~|1876-10-01,1876-10-01,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761001,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb9xz9/manifest
Work,1876-10-08 (vol. 01 | no. 10),ark:/21198/z1mk967c,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj2bd1,,open,,8 de octubre de  1876|~|1876-10-08,1876-10-08,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761008,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk967c/manifest
Work,1876-10-15 (vol. 01 | no. 11),ark:/21198/z1gt8fj3,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk895f,,open,,15 de octubre de  1876|~|1876-10-15,1876-10-15,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761015,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt8fj3/manifest
Work,1876-10-22 (vol. 01 | no. 12),ark:/21198/z1c27pv4,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn40m2,,open,,22 de octubre de  1876|~|1876-10-22,1876-10-22,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761022,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c27pv4/manifest
Work,1876-10-29 (vol. 01 | no. 13),ark:/21198/z17d5nkk,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm17z9,,open,,29 de octubre de  1876|~|1876-10-29,1876-10-29,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761029,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d5nkk/manifest
Work,1876-11-05 (vol. 01 | no. 14),ark:/21198/z13n4wvv,ark:/21198/z1x37qxr,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6zhr,,open,,5 de noviembre de 1876|~|1876-11-05,1876-11-05,,,4 pages,digitized microfilm,newspapers,spa,ihc_razon_18761105,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,,,Cuba -- Politics and government -- 19th century|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n4wvv/manifest
