Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Local identifier,Thumbnail,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Name.editor,Subject,IIIF Manifest URL
Work,1955-02-27 (vol. 01 | no. 01),ark:/21198/z18m03tk,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550227,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4jd4,,,,27 de febrero de 1955|~|1955-02-27,1955-02-27,,6 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18m03tk/manifest
Work,1955-03-02 (vol. 01 | no. 02),ark:/21198/z14t9c45,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550302,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw09b5,,,,2 de marzo de 1955|~|1955-03-02,1955-03-02,,6 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14t9c45/manifest
Work,1955-03-09 (vol. 01 | no. 03),ark:/21198/z1128mc9,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550309,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4rnf,,,,9 de marzo de 1955|~|1955-03-09,1955-03-09,,6 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1128mc9/manifest
Work,1955-03-16 (vol. 01 | no. 04),ark:/21198/z1w983xf,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550316,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx96xb,,,,16 de marzo de 1955|~|1955-03-16,1955-03-16,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w983xf/manifest
Work,1955-03-23 (vol. 01 | no. 05),ark:/21198/z1rn62jj,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550323,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz25sh,,,,23 de marzo de 1955|~|1955-03-23,1955-03-23,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn62jj/manifest
Work,1955-03-30 (vol. 01 | no. 06),ark:/21198/z1mw59v8,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550330,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23v37,,,,30 de marzo de 1955|~|1955-03-30,1955-03-30,,10 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw59v8/manifest
Work,1955-04-06 (vol. 01 | no. 07),ark:/21198/z1h44k65,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550406,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj59j7,,,,6 de abril de 1955|~|1955-04-06,1955-04-06,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h44k65/manifest
Work,1955-04-13 (vol. 01 | no. 08),ark:/21198/z1cc3tf0,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550413,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj88dv,,,,13 de abril de 1955|~|1955-04-13,1955-04-13,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cc3tf0/manifest
Work,1955-04-20 (vol. 01 | no. 09),ark:/21198/z17m32p6,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550420,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck175p,,,,20 de abril de 1955|~|1955-04-20,1955-04-20,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17m32p6/manifest
Work,1955-04-29 (vol. 01 | no. 10),ark:/21198/z13v29wk,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550429,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk4619,,,,29 de abril de 1955|~|1955-04-29,1955-04-29,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13v29wk/manifest
Work,1955-05-06 (vol. 01 | no. 11),ark:/21198/z1031k61,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550506,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p5vb9,,,,6 de mayo de 1955|~|1955-05-06,1955-05-06,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1031k61/manifest
Work,1955-05-13 (vol. 01 | no. 12),ark:/21198/z1vd9s5z,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550513,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p8t7c,,,,13 de mayo de 1955|~|1955-05-13,1955-05-13,,8 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd9s5z/manifest
Work,1955-05-20 (vol. 01 | no. 13),ark:/21198/z1qn91hh,ark:/21198/z1dc0vmt,,,open,ihc_respuestas_19550520,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q1s6w,,,,20 de mayo de 1955|~|1955-05-20,1955-05-20,,6 pages,digitized microfilm,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,,Departamento de Prensa del C.N. Del P.S.P,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn91hh/manifest
