File Name,Object Type,Title,Item Sequence,Issue Sequence,Parent ARK,Issue ARK,Item ARK,Bucketeer State,Visibility,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_001.tif,Page,Page 1,1,1,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z14f4jd4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4jd4,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_002.tif,Page,Page 2,2,2,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z10p3sr9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3sr9,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_003.tif,Page,Page 3,3,3,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z1vx399v,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx399v,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_004.tif,Page,Page 4,4,4,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z1r52jhj,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r52jhj,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_005.tif,Page,Page 5,5,5,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z1md1sst,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md1sst,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550227_006.tif,Page,Page 6,6,6,ark:/21198/z1dc0vmt,ark:/21198/z18m03tk,ark:/21198/z1gn1200,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn1200,1955,1955-02-27 (vol. 01 | no. 01)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_001.tif,Page,Page 1,7,1,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z1bw09b5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bw09b5,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_002.tif,Page,Page 2,8,2,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z176881x,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz176881x,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_003.tif,Page,Page 3,9,3,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z13f7hc3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f7hc3,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_004.tif,Page,Page 4,10,4,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z1zp70vb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp70vb,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_005.tif,Page,Page 5,11,5,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z1tx6841,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx6841,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550302_006.tif,Page,Page 6,12,6,ark:/21198/z1dc0vmt,ark:/21198/z14t9c45,ark:/21198/z1q55hc5,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q55hc5,1955,1955-03-02 (vol. 01 | no. 02)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_001.tif,Page,Page 1,13,1,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z1kd4rnf,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd4rnf,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_002.tif,Page,Page 2,14,2,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z1fn40x3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fn40x3,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_003.tif,Page,Page 3,15,3,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z1b01zkk,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b01zkk,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_004.tif,Page,Page 4,16,4,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z16716x4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16716x4,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_005.tif,Page,Page 5,17,5,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z12g0g6t,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12g0g6t,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550309_006.tif,Page,Page 6,18,6,ark:/21198/z1dc0vmt,ark:/21198/z1128mc9,ark:/21198/z1xp9zp4,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp9zp4,1955,1955-03-09 (vol. 01 | no. 03)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_001.tif,Page,Page 1,19,1,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1sx96xb,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx96xb,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_002.tif,Page,Page 2,20,2,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1p58g6b,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58g6b,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_003.tif,Page,Page 3,21,3,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1jd7qh2,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd7qh2,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_004.tif,Page,Page 4,22,4,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1dr5p5m,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5p5m,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_005.tif,Page,Page 5,23,5,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1904xh3,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904xh3,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_006.tif,Page,Page 6,24,6,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z15745sr,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15745sr,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_007.tif,Page,Page 7,25,7,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z11g3f0j,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g3f0j,1955,1955-03-16 (vol. 01 | no. 04)
Masters/othermasters/DEPrespuestas/images/ihc_respuestas_19550316_008.tif,Page,Page 8,26,8,ark:/21198/z1dc0vmt,ark:/21198/z1w983xf,ark:/21198/z1wq2xj9,succeeded,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2xj9,1955,1955-03-16 (vol. 01 | no. 04)
