File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,IIIF Manifest URL,Range.1
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_001.tif,Page,Page 1,1,1,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1h15wh8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15wh8,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_002.tif,Page,Page 2,2,2,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1c854tc,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c854tc,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_003.tif,Page,Page 3,3,3,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z17m33gx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m33gx,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_004.tif,Page,Page 4,4,4,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z13v2bqr,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v2bqr,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_005.tif,Page,Page 5,5,5,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1031m0r,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031m0r,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_006.tif,Page,Page 6,6,6,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1vb13kb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb13kb,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_007.tif,Page,Page 7,7,7,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1qk0bsq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk0bsq,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_008.tif,Page,Page 8,8,8,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1ks9m2v,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9m2v,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_009.tif,Page,Page 9,9,9,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1g18vbf,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18vbf,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_010.tif,Page,Page 10,10,10,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z1bc6t1f,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6t1f,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_011.tif,Page,Page 11,11,11,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z16m62bj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m62bj,,1944-09-09 (vol.01 | no. 04)
Masters/othermasters/DEPrumbosnuevos/images/ihc_rumbosnuevos_19440909_012.tif,Page,Page 12,12,12,open,ark:/21198/z1x955t3,ark:/21198/z1sj4f2b,ark:/21198/z12v59kc,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v59kc,,1944-09-09 (vol.01 | no. 04)
