File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19570606_001.tif,Page,Page 1,1,1,open,ark:/21198/z1md1thn,ark:/21198/z1gn12rv,ark:/21198/z1sx97q2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx97q2,1957,1957-06-06 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19570606_002.tif,Page,Page 2,2,2,open,ark:/21198/z1md1thn,ark:/21198/z1gn12rv,ark:/21198/z1p58h02,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p58h02,1957,1957-06-06 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19570606_003.tif,Page,Page 3,3,3,open,ark:/21198/z1md1thn,ark:/21198/z1gn12rv,ark:/21198/z1jh6fn6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh6fn6,1957,1957-06-06 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19570606_004.tif,Page,Page 4,4,4,open,ark:/21198/z1md1thn,ark:/21198/z1gn12rv,ark:/21198/z1dr5pxg,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5pxg,1957,1957-06-06 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19571124_001.tif,Page,Page 1,5,1,open,ark:/21198/z1md1thn,ark:/21198/z1bz91jn,ark:/21198/z1904z7x,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1904z7x,1957,1957-11-24 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19571124_002.tif,Page,Page 2,6,2,open,ark:/21198/z1md1thn,ark:/21198/z1bz91jn,ark:/21198/z15746hk,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15746hk,1957,1957-11-24 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19571124_003.tif,Page,Page 3,7,3,open,ark:/21198/z1md1thn,ark:/21198/z1bz91jn,ark:/21198/z11g3fqz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g3fqz,1957,1957-11-24 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19571124_004.tif,Page,Page 4,8,4,open,ark:/21198/z1md1thn,ark:/21198/z1bz91jn,ark:/21198/z1wq2z9k,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2z9k,1957,1957-11-24 (año 01 | no. 02)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_001.tif,Page,Page 1,9,1,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z1rz26js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz26js,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_002.tif,Page,Page 2,10,2,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z1n9058j,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n9058j,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_003.tif,Page,Page 3,11,3,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z1hh9dj8,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9dj8,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_004.tif,Page,Page 4,12,4,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z1cr8nv0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8nv0,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_005.tif,Page,Page 5,13,5,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z1807x40,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807x40,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_006.tif,Page,Page 6,14,6,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z14775c6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14775c6,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580208_007.tif,Page,Page 7,15,7,open,ark:/21198/z1md1thn,ark:/21198/z17688t7,ark:/21198/z10g6dng,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g6dng,1958,1958-02-08 (no. 20)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_001.tif,Page,Page 1,16,1,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1vt4mmz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4mmz,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_002.tif,Page,Page 2,17,2,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1r23vwj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23vwj,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_003.tif,Page,Page 3,18,3,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1m93445,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m93445,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_004.tif,Page,Page 4,19,4,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1gj2cgb,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj2cgb,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_005.tif,Page,Page 5,20,5,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1bs1mpq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1mpq,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_006.tif,Page,Page 6,21,6,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z1710vz9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710vz9,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580314_007.tif,Page,Page 7,22,7,open,ark:/21198/z1md1thn,ark:/21198/z13f7j4c,ark:/21198/z138047c,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz138047c,1958,1958-03-14 (año 01 | no. 22)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580319_001.tif,Page,Page 1,23,1,open,ark:/21198/z1md1thn,ark:/21198/z1zp71mm,ark:/21198/z1zk8b5v,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk8b5v,1958,1958-03-19 (no. 23)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580319_002.tif,Page,Page 2,24,2,open,ark:/21198/z1md1thn,ark:/21198/z1zp71mm,ark:/21198/z1tt7kf4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7kf4,1958,1958-03-19 (no. 23)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580319_003.tif,Page,Page 3,25,3,open,ark:/21198/z1md1thn,ark:/21198/z1zp71mm,ark:/21198/z1q26tqq,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26tqq,1958,1958-03-19 (no. 23)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580319_004.tif,Page,Page 4,26,4,open,ark:/21198/z1md1thn,ark:/21198/z1zp71mm,ark:/21198/z1k96317,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k96317,1958,1958-03-19 (no. 23)
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580616_001.tif,Page,Page 1,27,1,open,ark:/21198/z1md1thn,ark:/21198/z1q55j4f,ark:/21198/z1fj5b9h,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj5b9h,1958,1958-06-16
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580616_002.tif,Page,Page 2,28,2,open,ark:/21198/z1md1thn,ark:/21198/z1q55j4f,ark:/21198/z1613ttx,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613ttx,1958,1958-06-16
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580616_003.tif,Page,Page 3,29,3,open,ark:/21198/z1md1thn,ark:/21198/z1q55j4f,ark:/21198/z1xm1911,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm1911,1958,1958-06-16
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580616_004.tif,Page,Page 4,30,4,open,ark:/21198/z1md1thn,ark:/21198/z1q55j4f,ark:/21198/z1p29sms,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p29sms,1958,1958-06-16
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580623_001.tif,Page,Page 1,31,1,open,ark:/21198/z1md1thn,ark:/21198/z1kd4sdq,ark:/21198/z1dj894p,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj894p,1958,1958-06-23
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580623_002.tif,Page,Page 2,32,2,open,ark:/21198/z1md1thn,ark:/21198/z1kd4sdq,ark:/21198/z1545h4q,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545h4q,1958,1958-06-23
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580623_003.tif,Page,Page 3,33,3,open,ark:/21198/z1md1thn,ark:/21198/z1kd4sdq,ark:/21198/z1wm47w7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm47w7,1958,1958-06-23
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_19580623_004.tif,Page,Page 4,34,4,open,ark:/21198/z1md1thn,ark:/21198/z1kd4sdq,ark:/21198/z1n32rfh,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32rfh,1958,1958-06-23
Masters/othermasters/DEPsierramaestra/images/ihc_sierramaestra_195806_001.tif,Page,Page 1,35,1,open,ark:/21198/z1md1thn,ark:/21198/z1tx68ww,ark:/21198/z1ck17z0,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck17z0,1958,1958-06 (vol. 01 | no. 05)
