Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Thumbnail,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Genre,Language,Local identifier,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.editor,Subject,IIIF Manifest URL
Work,1916-01 (vol. 01 | no. 01),ark:/21198/z13z09x9,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5s2b,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Contiene en la última página, el dibujo completo de la acuarela de Conrado Walter Massaguer, titulada La consargación. Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. Algunas páginas son más oscuras que otras debido a que en el documento original no todas las páginas presentan la misma coloración.",enero 1916|~|1915-12-31/1916-01-30,1915-12-31/1916-01-30,,30 pages,magazines (periodicals),spa,ohch_social_191601,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z09x9/manifest
Work,1916-01 Suplemento (vol. 01 | no. 01),ark:/21198/z1059k6r,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd72qw,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Contiene en la última página, el dibujo completo de Conrado Walter Massaguer, titulado Social en las carreras. Algunas páginas son más oscuras que otras debido a que en el documento original no todas las páginas presentan la misma coloración. Suplemento número 1,  Enero 1916.",enero 1916|~|1915-12-31/1916-01-30,1915-12-31/1916-01-30,,8 pages,magazines (periodicals),spa,ohch_social_191601_suplemento,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1059k6r/manifest
Work,1916-02 (vol. 01 | no. 02),ark:/21198/z1vh7s4s,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x1gzs,Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Algunas páginas no quedan bien centradas debido a la encuadernación del documento. En la última página contiene la serie de fotografías titulada Social en las carreras. La página 31-32 original del documento estaba en mal estado en el borde interior. No todas las páginas del documento original tienen el mismo color de fondo.,febrero 1916|~|1916-01-31/1916-02-28,1916-01-31/1916-02-28,,40 pages,magazines (periodicals),spa,ohch_social_191602,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vh7s4s/manifest
Work,1916-03 (vol. 01 | no. 03),ark:/21198/z1qr71c0,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94h77,Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Debido a la encuadernación algunas de las páginas del documento se encuentran ligeramente inclinadas. Contiene cuño gómigrafo de la Biblioteca Nacional José Martí en la página 3. No todas las páginas del ducumento original tienen el mismo color de fondo. Contiene en la última página la imagen titulada ``Los fracs rojos´´ que se encuentra dividida entre la página 22 y 23. Las páginas 24 y 25 son más pequeñas debido a la mala encuadernación del documento. La punta del borde inferior derecho de la portada está arrancado.,marzo 1916|~|1916-02-29/1916-03-30,1916-02-29/1916-03-30,,48 pages,magazines (periodicals),spa,ohch_social_191603,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr71c0/manifest
Work,1916-04 (vol. 01 | no. 04),ark:/21198/z1m068qg,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0726,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Contiene en la última página, el dibujo completo de Conrado Walter Massaguer, Como comienzan los chismecitos. Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. Las páginas 23 y 24 son menos anchas debido a la mala encuadernación.",abril 1916|~|1916-03-31/1916-04-29,1916-03-31/1916-04-29,,48 pages,magazines (periodicals),spa,ohch_social_191604,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m068qg/manifest
Work,1916-05 (vol. 01 | no. 05),ark:/21198/z1g75j1m,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864ncr,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Contiene en la última página, una serie de fotos tituladas ``Un sábado en la noche en el Yacht Club´´.  Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. Las ultimas páginas del documento presentan una coloración azulada en las letras.",mayo 1916|~|1916-04-30/1916-05-30,1916-04-30/1916-05-30,,56 pages,magazines (periodicals),spa,ohch_social_191605,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g75j1m/manifest
Work,1916-06 (vol. 01 | no. 06),ark:/21198/z1bg4sbb,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm3kbt,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Contiene en la última página, un dibujo de Conrado Massaguer que estaba ubicado entre la página 22 y 23 en el centro. Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original.",junio 1916|~|1916-05-31/1916-06-29,1916-05-31/1916-06-29,,48 pages,magazines (periodicals),spa,ohch_social_191606,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg4sbb/manifest
Work,1916-07 (vol. 01 | no. 07),ark:/21198/z16q41j3,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k0997f,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. No todas las páginas tienen el mismo tamaño, esto es debido a la encuadernación.",julio 1916|~|1916-06-30/1916-07-30,1916-06-30/1916-07-30,,56 pages,magazines (periodicals),spa,ohch_social_191607,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q41j3/manifest
Work,1916-08 (vol. 01 | no. 08),ark:/21198/z12z38tc,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b58qqv,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. No todas las páginas tienen el mismo tamaño, esto es debido a la encuadernación.",agosto 1916|~|1916-07-31/1916-08-30,1916-07-31/1916-08-30,,56 pages,magazines (periodicals),spa,ohch_social_191608,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z38tc/manifest
Work,1916-09 (vol. 01 | no. 09),ark:/21198/z1z91gpt,ark:/21198/z1cg1tbx,,,open,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8545,"Magazine was digitized by Oficina del Historiador de La Ciudad de La Habana.|~|Algunas páginas se encuentran ligeramente inclimadas debido a la mala encuadernación del documento original. No todas las páginas tienen el mismo tamaño, esto es debido a la encuadernación.",septiembre 1916|~|1916-08-31/1916-09-29,1916-08-31/1916-09-29,,40 pages,magazines (periodicals),spa,ohch_social_191609,Havana (Cuba),Massaguer Brothers,Oficina del Historiador de La Ciudad de La Habana,text,unknown,biblioteca@patrimonio.ohc.cu,paged,"Massaguer, Conrado",Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z91gpt/manifest
