Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,Visibility,Date.created,Date.normalized,Thumbnail,Format.extent,Genre,Language,Local identifier,Place of origin,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject,IIIF Manifest URL
Work,1901-02-17 (vol. 01 | no. 02),ark:/21198/z13z0vkf,ark:/21198/z1cc3nm5,,,open,17 de Febrero de 1901|~|1901-02-17,1901-02-17,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9kqb,4 pages,newspapers,spa,ihc_tipografo_19010217,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z0vkf/manifest
Work,1901-02-24 (vol. 01 | no. 03),ark:/21198/z10603vd,ark:/21198/z1cc3nm5,,,open,24 Febrero de 1901|~|1901-02-24,1901-02-24,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6v1j,4 pages,newspapers,spa,ihc_tipografo_19010224,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10603vd/manifest
Work,1901-03-03 (vol. 01 | no. 04),ark:/21198/z1vd9m9p,ark:/21198/z1cc3nm5,,,open,3 de Marzo de 1901|~|1901-03-03,1901-03-03,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2jhm,4 pages,newspapers,spa,ihc_tipografo_19010303,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd9m9p/manifest
Work,1901-03-10 (vol. 01 | no. 05),ark:/21198/z1qn8vmd,ark:/21198/z1cc3nm5,,,open,10 de Marzo de 1901|~|1901-03-10,1901-03-10,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs8h81,4 pages,newspapers,spa,ihc_tipografo_19010310,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qn8vmd/manifest
Work,1901-03-17 (vol. 01 | no. 06),ark:/21198/z1kw83xh,ark:/21198/z1cc3nm5,,,open,17 de Marzo de 1901|~|1901-03-17,1901-03-17,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5h9b,4 pages,newspapers,spa,ihc_tipografo_19010317,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kw83xh/manifest
Work,1901-03-31 (vol. 01 | no. 08),ark:/21198/z1g762kc,ark:/21198/z1cc3nm5,,,open,31 de Marzo de 1901|~|1901-03-31,1901-03-31,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1g5n,4 pages,newspapers,spa,ihc_tipografo_19010331,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g762kc/manifest
Work,1901-04-07 (vol. 01 | no. 09),ark:/21198/z1bg59xj,ark:/21198/z1cc3nm5,,,open,7 de Abril de 1901|~|1901-04-07,1901-04-07,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8g7v,4 pages,newspapers,spa,ihc_tipografo_19010407,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg59xj/manifest
Work,1901-04-21 (vol. 01 | no. 11),ark:/21198/z16q4k5s,ark:/21198/z1cc3nm5,,,open,21 de Abril de 1901 |~|1901-04-21,1901-04-21,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4f18,4 pages,newspapers,spa,ihc_tipografo_19010421,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q4k5s/manifest
Work,1901-04-28 (vol. 01 | no. 12),ark:/21198/z12z3tf2,ark:/21198/z1cc3nm5,,,open,28 de Abril de 1901|~|1901-04-28,1901-04-28,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1f31,4 pages,newspapers,spa,ihc_tipografo_19010428,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3tf2/manifest
Work,1901-05-05 (vol. 01 | no. 13),ark:/21198/z1z639w5,ark:/21198/z1cc3nm5,,,open,5 de Mayo de 1901|~|1901-05-05,1901-05-05,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7cs4,4 pages,newspapers,spa,ihc_tipografo_19010505,Havana (Cuba),Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Peña y Delgado, Juan|~|Avalòs, Ramon",Cuba -- Politics and government -- 1899-1902|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z639w5/manifest
