Object Type,Title,Item ARK,Parent ARK,Local identifier,File Name,Item Sequence,Thumbnail,Visibility,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Name.director,Name.editor,Subject,Contributer.ChiefEditor,IIIF Manifest URL
Work,1951-01-03 (vol. 01 | no. 18),ark:/21198/z13b8t07,ark:/21198/z1710v9s,ihc_ultimahora_19510103,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n904ph,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages.",3 de enero de 1951|~|1951-01-03,1951-01-03,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b8t07/manifest
Work,1951-01-04 (vol. 01 | no. 19),ark:/21198/z1zk89jc,ark:/21198/z1710v9s,ihc_ultimahora_19510104,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m933g7,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages.",4 de enero de 1951|~|1951-01-04,1951-01-04,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zk89jc/manifest
Work,1951-01-05 (vol. 01 | no. 20),ark:/21198/z1tt7js6,ark:/21198/z1710v9s,ihc_ultimahora_19510105,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k962c9,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",5 de enero de 1951|~|1951-01-05,1951-01-05,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tt7js6/manifest
Work,1951-01-06 (vol. 01 | no. 21),ark:/21198/z1q26t1r,ark:/21198/z1710v9s,ihc_ultimahora_19510106,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j9919t,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages.",6 de enero de 1951|~|1951-01-06,1951-01-06,,,,,5 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q26t1r/manifest
Work,1951-01-07 (vol. 01 | no. 22),ark:/21198/z1k962bv,ark:/21198/z1710v9s,ihc_ultimahora_19510107,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm477q,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",7 de enero de 1951|~|1951-01-07,1951-01-07,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k962bv/manifest
Work,1951-01-09 (vol. 01 | no. 24),ark:/21198/z1fj59m4,ark:/21198/z1710v9s,ihc_ultimahora_19510109,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm763b,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. Page 7 is faded and almost illigeible.",9 de enero de 1951|~|1951-01-09,1951-01-09,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj59m4/manifest
Work,1951-01-10 (vol. 01 | no. 25),ark:/21198/z19s4jvz,ark:/21198/z1710v9s,ihc_ultimahora_19510110,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tn051d,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. Page 1 has gray-coloured markings concentrated on the left side of the page There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",10 de enero de 1951|~|1951-01-10,1951-01-10,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s4jvz/manifest
Work,1951-01-11 (vol. 01 | no. 26),ark:/21198/z1642hkq,ark:/21198/z1710v9s,ihc_ultimahora_19510111,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1t8h,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",11 de enero de 1951|~|1951-01-11,1951-01-11,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1642hkq/manifest
Work,1951-01-12 (vol. 01 | no. 27),ark:/21198/z12c1rxw,ark:/21198/z1710v9s,ihc_ultimahora_19510112,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4s44,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are noticable tears at the top of the pages.There are checkmarks and scribbles outlining certain sections of the text in pen/marker.",12 de enero de 1951|~|1951-01-12,1951-01-12,,,,,8 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12c1rxw/manifest
Work,1951-01-13 (vol. 01 | no. 28),ark:/21198/z1xm18c3,ark:/21198/z1710v9s,ihc_ultimahora_19510113,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7r16,open,,,"Redacción y Administractión: Reina 161, altos|~|Horizontal creases on pages. There are checkmarks and scribbles outlining certain sections of the text in pen/marker. .",13 de enero de 1951|~|1951-01-13,1951-01-13,,,,,9 pages,,newspapers,spa,,,,Havana (Cuba),,Instituto de Historia de Cuba,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",,,,paged,"Velis López, Julio",Talleres Universal Gráfica S.A.,Cuba -- Politics and government -- 1933-1959|~|Cuba -- Social life and customs|~|Cuba -- Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xm18c3/manifest
