File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_001.tif,Page,Page 1,1,1,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1n904ph,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n904ph,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_002.tif,Page,Page 2,2,2,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1hh9cxs,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9cxs,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_003.tif,Page,Page 3,3,3,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1cr8n7x,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr8n7x,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_004.tif,Page,Page 4,4,4,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1807wjz,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1807wjz,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_005.tif,Page,Page 5,5,5,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z14b5v52,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5v52,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_006.tif,Page,Page 6,6,6,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z10k53g5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k53g5,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_007.tif,Page,Page 7,7,7,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1vt4m1b,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt4m1b,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510103_008.tif,Page,Page 8,8,8,open,ark:/21198/z1710v9s,ark:/21198/z13b8t07,ark:/21198/z1r23v8g,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r23v8g,1951,1951-01-03 (vol. 01 | no. 18)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_001.tif,Page,Page 1,9,1,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1m933g7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m933g7,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_002.tif,Page,Page 2,10,2,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1gj2btd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj2btd,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_003.tif,Page,Page 3,11,3,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1bs1m2n,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs1m2n,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_004.tif,Page,Page 4,12,4,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1739jsf,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1739jsf,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_005.tif,Page,Page 5,13,5,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z13b8t24,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8t24,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_006.tif,Page,Page 6,14,6,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1zk89kt,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk89kt,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_007.tif,Page,Page 7,15,7,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1tt7jtn,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt7jtn,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510104_008.tif,Page,Page 8,16,8,open,ark:/21198/z1710v9s,ark:/21198/z1zk89jc,ark:/21198/z1q26t26,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q26t26,1951,1951-01-04 (vol. 01 | no. 19)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510105_001.tif,Page,Page 1,17,1,open,ark:/21198/z1710v9s,ark:/21198/z1tt7js6,ark:/21198/z1k962c9,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k962c9,1951,1951-01-05 (vol. 01 | no. 20)
Masters/othermasters/DEPultimahora/images/1951/ihc_ultimahora_19510105_002.tif,Page,Page 2,18,2,open,ark:/21198/z1710v9s,ark:/21198/z1tt7js6,ark:/21198/z1fj59p1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj59p1,1951,1951-01-05 (vol. 01 | no. 20)
