File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19210930_001.tif,Page,Page 1,1,1,open,ark:/21198/z1xw7d9w,ark:/21198/z1t46nkg,ark:/21198/z1933npp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933npp,1921-09-30 (vol. 2 | no. 28)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19210930_002.tif,Page,Page 2,2,2,open,ark:/21198/z1xw7d9w,ark:/21198/z1t46nkg,ark:/21198/z15f1mcp,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1mcp,1921-09-30 (vol. 2 | no. 28)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19210930_003.tif,Page,Page 3,3,3,open,ark:/21198/z1xw7d9w,ark:/21198/z1t46nkg,ark:/21198/z11p0vmh,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0vmh,1921-09-30 (vol. 2 | no. 28)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19210930_004.tif,Page,Page 4,4,4,open,ark:/21198/z1xw7d9w,ark:/21198/z1t46nkg,ark:/21198/z1wx0c52,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx0c52,1921-09-30 (vol. 2 | no. 28)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211030_001.tif,Page,Page 1,5,1,open,ark:/21198/z1xw7d9w,ark:/21198/z1pc5ww6,ark:/21198/z1s49mgj,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49mgj,1921-10-30 (vol. 2 | no. 29)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211030_002.tif,Page,Page 2,6,2,open,ark:/21198/z1xw7d9w,ark:/21198/z1pc5ww6,ark:/21198/z1nc8vqc,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8vqc,1921-10-30 (vol. 2 | no. 29)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211030_003.tif,Page,Page 3,7,3,open,ark:/21198/z1xw7d9w,ark:/21198/z1pc5ww6,ark:/21198/z1hm83x4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm83x4,1921-10-30 (vol. 2 | no. 29)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211030_004.tif,Page,Page 4,8,4,open,ark:/21198/z1xw7d9w,ark:/21198/z1pc5ww6,ark:/21198/z1cv7c78,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv7c78,1921-10-30 (vol. 2 | no. 29)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211230_001.tif,Page,Page 1,9,1,open,ark:/21198/z1xw7d9w,ark:/21198/z1jm5558,ark:/21198/z18659zm,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18659zm,1921-12-30 (vol. 2 | no. 31)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211230_002.tif,Page,Page 2,10,2,open,ark:/21198/z1xw7d9w,ark:/21198/z1jm5558,ark:/21198/z14f4k6v,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4k6v,1921-12-30 (vol. 2 | no. 31)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211230_003.tif,Page,Page 3,11,3,open,ark:/21198/z1xw7d9w,ark:/21198/z1jm5558,ark:/21198/z10p3tg4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p3tg4,1921-12-30 (vol. 2 | no. 31)
Masters/othermasters/DEPuniondelmarino/images/ihc_uniondelmarino_19211230_004.tif,Page,Page 4,12,4,open,ark:/21198/z1xw7d9w,ark:/21198/z1jm5558,ark:/21198/z1vx3b1p,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx3b1p,1921-12-30 (vol. 2 | no. 31)
