File Name,Object Type,Title,Item Sequence,Issue Sequence,Visibility,Parent ARK,Issue ARK,Item ARK,Bucketeer State,IIIF Access URL,Range.1,Range.2
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570812_001.tif,Page,Page 1,1,1,open,ark:/21198/z1c56f5x,ark:/21198/z1qg1n9h,ark:/21198/z1dr5pw1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr5pw1,1957,1957-08-12 (vol. 01 | no. 03)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570812_002.tif,Page,Page 2,2,2,open,ark:/21198/z1c56f5x,ark:/21198/z1qg1n9h,ark:/21198/z1933nn7,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933nn7,1957,1957-08-12 (vol. 01 | no. 03)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570812_003.tif,Page,Page 3,3,3,open,ark:/21198/z1c56f5x,ark:/21198/z1qg1n9h,ark:/21198/z15b2wxh,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2wxh,1957,1957-08-12 (vol. 01 | no. 03)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570812_004.tif,Page,Page 4,4,4,open,ark:/21198/z1c56f5x,ark:/21198/z1qg1n9h,ark:/21198/z11k258g,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k258g,1957,1957-08-12 (vol. 01 | no. 03)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_001.tif,Page,Page 1,5,1,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1wt1nqw,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt1nqw,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_002.tif,Page,Page 2,6,2,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1s20x0w,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20x0w,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_003.tif,Page,Page 3,7,3,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1n90573,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n90573,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_004.tif,Page,Page 4,8,4,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1hh9dht,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh9dht,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_005.tif,Page,Page 5,9,5,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1cv7c6t,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv7c6t,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_006.tif,Page,Page 6,10,6,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z1836mgd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836mgd,1957,1957-09-18 (vol. 01 | no. 07)
Masters/othermasters/DEPvanguardiaobrera/images/ihc_vanguardiaobrera_19570918_007.tif,Page,Page 7,11,7,open,ark:/21198/z1c56f5x,ark:/21198/z1kq0whw,ark:/21198/z14b5vs4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5vs4,1957,1957-09-18 (vol. 01 | no. 07)
