"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Visibility","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580305_001.tif","Page","Page 1","1","ark:/21198/z11v87mt","ark:/21198/z1mk96gh","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk96gh"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580305_002.tif","Page","Page 2","2","ark:/21198/z11v87mt","ark:/21198/z1gt8ftp","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt8ftp"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580305_003.tif","Page","Page 3","3","ark:/21198/z11v87mt","ark:/21198/z1c27q44","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27q44"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580305_004.tif","Page","Page 4","4","ark:/21198/z11v87mt","ark:/21198/z17d5ntq","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5ntq"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_001.tif","Page","Page 1","1","ark:/21198/z1x37r59","ark:/21198/z13n4x3d","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n4x3d"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_002.tif","Page","Page 2","2","ark:/21198/z1x37r59","ark:/21198/z1zw4dm3","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw4dm3"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_003.tif","Page","Page 3","3","ark:/21198/z1x37r59","ark:/21198/z1v43nts","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43nts"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_004.tif","Page","Page 4","4","ark:/21198/z1x37r59","ark:/21198/z1qc2x3g","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2x3g"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_005.tif","Page","Page 5","5","ark:/21198/z1x37r59","ark:/21198/z1km25gg","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km25gg"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_006.tif","Page","Page 6","6","ark:/21198/z1x37r59","ark:/21198/z1fz043k","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz043k"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_007.tif","Page","Page 7","7","ark:/21198/z1x37r59","ark:/21198/z1b59cd2","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b59cd2"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_008.tif","Page","Page 8","8","ark:/21198/z1x37r59","ark:/21198/z16d8mqs","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d8mqs"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_009.tif","Page","Page 9","9","ark:/21198/z1x37r59","ark:/21198/z12n7vzm","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7vzm"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_010.tif","Page","Page 10","10","ark:/21198/z1x37r59","ark:/21198/z1xw7cf8","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw7cf8"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_011.tif","Page","Page 11","11","ark:/21198/z1x37r59","ark:/21198/z1t46mqv","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46mqv"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_012.tif","Page","Page 12","12","ark:/21198/z1x37r59","ark:/21198/z1pc5w2f","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc5w2f"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_013.tif","Page","Page 13","13","ark:/21198/z1x37r59","ark:/21198/z1jq3tm7","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq3tm7"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_014.tif","Page","Page 14","14","ark:/21198/z1x37r59","ark:/21198/z1dz330n","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz330n"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_015.tif","Page","Page 15","15","ark:/21198/z1x37r59","ark:/21198/z1962b7s","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1962b7s"
"Masters/othermasters/DEPresistencia/images/ihc_resistencia_19580715_016.tif","Page","Page 16","16","ark:/21198/z1x37r59","ark:/21198/z15f1kjh","open","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1kjh"
