Object Type,Item ARK,Parent ARK,Title,Local identifier,File Name,Item Sequence,Thumbnail,Visibility,Contents note,Date.created,Date.normalized,Description.note,Format.extent,Genre,Language,Name.creator,Place of origin,Publisher.publisherName,Repository,Program,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,viewingHint,Name.director,Subject topic,volume | issue,IIIF Manifest URL
Work,ark:/21198/z1rf8hk2,ark:/21198/z1hn2jw4,1932-12/1933-05,ihc_udelaire_193212_193305,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w62vn,open,,"diciembre, 1932-mayo, 1933|~|1932-12/1933-05",1932-12/1933-05,,672 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rf8hk2/manifest
Work,ark:/21198/z11v83gc,ark:/21198/z1hn2jw4,1933 no. 01,ihc_udelaire_1933_n01,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6tsp,open,,1933,1933,,44 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v83gc/manifest
Work,ark:/21198/z1x37m0d,ark:/21198/z1hn2jw4,1933 no. 02,ihc_udelaire_1933_n02,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr7kwb,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 02,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x37m0d/manifest
Work,ark:/21198/z1sb6v8p,ark:/21198/z1hn2jw4,1933 no. 03,ihc_udelaire_1933_n03,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3v9p,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sb6v8p/manifest
Work,ark:/21198/z1np4sz8,ark:/21198/z1hn2jw4,1933 no. 04,ihc_udelaire_1933_n04,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21nd7,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 04,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np4sz8/manifest
Work,ark:/21198/z1hx427b,ark:/21198/z1hn2jw4,1933 no. 05,ihc_udelaire_1933_n05,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fr2,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 05,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx427b/manifest
Work,ark:/21198/z1d539f1,ark:/21198/z1hn2jw4,1933 no. 06,ihc_udelaire_1933_n06,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770nq,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d539f1/manifest
Work,ark:/21198/z18d2jrr,ark:/21198/z1hn2jw4,1933 no. 07,ihc_udelaire_1933_n07,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3h8n,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 07,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18d2jrr/manifest
Work,ark:/21198/z14n1t3b,ark:/21198/z1hn2jw4,1933 no. 08,ihc_udelaire_1933_n08,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj19g7,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n1t3b/manifest
Work,ark:/21198/z10w1293,ark:/21198/z1hn2jw4,1933 no. 09,ihc_udelaire_1933_n09,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vfv,open,,1933,1933,,36 pages,journals,spa,Universidad del Aire|~|Radio Salas C.M.B.Z y C.O.B.Z,Havana (Cuba),"Editorial Minerva, La Habana (Cuba)",Instituto de Historia de Cuba,International Digital Ephemera Project,text,unknown,"http://www.ihc.cu/, webmaster@ihc.cu",paged,"Mañach, Jorge, Dr.",Cuba--politics and government--1933-1959|~|Radio programs--Cuba--Havana--Periodicals,no. 09,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w1293/manifest
