File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_001.tif,Page,Page 1,1,ark:/21198/z1rf8hk2,ark:/21198/z18w62vn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w62vn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_002.tif,Page,Page 2,2,ark:/21198/z1rf8hk2,ark:/21198/z1545b53,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545b53
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_003.tif,Page,Page 3,3,ark:/21198/z1rf8hk2,ark:/21198/z11g38ss,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g38ss
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_004.tif,Page,Page 4,4,ark:/21198/z1rf8hk2,ark:/21198/z1wq2sbz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sbz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_005.tif,Page,Page 5,5,ark:/21198/z1rf8hk2,ark:/21198/z1rz21jq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz21jq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_006.tif,Page,Page 6,6,ark:/21198/z1rf8hk2,ark:/21198/z1n618w6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n618w6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_007.tif,Page,Page 7,7,ark:/21198/z1rf8hk2,ark:/21198/z1hf0j6b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0j6b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_008.tif,Page,Page 8,8,ark:/21198/z1rf8hk2,ark:/21198/z1cn9sg2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9sg2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_009.tif,Page,Page 9,9,ark:/21198/z1rf8hk2,ark:/21198/z17w91rq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w91rq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_010.tif,Page,Page 10,10,ark:/21198/z1rf8hk2,ark:/21198/z14770dk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770dk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_011.tif,Page,Page 11,11,ark:/21198/z1rf8hk2,ark:/21198/z10g67pv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g67pv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_012.tif,Page,Page 12,12,ark:/21198/z1rf8hk2,ark:/21198/z1vq5r4p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5r4p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_013.tif,Page,Page 13,13,ark:/21198/z1rf8hk2,ark:/21198/z1qz50fs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz50fs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_014.tif,Page,Page 14,14,ark:/21198/z1rf8hk2,ark:/21198/z1m647s8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m647s8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_015.tif,Page,Page 15,15,ark:/21198/z1rf8hk2,ark:/21198/z1gf3h1h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3h1h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_016.tif,Page,Page 16,16,ark:/21198/z1rf8hk2,ark:/21198/z1bp2rcp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2rcp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_017.tif,Page,Page 17,17,ark:/21198/z1rf8hk2,ark:/21198/z1710q03,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710q03
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_018.tif,Page,Page 18,18,ark:/21198/z1rf8hk2,ark:/21198/z1379z8t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379z8t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_193212_193305_019.tif,Page,Page 19,19,ark:/21198/z1rf8hk2,ark:/21198/z1zg9fr2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9fr2
