File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_001.tif,Page,Page 1,1,ark:/21198/z10s2bz8,ark:/21198/z1qg1gmg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg1gmg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_002.tif,Page,Page 2,2,ark:/21198/z10s2bz8,ark:/21198/z1kq0qv9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kq0qv9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_003.tif,Page,Page 3,3,ark:/21198/z10s2bz8,ark:/21198/z1fz0068,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fz0068
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_004.tif,Page,Page 4,4,ark:/21198/z10s2bz8,ark:/21198/z1b597g9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b597g9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_005.tif,Page,Page 5,5,ark:/21198/z10s2bz8,ark:/21198/z16d8grk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d8grk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_006.tif,Page,Page 6,6,ark:/21198/z10s2bz8,ark:/21198/z12n7r18,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n7r18
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_007.tif,Page,Page 7,7,ark:/21198/z10s2bz8,ark:/21198/z1z05xw9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05xw9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_008.tif,Page,Page 8,8,ark:/21198/z10s2bz8,ark:/21198/z1t7566t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t7566t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_009.tif,Page,Page 9,9,ark:/21198/z10s2bz8,ark:/21198/z1pg4ffn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg4ffn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_010.tif,Page,Page 10,10,ark:/21198/z10s2bz8,ark:/21198/z1jq3prc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq3prc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_011.tif,Page,Page 11,11,ark:/21198/z10s2bz8,ark:/21198/z1dz2z3z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2z3z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_012.tif,Page,Page 12,12,ark:/21198/z10s2bz8,ark:/21198/z1962691,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1962691
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_013.tif,Page,Page 13,13,ark:/21198/z10s2bz8,ark:/21198/z15f1fn6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1fn6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_014.tif,Page,Page 14,14,ark:/21198/z10s2bz8,ark:/21198/z11r9d8r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r9d8r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_015.tif,Page,Page 15,15,ark:/21198/z10s2bz8,ark:/21198/z1x08wsc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x08wsc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_016.tif,Page,Page 16,16,ark:/21198/z10s2bz8,ark:/21198/z1s7852f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7852f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_017.tif,Page,Page 17,17,ark:/21198/z10s2bz8,ark:/21198/z1ng7dc5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng7dc5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_018.tif,Page,Page 18,18,ark:/21198/z10s2bz8,ark:/21198/z1hq6npw,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6npw
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_019.tif,Page,Page 19,19,ark:/21198/z10s2bz8,ark:/21198/z1cz5wxq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5wxq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_020.tif,Page,Page 20,20,ark:/21198/z10s2bz8,ark:/21198/z1865563,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1865563
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_021.tif,Page,Page 21,21,ark:/21198/z10s2bz8,ark:/21198/z14j33wp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j33wp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_022.tif,Page,Page 22,22,ark:/21198/z10s2bz8,ark:/21198/z10s2c5c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2c5c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_023.tif,Page,Page 23,23,ark:/21198/z10s2bz8,ark:/21198/z1w11vm3,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11vm3
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_024.tif,Page,Page 24,24,ark:/21198/z10s2bz8,ark:/21198/z1r813zn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r813zn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_025.tif,Page,Page 25,25,ark:/21198/z10s2bz8,ark:/21198/z1mh0c7b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mh0c7b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_026.tif,Page,Page 26,26,ark:/21198/z10s2bz8,ark:/21198/z1gq9mh2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq9mh2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_027.tif,Page,Page 27,27,ark:/21198/z10s2bz8,ark:/21198/z1bz8vsb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz8vsb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_028.tif,Page,Page 28,28,ark:/21198/z10s2bz8,ark:/21198/z1796tf6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796tf6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_029.tif,Page,Page 29,29,ark:/21198/z10s2bz8,ark:/21198/z13j62r9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j62r9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_030.tif,Page,Page 30,30,ark:/21198/z10s2bz8,ark:/21198/z1zs5k7k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5k7k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_031.tif,Page,Page 31,31,ark:/21198/z10s2bz8,ark:/21198/z1v14tjm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v14tjm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_032.tif,Page,Page 32,32,ark:/21198/z10s2bz8,ark:/21198/z1q842vq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q842vq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_033.tif,Page,Page 33,33,ark:/21198/z10s2bz8,ark:/21198/z1kh3b2h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh3b2h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_034.tif,Page,Page 34,34,ark:/21198/z10s2bz8,ark:/21198/z1fr2kc7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr2kc7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_035.tif,Page,Page 35,35,ark:/21198/z10s2bz8,ark:/21198/z1b30j2j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30j2j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19331028_036.tif,Page,Page 36,36,ark:/21198/z10s2bz8,ark:/21198/z1699s9t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699s9t
