File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_001.tif,Page,Page 1,1,ark:/21198/z10w1293,ark:/21198/z15m8vfv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vfv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_002.tif,Page,Page 2,2,ark:/21198/z10w1293,ark:/21198/z11v83qh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v83qh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_003.tif,Page,Page 3,3,ark:/21198/z10w1293,ark:/21198/z1x37m7j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37m7j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_004.tif,Page,Page 4,4,ark:/21198/z10w1293,ark:/21198/z1sb6vht,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vht
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_005.tif,Page,Page 5,5,ark:/21198/z10w1293,ark:/21198/z1np4t6t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np4t6t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_006.tif,Page,Page 6,6,ark:/21198/z10w1293,ark:/21198/z1hx42gg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42gg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_007.tif,Page,Page 7,7,ark:/21198/z10w1293,ark:/21198/z1d539p5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539p5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_008.tif,Page,Page 8,8,ark:/21198/z10w1293,ark:/21198/z18d2k09,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2k09
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_009.tif,Page,Page 9,9,ark:/21198/z10w1293,ark:/21198/z14n1tbg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1tbg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_010.tif,Page,Page 10,10,ark:/21198/z10w1293,ark:/21198/z10w12kp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12kp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_011.tif,Page,Page 11,11,ark:/21198/z10w1293,ark:/21198/z1w40k5m,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40k5m
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_012.tif,Page,Page 12,12,ark:/21198/z10w1293,ark:/21198/z1rf8ht6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8ht6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_013.tif,Page,Page 13,13,ark:/21198/z10w1293,ark:/21198/z1mp7s2f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7s2f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_014.tif,Page,Page 14,14,ark:/21198/z10w1293,ark:/21198/z1gx719n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx719n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_015.tif,Page,Page 15,15,ark:/21198/z10w1293,ark:/21198/z1c568k7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c568k7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n09_016.tif,Page,Page 16,16,ark:/21198/z10w1293,ark:/21198/z17d5hxd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d5hxd
