File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_001.tif,Page,Page 1,1,ark:/21198/z11k209v,ark:/21198/z14t97cn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t97cn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_002.tif,Page,Page 2,2,ark:/21198/z11k209v,ark:/21198/z1128gms,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1128gms
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_003.tif,Page,Page 3,3,ark:/21198/z11k209v,ark:/21198/z1w9804w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9804w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_004.tif,Page,Page 4,4,ark:/21198/z11k209v,ark:/21198/z1rj77fm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj77fm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_005.tif,Page,Page 5,5,ark:/21198/z11k209v,ark:/21198/z1ms6grb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6grb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_006.tif,Page,Page 6,6,ark:/21198/z11k209v,ark:/21198/z1h15qz1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15qz1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_007.tif,Page,Page 7,7,ark:/21198/z11k209v,ark:/21198/z1c8508j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c8508j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_008.tif,Page,Page 8,8,ark:/21198/z11k209v,ark:/21198/z17m2xzr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m2xzr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_009.tif,Page,Page 9,9,ark:/21198/z11k209v,ark:/21198/z13v266c,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v266c
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_010.tif,Page,Page 10,10,ark:/21198/z11k209v,ark:/21198/z1031fgz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031fgz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_011.tif,Page,Page 11,11,ark:/21198/z11k209v,ark:/21198/z1vb0z2k,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0z2k
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_012.tif,Page,Page 12,12,ark:/21198/z11k209v,ark:/21198/z1qk068b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk068b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_013.tif,Page,Page 13,13,ark:/21198/z11k209v,ark:/21198/z1ks9fj2,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9fj2
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_014.tif,Page,Page 14,14,ark:/21198/z11k209v,ark:/21198/z1g18ptn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18ptn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_015.tif,Page,Page 15,15,ark:/21198/z11k209v,ark:/21198/z1bc6nhn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc6nhn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_016.tif,Page,Page 16,16,ark:/21198/z11k209v,ark:/21198/z16m5wsx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5wsx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_017.tif,Page,Page 17,17,ark:/21198/z11k209v,ark:/21198/z12v5520,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v5520
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_018.tif,Page,Page 18,18,ark:/21198/z11k209v,ark:/21198/z1z34nnh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34nnh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_019.tif,Page,Page 19,19,ark:/21198/z11k209v,ark:/21198/z1tb3wwb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3wwb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_020.tif,Page,Page 20,20,ark:/21198/z11k209v,ark:/21198/z1pk355d,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk355d
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_021.tif,Page,Page 21,21,ark:/21198/z11k209v,ark:/21198/z1jt2dd7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2dd7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_022.tif,Page,Page 22,22,ark:/21198/z11k209v,ark:/21198/z1f50c40,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f50c40
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_023.tif,Page,Page 23,23,ark:/21198/z11k209v,ark:/21198/z19c9mc8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c9mc8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_024.tif,Page,Page 24,24,ark:/21198/z11k209v,ark:/21198/z15m8vnj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vnj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_025.tif,Page,Page 25,25,ark:/21198/z11k209v,ark:/21198/z11v83x6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v83x6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_026.tif,Page,Page 26,26,ark:/21198/z11k209v,ark:/21198/z1x37mf7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37mf7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_027.tif,Page,Page 27,27,ark:/21198/z11k209v,ark:/21198/z1sb6vqh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vqh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_028.tif,Page,Page 28,28,ark:/21198/z11k209v,ark:/21198/z1nk6411,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk6411
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_029.tif,Page,Page 29,29,ark:/21198/z11k209v,ark:/21198/z1hx42p5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx42p5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_030.tif,Page,Page 30,30,ark:/21198/z11k209v,ark:/21198/z1d539x9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539x9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_031.tif,Page,Page 31,31,ark:/21198/z11k209v,ark:/21198/z18d2k7f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2k7f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_032.tif,Page,Page 32,32,ark:/21198/z11k209v,ark:/21198/z14n1tkm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1tkm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_033.tif,Page,Page 33,33,ark:/21198/z11k209v,ark:/21198/z10w12sc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w12sc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_034.tif,Page,Page 34,34,ark:/21198/z11k209v,ark:/21198/z1w40kc9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w40kc9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_035.tif,Page,Page 35,35,ark:/21198/z11k209v,ark:/21198/z1rf8j19,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf8j19
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195010_036.tif,Page,Page 36,36,ark:/21198/z11k209v,ark:/21198/z1mp7s84,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp7s84
