File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_001.tif,Page,Page 1,1,ark:/21198/z11v83gc,ark:/21198/z1dn6tsp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dn6tsp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_002.tif,Page,Page 2,2,ark:/21198/z11v83gc,ark:/21198/z18w632r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w632r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_003.tif,Page,Page 3,3,ark:/21198/z11v83gc,ark:/21198/z1545bcs,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1545bcs
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_004.tif,Page,Page 4,4,ark:/21198/z11v83gc,ark:/21198/z11g390w,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g390w
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_005.tif,Page,Page 5,5,ark:/21198/z11v83gc,ark:/21198/z1wq2sjn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq2sjn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_006.tif,Page,Page 6,6,ark:/21198/z11v83gc,ark:/21198/z1rz21sv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz21sv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_007.tif,Page,Page 7,7,ark:/21198/z11v83gc,ark:/21198/z1n6194r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6194r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_008.tif,Page,Page 8,8,ark:/21198/z11v83gc,ark:/21198/z1hf0jfg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hf0jfg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_009.tif,Page,Page 9,9,ark:/21198/z11v83gc,ark:/21198/z1cn9spr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn9spr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_010.tif,Page,Page 10,10,ark:/21198/z11v83gc,ark:/21198/z17w91zd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17w91zd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_011.tif,Page,Page 11,11,ark:/21198/z11v83gc,ark:/21198/z14770m8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14770m8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_012.tif,Page,Page 12,12,ark:/21198/z11v83gc,ark:/21198/z10g67wj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g67wj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_013.tif,Page,Page 13,13,ark:/21198/z11v83gc,ark:/21198/z1vq5rct,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq5rct
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_014.tif,Page,Page 14,14,ark:/21198/z11v83gc,ark:/21198/z1qz50px,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz50px
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_015.tif,Page,Page 15,15,ark:/21198/z11v83gc,ark:/21198/z1m6481t,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m6481t
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_016.tif,Page,Page 16,16,ark:/21198/z11v83gc,ark:/21198/z1gf3h76,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf3h76
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_017.tif,Page,Page 17,17,ark:/21198/z11v83gc,ark:/21198/z1bp2rkc,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bp2rkc
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_018.tif,Page,Page 18,18,ark:/21198/z11v83gc,ark:/21198/z1710q6s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1710q6s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_019.tif,Page,Page 19,19,ark:/21198/z11v83gc,ark:/21198/z1379zgh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1379zgh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_020.tif,Page,Page 20,20,ark:/21198/z11v83gc,ark:/21198/z1zg9fzr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg9fzr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_021.tif,Page,Page 21,21,ark:/21198/z11v83gc,ark:/21198/z1tq8q9b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq8q9b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_022.tif,Page,Page 22,22,ark:/21198/z11v83gc,ark:/21198/z1pz7zkm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz7zkm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_023.tif,Page,Page 23,23,ark:/21198/z11v83gc,ark:/21198/z1k676vk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k676vk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_024.tif,Page,Page 24,24,ark:/21198/z11v83gc,ark:/21198/z1ff6g48,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff6g48
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_025.tif,Page,Page 25,25,ark:/21198/z11v83gc,ark:/21198/z19s4dsd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s4dsd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_026.tif,Page,Page 26,26,ark:/21198/z11v83gc,ark:/21198/z1613p3v,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1613p3v
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_027.tif,Page,Page 27,27,ark:/21198/z11v83gc,ark:/21198/z1282x97,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1282x97
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_028.tif,Page,Page 28,28,ark:/21198/z11v83gc,ark:/21198/z1xh2dwt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh2dwt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_029.tif,Page,Page 29,29,ark:/21198/z11v83gc,ark:/21198/z1sr1p5h,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr1p5h
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_030.tif,Page,Page 30,30,ark:/21198/z11v83gc,ark:/21198/z1p00xdn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00xdn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_031.tif,Page,Page 31,31,ark:/21198/z11v83gc,ark:/21198/z1j705p9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j705p9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_032.tif,Page,Page 32,32,ark:/21198/z11v83gc,ark:/21198/z1dj84d6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj84d6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_033.tif,Page,Page 33,33,ark:/21198/z11v83gc,ark:/21198/z18s7cpg,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s7cpg
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_034.tif,Page,Page 34,34,ark:/21198/z11v83gc,ark:/21198/z1516mxm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516mxm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_035.tif,Page,Page 35,35,ark:/21198/z11v83gc,ark:/21198/z1185w7r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1185w7r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_036.tif,Page,Page 36,36,ark:/21198/z11v83gc,ark:/21198/z1wh5crf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh5crf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_037.tif,Page,Page 37,37,ark:/21198/z11v83gc,ark:/21198/z1rr4mzt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr4mzt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_038.tif,Page,Page 38,38,ark:/21198/z11v83gc,ark:/21198/z1n03w88,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n03w88
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_039.tif,Page,Page 39,39,ark:/21198/z11v83gc,ark:/21198/z1hb1v0q,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb1v0q
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_040.tif,Page,Page 40,40,ark:/21198/z11v83gc,ark:/21198/z1ck137x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck137x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_1933_n01_041.tif,Page,Page 41,41,ark:/21198/z11v83gc,ark:/21198/z17t0bgr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17t0bgr
