File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_001.tif,Page,Page 1,1,ark:/21198/z12c1mkr,ark:/21198/z1dv486r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv486r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_002.tif,Page,Page 2,2,ark:/21198/z12c1mkr,ark:/21198/z19626tr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19626tr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_003.tif,Page,Page 3,3,ark:/21198/z12c1mkr,ark:/21198/z15f1g5b,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f1g5b
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_004.tif,Page,Page 4,4,ark:/21198/z12c1mkr,ark:/21198/z11p0qcq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0qcq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_005.tif,Page,Page 5,5,ark:/21198/z12c1mkr,ark:/21198/z1wx06xv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06xv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_006.tif,Page,Page 6,6,ark:/21198/z12c1mkr,ark:/21198/z1s49g7r,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49g7r
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_007.tif,Page,Page 7,7,ark:/21198/z12c1mkr,ark:/21198/z1nc8qh1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8qh1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_008.tif,Page,Page 8,8,ark:/21198/z12c1mkr,ark:/21198/z1hq6p61,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq6p61
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_009.tif,Page,Page 9,9,ark:/21198/z12c1mkr,ark:/21198/z1cz5xg9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5xg9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195208_010.tif,Page,Page 10,10,ark:/21198/z12c1mkr,ark:/21198/z18655r8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18655r8
