File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_001.tif,Page,Page 1,1,ark:/21198/z12j91bb,ark:/21198/z1w9801j,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w9801j
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_002.tif,Page,Page 2,2,ark:/21198/z12j91bb,ark:/21198/z1rj77cq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj77cq
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_003.tif,Page,Page 3,3,ark:/21198/z12j91bb,ark:/21198/z1ms6gpf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms6gpf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_004.tif,Page,Page 4,4,ark:/21198/z12j91bb,ark:/21198/z1h15qw4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h15qw4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_005.tif,Page,Page 5,5,ark:/21198/z12j91bb,ark:/21198/z1c85056,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c85056
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_006.tif,Page,Page 6,6,ark:/21198/z12j91bb,ark:/21198/z17h47ck,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h47ck
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_007.tif,Page,Page 7,7,ark:/21198/z12j91bb,ark:/21198/z13r3gqr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r3gqr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_008.tif,Page,Page 8,8,ark:/21198/z12j91bb,ark:/21198/z1031fcm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1031fcm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_009.tif,Page,Page 9,9,ark:/21198/z12j91bb,ark:/21198/z1vb0z0p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0z0p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_010.tif,Page,Page 10,10,ark:/21198/z12j91bb,ark:/21198/z1qk066f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qk066f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_011.tif,Page,Page 11,11,ark:/21198/z12j91bb,ark:/21198/z1ks9fg5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks9fg5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_012.tif,Page,Page 12,12,ark:/21198/z12j91bb,ark:/21198/z1g18ppv,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g18ppv
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_013.tif,Page,Page 13,13,ark:/21198/z12j91bb,ark:/21198/z1b87z00,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87z00
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_014.tif,Page,Page 14,14,ark:/21198/z12j91bb,ark:/21198/z16h76bj,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h76bj
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_015.tif,Page,Page 15,15,ark:/21198/z12j91bb,ark:/21198/z12v54z7,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v54z7
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_016.tif,Page,Page 16,16,ark:/21198/z12j91bb,ark:/21198/z1z34nkm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z34nkm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_017.tif,Page,Page 17,17,ark:/21198/z12j91bb,ark:/21198/z1tb3wtf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb3wtf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_018.tif,Page,Page 18,18,ark:/21198/z12j91bb,ark:/21198/z1pk3522,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk3522
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_019.tif,Page,Page 19,19,ark:/21198/z12j91bb,ark:/21198/z1jt2d8f,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt2d8f
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_020.tif,Page,Page 20,20,ark:/21198/z12j91bb,ark:/21198/z1f21nj1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f21nj1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_021.tif,Page,Page 21,21,ark:/21198/z12j91bb,ark:/21198/z1990wxn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1990wxn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_022.tif,Page,Page 22,22,ark:/21198/z12j91bb,ark:/21198/z15m8vj6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m8vj6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_023.tif,Page,Page 23,23,ark:/21198/z12j91bb,ark:/21198/z11v83v9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v83v9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_024.tif,Page,Page 24,24,ark:/21198/z12j91bb,ark:/21198/z1x37mcb,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x37mcb
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_025.tif,Page,Page 25,25,ark:/21198/z12j91bb,ark:/21198/z1sb6vm5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb6vm5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_026.tif,Page,Page 26,26,ark:/21198/z12j91bb,ark:/21198/z1nk63wt,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk63wt
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_027.tif,Page,Page 27,27,ark:/21198/z12j91bb,ark:/21198/z1ht5c6z,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5c6z
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_028.tif,Page,Page 28,28,ark:/21198/z12j91bb,ark:/21198/z1d539sh,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d539sh
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_029.tif,Page,Page 29,29,ark:/21198/z12j91bb,ark:/21198/z18d2k43,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d2k43
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_195003_030.tif,Page,Page 30,30,ark:/21198/z12j91bb,ark:/21198/z14n1thq,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n1thq
