File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Visibility,Bucketeer State,IIIF Access URL
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_001.tif,Page,Page 1,1,ark:/21198/z12n7qt5,ark:/21198/z1ng7d98,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng7d98
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_002.tif,Page,Page 2,2,ark:/21198/z12n7qt5,ark:/21198/z1ht5bzd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht5bzd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_003.tif,Page,Page 3,3,ark:/21198/z12n7qt5,ark:/21198/z1d24m99,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d24m99
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_004.tif,Page,Page 4,4,ark:/21198/z12n7qt5,ark:/21198/z1893vkk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1893vkk
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_005.tif,Page,Page 5,5,ark:/21198/z12n7qt5,ark:/21198/z14j33ts,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j33ts
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_006.tif,Page,Page 6,6,ark:/21198/z12n7qt5,ark:/21198/z10s2c21,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s2c21
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_007.tif,Page,Page 7,7,ark:/21198/z12n7qt5,ark:/21198/z1w11vj6,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w11vj6
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_008.tif,Page,Page 8,8,ark:/21198/z12n7qt5,ark:/21198/z1rb9t7n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb9t7n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_009.tif,Page,Page 9,9,ark:/21198/z12n7qt5,ark:/21198/z1mk92jr,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk92jr
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_010.tif,Page,Page 10,10,ark:/21198/z12n7qt5,ark:/21198/z1gt89wx,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt89wx
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_011.tif,Page,Page 11,11,ark:/21198/z12n7qt5,ark:/21198/z1c27k5x,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c27k5x
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_012.tif,Page,Page 12,12,ark:/21198/z12n7qt5,ark:/21198/z1796tc9,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1796tc9
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_013.tif,Page,Page 13,13,ark:/21198/z12n7qt5,ark:/21198/z13j62nz,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j62nz
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_014.tif,Page,Page 14,14,ark:/21198/z12n7qt5,ark:/21198/z1zs5k5p,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs5k5p
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_015.tif,Page,Page 15,15,ark:/21198/z12n7qt5,ark:/21198/z1v43ht4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v43ht4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_016.tif,Page,Page 16,16,ark:/21198/z12n7qt5,ark:/21198/z1qc2s48,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc2s48
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_017.tif,Page,Page 17,17,ark:/21198/z12n7qt5,ark:/21198/z1km21h8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km21h8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_018.tif,Page,Page 18,18,ark:/21198/z12n7qt5,ark:/21198/z1fv18qn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv18qn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_019.tif,Page,Page 19,19,ark:/21198/z12n7qt5,ark:/21198/z1b30j0n,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b30j0n
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_020.tif,Page,Page 20,20,ark:/21198/z12n7qt5,ark:/21198/z1699s6g,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1699s6g
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_021.tif,Page,Page 21,21,ark:/21198/z12n7qt5,ark:/21198/z12j91g4,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j91g4
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_022.tif,Page,Page 22,22,ark:/21198/z12n7qt5,ark:/21198/z1xw77fm,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw77fm
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_023.tif,Page,Page 23,23,ark:/21198/z12n7qt5,ark:/21198/z1t46grn,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t46grn
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_024.tif,Page,Page 24,24,ark:/21198/z12n7qt5,ark:/21198/z1pc5r2s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc5r2s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_025.tif,Page,Page 25,25,ark:/21198/z12n7qt5,ark:/21198/z1jm50bf,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm50bf
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_026.tif,Page,Page 26,26,ark:/21198/z12n7qt5,ark:/21198/z1dv47k8,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv47k8
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_027.tif,Page,Page 27,27,ark:/21198/z12n7qt5,ark:/21198/z1933gtd,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1933gtd
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_028.tif,Page,Page 28,28,ark:/21198/z12n7qt5,ark:/21198/z15b2r33,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2r33
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_029.tif,Page,Page 29,29,ark:/21198/z12n7qt5,ark:/21198/z11p0psp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11p0psp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_030.tif,Page,Page 30,30,ark:/21198/z12n7qt5,ark:/21198/z1wx06cp,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wx06cp
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_031.tif,Page,Page 31,31,ark:/21198/z12n7qt5,ark:/21198/z1s49fp5,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s49fp5
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_032.tif,Page,Page 32,32,ark:/21198/z12n7qt5,ark:/21198/z1nc8px0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8px0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_033.tif,Page,Page 33,33,ark:/21198/z12n7qt5,ark:/21198/z1hm7z4s,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7z4s
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_034.tif,Page,Page 34,34,ark:/21198/z12n7qt5,ark:/21198/z1cv76c0,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv76c0
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_035.tif,Page,Page 35,35,ark:/21198/z12n7qt5,ark:/21198/z1836fp1,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1836fp1
Masters/othermasters/DEPuniversidaddelaire/cuadernos/images/ihc_udelaire_19330624_036.tif,Page,Page 36,36,ark:/21198/z12n7qt5,ark:/21198/z14f4dbk,open,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f4dbk
